side,dimension,sub,sup,status,raw_pred_sub,raw_pred_sup
gold,class,AcceptabilityProperty,WaterProperty,TP,,
gold,class,Actuator,Device,FN,,
gold,class,ChemicalProperty,WaterProperty,TP,,
gold,class,Meter,Device,FN,,
gold,class,Meter,Sensor,FN,,
gold,class,Point,Geometry,FN,,
gold,class,Sensor,Device,FN,,
gold,class,TimeBasedTariff,Tariff,FN,,
gold,class,Water,FeatureOfInterest,FN,,
gold,class,WaterAsset,FeatureOfInterest,FN,,
gold,class,WaterMeter,Device,FN,,
gold,class,WaterMeter,Meter,FN,,
gold,class,WaterMeter,Sensor,FN,,
pred,class,Actuator,WaterAsset,FP,,
pred,class,Sensor,WaterAsset,FP,,
pred,class,WaterInfrastructure,WaterAsset,FP,,
pred,class,WaterMeter,WaterAsset,FP,,
