prop_type,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
ObjectProperty,eats,eats,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,eaten-by,eats,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8083; levenshtein=0.4286; semantic=0.7531; sequence_match=0.5455,False,0.7023,False,pred already taken by 'eats'
ObjectProperty,has-part,has plant source,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8714; levenshtein=0.4286; semantic=0.5383; sequence_match=0.5714,False,0.6604,False,top-3 avg score 0.6604 < final_threshold 0.7
ObjectProperty,has-part,has consumed part,semantic+sequence_match+jaro_winkler,jaro_winkler=0.5429; levenshtein=0.4667; semantic=0.7315; sequence_match=0.6364,False,0.6369,False,top-3 avg score 0.6369 < final_threshold 0.7
ObjectProperty,is-proper-part-of,has consumed part,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5603; levenshtein=0.2667; semantic=0.5615; sequence_match=0.4828,False,0.5349,False,top-3 avg score 0.5349 < final_threshold 0.7
ObjectProperty,has-part,has consumer,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5671; levenshtein=0.2727; semantic=0.5466; sequence_match=0.4444,False,0.5194,False,top-3 avg score 0.5194 < final_threshold 0.7
ObjectProperty,eats,has consumed part,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5444; levenshtein=0.1333; semantic=0.6484; sequence_match=0.3158,False,0.5029,False,top-3 avg score 0.5029 < final_threshold 0.7
ObjectProperty,has-part,eats,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5952; levenshtein=0.1429; semantic=0.5361; sequence_match=0.3636,False,0.4983,False,top-3 avg score 0.4983 < final_threshold 0.7
ObjectProperty,is-part-of,has consumed part,semantic+sequence_match+jaro_winkler,jaro_winkler=0.4139; levenshtein=0.2000; semantic=0.5482; sequence_match=0.4348,False,0.4656,False,top-3 avg score 0.4656 < final_threshold 0.7
ObjectProperty,is-part-of,has plant source,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5940; levenshtein=0.3571; semantic=0.4255; sequence_match=0.3636,False,0.4611,False,top-3 avg score 0.4611 < final_threshold 0.7
ObjectProperty,eaten-by,has consumed part,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4317; levenshtein=0.1333; semantic=0.6720; sequence_match=0.2727,False,0.4588,False,top-3 avg score 0.4588 < final_threshold 0.7
ObjectProperty,eats,has plant source,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5437; levenshtein=0.2143; semantic=0.4932; sequence_match=0.3333,False,0.4567,False,top-3 avg score 0.4567 < final_threshold 0.7
ObjectProperty,is-part-of,eats,jaro_winkler+semantic+levenshtein,jaro_winkler=0.5972; levenshtein=0.2500; semantic=0.4611; sequence_match=0.1667,False,0.4361,False,top-3 avg score 0.4361 < final_threshold 0.7
ObjectProperty,eats,has consumer,jaro_winkler+semantic+levenshtein,jaro_winkler=0.5606; levenshtein=0.1818; semantic=0.5414; sequence_match=0.1333,False,0.4279,False,top-3 avg score 0.4279 < final_threshold 0.7
ObjectProperty,is-proper-part-of,has consumer,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5498; levenshtein=0.1429; semantic=0.3693; sequence_match=0.3200,False,0.413,False,top-3 avg score 0.4130 < final_threshold 0.7
ObjectProperty,is-proper-part-of,has plant source,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5079; levenshtein=0.1429; semantic=0.4104; sequence_match=0.2857,False,0.4013,False,top-3 avg score 0.4013 < final_threshold 0.7
ObjectProperty,eaten-by,has consumer,semantic+jaro_winkler+levenshtein,jaro_winkler=0.4892; levenshtein=0.1818; semantic=0.5053; sequence_match=0.1111,False,0.3921,False,top-3 avg score 0.3921 < final_threshold 0.7
ObjectProperty,is-part-of,has consumer,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4381; levenshtein=0.0909; semantic=0.4222; sequence_match=0.2105,False,0.357,False,top-3 avg score 0.3570 < final_threshold 0.7
ObjectProperty,eaten-by,has plant source,semantic+jaro_winkler+levenshtein,jaro_winkler=0.4365; levenshtein=0.1429; semantic=0.4576; sequence_match=0.0952,False,0.3457,False,top-3 avg score 0.3457 < final_threshold 0.7
ObjectProperty,is-proper-part-of,eats,semantic+jaro_winkler+levenshtein,jaro_winkler=0.3810; levenshtein=0.2143; semantic=0.4414; sequence_match=0.1111,False,0.3455,False,top-3 avg score 0.3455 < final_threshold 0.7
