prop_type,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
ObjectProperty,has license,Has License,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,has version,Has Version,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,implements,Implements,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,is developed by,Developed By,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9487; levenshtein=0.8462; semantic=0.9364; sequence_match=0.9167,False,0.9339,True,selected
ObjectProperty,uses software,Runs Software,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8889; levenshtein=0.7500; semantic=0.8212; sequence_match=0.8333,False,0.8478,True,selected
ObjectProperty,uses platform,Uses Algorithm,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8805; levenshtein=0.4615; semantic=0.6325; sequence_match=0.6400,False,0.7177,True,selected
ObjectProperty,has format specification,Has Modification,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.8496; levenshtein=0.5909; semantic=0.5174; sequence_match=0.7027,False,0.7144,True,selected
ObjectProperty,implements,Implemented In,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9185; levenshtein=0.6923; semantic=0.8329; sequence_match=0.7826,False,0.8446,False,gold already mapped to 'Implements'
ObjectProperty,has license,Licenses,semantic+sequence_match+jaro_winkler,jaro_winkler=0.7667; levenshtein=0.6000; semantic=0.8417; sequence_match=0.7778,False,0.7954,False,gold already mapped to 'Has License'
ObjectProperty,has version,Is Version Of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8424; levenshtein=0.6364; semantic=0.7646; sequence_match=0.7619,False,0.7896,False,gold already mapped to 'Has Version'
ObjectProperty,is software for,Runs Software,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8141; levenshtein=0.5385; semantic=0.7386; sequence_match=0.7200,False,0.7576,False,pred already taken by 'uses software'
ObjectProperty,is developed by,Develops,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8045; levenshtein=0.5385; semantic=0.7540; sequence_match=0.6667,False,0.7417,False,gold already mapped to 'Developed By'
ObjectProperty,has function,Has Modification,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8124; levenshtein=0.5333; semantic=0.6087; sequence_match=0.6923,False,0.7045,False,pred already taken by 'has format specification'
ObjectProperty,has output,Has Type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8296; levenshtein=0.4444; semantic=0.6270; sequence_match=0.6250,False,0.6939,False,top-3 avg score 0.6939 < final_threshold 0.7
ObjectProperty,has clause,Has License,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8115; levenshtein=0.5000; semantic=0.6169; sequence_match=0.6316,False,0.6866,False,top-3 avg score 0.6866 < final_threshold 0.7
ObjectProperty,has clause,Has Feature,jaro_winkler+sequence_match+semantic,jaro_winkler=0.7900; levenshtein=0.6000; semantic=0.6106; sequence_match=0.6316,False,0.6774,False,top-3 avg score 0.6774 < final_threshold 0.7
ObjectProperty,has interface,Has License,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8464; levenshtein=0.4167; semantic=0.6034; sequence_match=0.5455,False,0.6651,False,top-3 avg score 0.6651 < final_threshold 0.7
