role,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
property,haspermission,haspermission,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0000,True,selected
property,hasduty,hasduty,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0000,True,selected
property,hasconstraint,hasconstraint,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0000,True,selected
property,consequence,isconsequenceof,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8505; levenshtein=0.7333; semantic=0.8273; sequence_match=0.8462,False,0.8413,True,selected
property,remedy,isremedyfor,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8485; levenshtein=0.5455; semantic=0.8465; sequence_match=0.7059,False,0.8003,True,selected
property,hasoperator,usesoperator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8190; levenshtein=0.7500; semantic=0.7978; sequence_match=0.7826,False,0.7998,True,selected
property,hasaction,haspart,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8296; levenshtein=0.4444; semantic=0.6555; sequence_match=0.6250,False,0.7034,True,selected
property,hasprohibition,hasparty,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8357; levenshtein=0.3571; semantic=0.6184; sequence_match=0.5455,False,0.6665,True,selected
property,hasconstraint,hassubconstraint,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.9204; levenshtein=0.8125; semantic=0.8048; sequence_match=0.8966,False,0.8765,False,gold already mapped to 'hasconstraint'
property,hasconstraint,constrains,sequence_match+semantic+jaro_winkler,jaro_winkler=0.7564; levenshtein=0.6923; semantic=0.7760; sequence_match=0.7826,False,0.7717,False,gold already mapped to 'hasconstraint'
property,hasoperator,haspart,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8818; levenshtein=0.5455; semantic=0.6414; sequence_match=0.6667,False,0.7300,False,gold already mapped to 'usesoperator'
property,hasduty,hasparty,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8458; levenshtein=0.6250; semantic=0.6680; sequence_match=0.6667,False,0.7268,False,gold already mapped to 'hasduty'
property,hasprohibition,haspermission,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8448; levenshtein=0.5714; semantic=0.6494; sequence_match=0.6667,False,0.7203,False,pred already taken by 'haspermission' (higher averaged score)
property,hasoperator,hasparty,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8527; levenshtein=0.5455; semantic=0.6210; sequence_match=0.6316,False,0.7017,False,gold already mapped to 'usesoperator'
