side,dimension,sub,sup,status,raw_pred_sub,raw_pred_sup
gold,class,SWO_1000008,SWO_0000002,FN,,
gold,class,SWO_1000059,SWO_1000058,FN,,
gold,class,SWO_1000060,SWO_1000058,FN,,
gold,class,SWO_9000051,SWO_9000050,FN,,
gold,class,SWO_9000054,SWO_9000050,FN,,
gold,class,SWO_9000073,SWO_9000061,FN,,
gold,class,format_2332,IAO_0000098,FN,,
pred,class,SWO_0000084,IAO_0000098,FP,,
pred,class,SWO_1000008,SWO_0000392,FP,,
pred,class,SWO_3000043,IAO_0000098,FP,,
pred,class,SWO_9000051,IAO_0000010,FP,,
pred,class,,,untranslated,GifRendering,Capability
pred,class,,,untranslated,Maintained,MaintenanceStatus
pred,class,,,untranslated,ProprietaryLicense,SoftwareLicenseType
pred,class,,,untranslated,Unmaintained,MaintenanceStatus
pred,class,,,untranslated,XMLEditing,Capability
gold,property,SWO_0004002,SWO_0000741,FN,,
