prop_type,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
ObjectProperty,has license,has license,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,has version,has version,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,is developed by,developed by,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9487; levenshtein=0.8462; semantic=0.9364; sequence_match=0.9167,False,0.9339,True,selected
ObjectProperty,implements,implemented in,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9185; levenshtein=0.6923; semantic=0.8329; sequence_match=0.7826,False,0.8446,True,selected
ObjectProperty,has output,has output format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9200; levenshtein=0.6000; semantic=0.8329; sequence_match=0.7500,False,0.8343,True,selected
ObjectProperty,has input,has input format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9143; levenshtein=0.5714; semantic=0.7945; sequence_match=0.7273,False,0.812,True,selected
ObjectProperty,uses platform,platform for,semantic+jaro_winkler+sequence_match,jaro_winkler=0.7980; levenshtein=0.4167; semantic=0.8540; sequence_match=0.6957,False,0.7825,True,selected
ObjectProperty,is software for,software type of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7945; levenshtein=0.5000; semantic=0.7447; sequence_match=0.6667,False,0.7353,True,selected
ObjectProperty,uses software,has software type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7833; levenshtein=0.5333; semantic=0.7271; sequence_match=0.6667,False,0.7257,True,selected
ObjectProperty,has format specification,has modification,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.8496; levenshtein=0.5909; semantic=0.5174; sequence_match=0.7027,False,0.7144,True,selected
ObjectProperty,has function,has documentation,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8213; levenshtein=0.5625; semantic=0.6451; sequence_match=0.6667,False,0.711,True,selected
ObjectProperty,implements,implementation of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8925; levenshtein=0.5625; semantic=0.8688; sequence_match=0.6923,False,0.8179,False,gold already mapped to 'implemented in'
ObjectProperty,has version,version of,semantic+sequence_match+jaro_winkler,jaro_winkler=0.7307; levenshtein=0.5000; semantic=0.8545; sequence_match=0.7368,False,0.774,False,gold already mapped to 'has version'
ObjectProperty,is developed by,develops,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8045; levenshtein=0.5385; semantic=0.7540; sequence_match=0.6667,False,0.7417,False,gold already mapped to 'developed by'
ObjectProperty,uses platform,uses algorithm,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8805; levenshtein=0.4615; semantic=0.6325; sequence_match=0.6400,False,0.7177,False,gold already mapped to 'platform for'
ObjectProperty,has license,license for,semantic+sequence_match+jaro_winkler,jaro_winkler=0.6571; levenshtein=0.4000; semantic=0.7889; sequence_match=0.7000,False,0.7153,False,gold already mapped to 'has license'
ObjectProperty,has function,has modification,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8124; levenshtein=0.5333; semantic=0.6087; sequence_match=0.6923,False,0.7045,False,gold already mapped to 'has documentation'
ObjectProperty,uses software,software type of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6865; levenshtein=0.2857; semantic=0.7697; sequence_match=0.6154,False,0.6905,False,top-3 avg score 0.6905 < final_threshold 0.7
ObjectProperty,has interface,has input format,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8563; levenshtein=0.5000; semantic=0.5949; sequence_match=0.6154,False,0.6889,False,top-3 avg score 0.6889 < final_threshold 0.7
ObjectProperty,has clause,has license,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8115; levenshtein=0.5000; semantic=0.6169; sequence_match=0.6316,False,0.6866,False,top-3 avg score 0.6866 < final_threshold 0.7
ObjectProperty,has interface,has license,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8464; levenshtein=0.4167; semantic=0.6034; sequence_match=0.5455,False,0.6651,False,top-3 avg score 0.6651 < final_threshold 0.7
ObjectProperty,has output,has documentation,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8169; levenshtein=0.3750; semantic=0.6113; sequence_match=0.5600,False,0.6627,False,top-3 avg score 0.6627 < final_threshold 0.7
ObjectProperty,has format specification,has documentation,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8069; levenshtein=0.4545; semantic=0.6004; sequence_match=0.5789,False,0.6621,False,top-3 avg score 0.6621 < final_threshold 0.7
ObjectProperty,is software for,has software type,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6530; levenshtein=0.6000; semantic=0.6819; sequence_match=0.6429,False,0.6593,False,top-3 avg score 0.6593 < final_threshold 0.7
ObjectProperty,has output,has input format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8449; levenshtein=0.4286; semantic=0.6085; sequence_match=0.5217,False,0.6584,False,top-3 avg score 0.6584 < final_threshold 0.7
ObjectProperty,has format specification,has output format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6707; levenshtein=0.3636; semantic=0.8151; sequence_match=0.4865,False,0.6574,False,top-3 avg score 0.6574 < final_threshold 0.7
ObjectProperty,has format specification,has input format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6898; levenshtein=0.2727; semantic=0.7557; sequence_match=0.5000,False,0.6485,False,top-3 avg score 0.6485 < final_threshold 0.7
ObjectProperty,has specified data input,has modification,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8339; levenshtein=0.4286; semantic=0.5451; sequence_match=0.5556,False,0.6448,False,top-3 avg score 0.6448 < final_threshold 0.7
ObjectProperty,has license,has version,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7933; levenshtein=0.3000; semantic=0.6209; sequence_match=0.5000,False,0.6381,False,top-3 avg score 0.6381 < final_threshold 0.7
ObjectProperty,has version,has license,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7933; levenshtein=0.3000; semantic=0.6209; sequence_match=0.5000,False,0.6381,False,top-3 avg score 0.6381 < final_threshold 0.7
ObjectProperty,has specified data output,has output format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6535; levenshtein=0.2727; semantic=0.7590; sequence_match=0.4865,False,0.633,False,top-3 avg score 0.6330 < final_threshold 0.7
ObjectProperty,has function,has version,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6596; levenshtein=0.5455; semantic=0.6556; sequence_match=0.5714,False,0.6289,False,top-3 avg score 0.6289 < final_threshold 0.7
ObjectProperty,has input,has license,jaro_winkler+sequence_match+semantic,jaro_winkler=0.7958; levenshtein=0.4000; semantic=0.5326; sequence_match=0.5556,False,0.628,False,top-3 avg score 0.6280 < final_threshold 0.7
ObjectProperty,has interface,has homepage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6818; levenshtein=0.5000; semantic=0.6613; sequence_match=0.5217,False,0.6216,False,top-3 avg score 0.6216 < final_threshold 0.7
ObjectProperty,has output,output format for,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6889; levenshtein=0.2000; semantic=0.6721; sequence_match=0.5000,False,0.6203,False,top-3 avg score 0.6203 < final_threshold 0.7
ObjectProperty,uses software,uses algorithm,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6774; levenshtein=0.3077; semantic=0.7035; sequence_match=0.4800,False,0.6203,False,top-3 avg score 0.6203 < final_threshold 0.7
ObjectProperty,has specified data input,has input format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6164; levenshtein=0.2857; semantic=0.7702; sequence_match=0.4571,False,0.6146,False,top-3 avg score 0.6146 < final_threshold 0.7
