Gold_term,Pre_term,Method,Score
has release date,release date,top3_avg(jaro_winkler+semantic+sequence_match),0.8759
has format specification,has modification,top3_avg(jaro_winkler+levenshtein+sequence_match),0.7144
has function,has documentation,top3_avg(jaro_winkler+semantic+sequence_match),0.711
has input,has input format,top3_avg(jaro_winkler+semantic+sequence_match),0.812
has license,has license,hard_match,1.0
has output,has output format,top3_avg(jaro_winkler+semantic+sequence_match),0.8343
has version,has version,hard_match,1.0
implements,implemented in,top3_avg(jaro_winkler+semantic+sequence_match),0.8446
is developed by,developed by,top3_avg(jaro_winkler+semantic+sequence_match),0.9339
is software for,software type of,top3_avg(jaro_winkler+semantic+sequence_match),0.7353
uses platform,platform for,top3_avg(jaro_winkler+semantic+sequence_match),0.7825
uses software,has software type,top3_avg(jaro_winkler+semantic+sequence_match),0.7257
