Redundancy results (Text Similarity only):
{'Concept 1': 'Action', 'Concept 2': 'Aggregation', 'IC 1': 0.537244, 'IC 2': 1.0, 'Text Similarity': 0.0}
{'Concept 1': 'Action', 'Concept 2': 'Asset', 'IC 1': 0.537244, 'IC 2': 1.0, 'Text Similarity': 0.0}
{'Concept 1': 'Action', 'Concept 2': 'Constraint', 'IC 1': 0.537244, 'IC 2': 0.768622, 'Text Similarity': 0.0}
{'Concept 1': 'Action', 'Concept 2': 'Container', 'IC 1': 0.537244, 'IC 2': 1.0, 'Text Similarity': 0.0}
{'Concept 1': 'Action', 'Concept 2': 'Disaggregation', 'IC 1': 0.537244, 'IC 2': 1.0, 'Text Similarity': 0.0}
{'Concept 1': 'Action', 'Concept 2': 'Document Type', 'IC 1': 0.537244, 'IC 2': 1.0, 'Text Similarity': 0.0}
{'Concept 1': 'Action', 'Concept 2': 'Duty', 'IC 1': 0.537244, 'IC 2': 0.768622, 'Text Similarity': 0.0}
{'Concept 1': 'Action', 'Concept 2': 'Fair Use', 'IC 1': 0.537244, 'IC 2': 1.0, 'Text Similarity': 0.0}
{'Concept 1': 'Action', 'Concept 2': 'Meter', 'IC 1': 0.537244, 'IC 2': 1.0, 'Text Similarity': 0.0}
{'Concept 1': 'Action', 'Concept 2': 'Negotiation Process', 'IC 1': 0.537244, 'IC 2': 1.0, 'Text Similarity': 0.0}
{'Concept 1': 'Action', 'Concept 2': 'Party', 'IC 1': 0.537244, 'IC 2': 1.0, 'Text Similarity': 0.0}
{'Concept 1': 'Action', 'Concept 2': 'Payment Requirement', 'IC 1': 0.537244, 'IC 2': 1.0, 'Text Similarity': 0.0}
{'Concept 1': 'Action', 'Concept 2': 'Permission', 'IC 1': 0.537244, 'IC 2': 1.0, 'Text Similarity': 0.0}
{'Concept 1': 'Action', 'Concept 2': 'Policy', 'IC 1': 0.537244, 'IC 2': 0.401896, 'Text Similarity': 0.0}
{'Concept 1': 'Action', 'Concept 2': 'Prohibition', 'IC 1': 0.537244, 'IC 2': 1.0, 'Text Similarity': 0.0}
{'Concept 1': 'Action', 'Concept 2': 'Role', 'IC 1': 0.537244, 'IC 2': 1.0, 'Text Similarity': 0.0}
{'Concept 1': 'Action', 'Concept 2': 'Rule', 'IC 1': 0.537244, 'IC 2': 0.462756, 'Text Similarity': 0.0}
{'Concept 1': 'Action', 'Concept 2': 'Status', 'IC 1': 0.537244, 'IC 2': 1.0, 'Text Similarity': 0.0}
{'Concept 1': 'Action', 'Concept 2': 'Transfer Right', 'IC 1': 0.537244, 'IC 2': 1.0, 'Text Similarity': 0.0}
{'Concept 1': 'Aggregation', 'Concept 2': 'Asset', 'IC 1': 1.0, 'IC 2': 1.0, 'Text Similarity': 0.0}
{'Concept 1': 'Aggregation', 'Concept 2': 'Constraint', 'IC 1': 1.0, 'IC 2': 0.768622, 'Text Similarity': 0.0}
{'Concept 1': 'Aggregation', 'Concept 2': 'Container', 'IC 1': 1.0, 'IC 2': 1.0, 'Text Similarity': 0.0}
{'Concept 1': 'Aggregation', 'Concept 2': 'Disaggregation', 'IC 1': 1.0, 'IC 2': 1.0, 'Text Similarity': 0.0}
{'Concept 1': 'Aggregation', 'Concept 2': 'Document Type', 'IC 1': 1.0, 'IC 2': 1.0, 'Text Similarity': 0.0}
{'Concept 1': 'Aggregation', 'Concept 2': 'Duty', 'IC 1': 1.0, 'IC 2': 0.768622, 'Text Similarity': 0.0}
{'Concept 1': 'Aggregation', 'Concept 2': 'Fair Use', 'IC 1': 1.0, 'IC 2': 1.0, 'Text Similarity': 0.0}
{'Concept 1': 'Aggregation', 'Concept 2': 'Meter', 'IC 1': 1.0, 'IC 2': 1.0, 'Text Similarity': 0.0}
{'Concept 1': 'Aggregation', 'Concept 2': 'Negotiation Process', 'IC 1': 1.0, 'IC 2': 1.0, 'Text Similarity': 0.0}
{'Concept 1': 'Aggregation', 'Concept 2': 'Party', 'IC 1': 1.0, 'IC 2': 1.0, 'Text Similarity': 0.0}
{'Concept 1': 'Aggregation', 'Concept 2': 'Payment Requirement', 'IC 1': 1.0, 'IC 2': 1.0, 'Text Similarity': 0.0}
{'Concept 1': 'Aggregation', 'Concept 2': 'Permission', 'IC 1': 1.0, 'IC 2': 1.0, 'Text Similarity': 0.0}
{'Concept 1': 'Aggregation', 'Concept 2': 'Policy', 'IC 1': 1.0, 'IC 2': 0.401896, 'Text Similarity': 0.0}
{'Concept 1': 'Aggregation', 'Concept 2': 'Prohibition', 'IC 1': 1.0, 'IC 2': 1.0, 'Text Similarity': 0.0}
{'Concept 1': 'Aggregation', 'Concept 2': 'Role', 'IC 1': 1.0, 'IC 2': 1.0, 'Text Similarity': 0.0}
{'Concept 1': 'Aggregation', 'Concept 2': 'Rule', 'IC 1': 1.0, 'IC 2': 0.462756, 'Text Similarity': 0.0}
{'Concept 1': 'Aggregation', 'Concept 2': 'Status', 'IC 1': 1.0, 'IC 2': 1.0, 'Text Similarity': 0.0}
{'Concept 1': 'Aggregation', 'Concept 2': 'Transfer Right', 'IC 1': 1.0, 'IC 2': 1.0, 'Text Similarity': 0.0}
{'Concept 1': 'Asset', 'Concept 2': 'Constraint', 'IC 1': 1.0, 'IC 2': 0.768622, 'Text Similarity': 0.0}
{'Concept 1': 'Asset', 'Concept 2': 'Container', 'IC 1': 1.0, 'IC 2': 1.0, 'Text Similarity': 0.0}
{'Concept 1': 'Asset', 'Concept 2': 'Disaggregation', 'IC 1': 1.0, 'IC 2': 1.0, 'Text Similarity': 0.0}
{'Concept 1': 'Asset', 'Concept 2': 'Document Type', 'IC 1': 1.0, 'IC 2': 1.0, 'Text Similarity': 0.0}
{'Concept 1': 'Asset', 'Concept 2': 'Duty', 'IC 1': 1.0, 'IC 2': 0.768622, 'Text Similarity': 0.0}
{'Concept 1': 'Asset', 'Concept 2': 'Fair Use', 'IC 1': 1.0, 'IC 2': 1.0, 'Text Similarity': 0.0}
{'Concept 1': 'Asset', 'Concept 2': 'Meter', 'IC 1': 1.0, 'IC 2': 1.0, 'Text Similarity': 0.0}
{'Concept 1': 'Asset', 'Concept 2': 'Negotiation Process', 'IC 1': 1.0, 'IC 2': 1.0, 'Text Similarity': 0.0}
{'Concept 1': 'Asset', 'Concept 2': 'Party', 'IC 1': 1.0, 'IC 2': 1.0, 'Text Similarity': 0.0}
{'Concept 1': 'Asset', 'Concept 2': 'Payment Requirement', 'IC 1': 1.0, 'IC 2': 1.0, 'Text Similarity': 0.0}
{'Concept 1': 'Asset', 'Concept 2': 'Permission', 'IC 1': 1.0, 'IC 2': 1.0, 'Text Similarity': 0.0}
