PropertyType,GoldPredicate,PredPredicate,GoldPredicateNorm,PredPredicateNorm,GoldType,PredType,TypeVerdict,GoldDomain,PredDomain,GoldDomainNorm,PredDomainNorm,DomainStatus,GoldRange,PredRange,GoldRangeNorm,PredRangeNorm,RangeStatus,FullMatch,Note
DatatypeProperty,has documentation,documentation URL,hasdocumentation,documentationurl,DatatypeProperty,DatatypeProperty,tp,,Software Tool,,softwaretool,fp,xsd:string,xsd:anyuri,xsdstring,xsdanyuri,mismatch,NO,
DatatypeProperty,has release date,release date,hasreleasedate,releasedate,DatatypeProperty,DatatypeProperty,tp,,Software Version,,softwareversion,fp,xsd:string,xsd:date,xsdstring,xsddate,mismatch,NO,
DatatypeProperty,has support URL,support URL,hassupporturl,supporturl,DatatypeProperty,DatatypeProperty,tp,,Software Tool,,softwaretool,fp,xsd:http://www.w3.org/2000/01/rdf-schema#literal,xsd:anyuri,literal,xsdanyuri,mismatch,NO,
ObjectProperty,has input,has input format,hasinput,hasinputformat,ObjectProperty,ObjectProperty,tp,,Software Tool,,softwaretool,fp,,Data Format,,dataformat,fp,NO,
ObjectProperty,has license,has license,haslicense,haslicense,ObjectProperty,ObjectProperty,tp,,Software Tool,,softwaretool,fp,,License,,license,fp,NO,
ObjectProperty,has output,has output format,hasoutput,hasoutputformat,ObjectProperty,ObjectProperty,tp,,Software Tool,,softwaretool,fp,,Data Format,,dataformat,fp,NO,
ObjectProperty,has version,has version,hasversion,hasversion,ObjectProperty,ObjectProperty,tp,,Software Tool,,softwaretool,fp,version number,Software Version,versionnumber,softwareversion,mismatch,NO,
ObjectProperty,implements,implements,implements,implements,ObjectProperty,ObjectProperty,tp,,Programming Language,,programminglanguage,fp,algorithm,Software Tool,algorithm,softwaretool,mismatch,NO,
ObjectProperty,is developed by,developed by,isdevelopedby,developedby,ObjectProperty,ObjectProperty,tp,,Software Tool,,softwaretool,fp,,Developer,,developer,fp,NO,
ObjectProperty,is software for,software type of,issoftwarefor,softwaretypeof,ObjectProperty,ObjectProperty,tp,,Software Type,,softwaretype,fp,,Software Tool,,softwaretool,fp,NO,
ObjectProperty,uses platform,uses algorithm,usesplatform,usesalgorithm,ObjectProperty,ObjectProperty,tp,,Software Tool,,softwaretool,fp,,Algorithm,,algorithm,fp,NO,
ObjectProperty,uses software,has software type,usessoftware,hassoftwaretype,ObjectProperty,ObjectProperty,tp,SWO_0000001,Software Tool,swo0000001,softwaretool,mismatch,SWO_0000001,Software Type,swo0000001,softwaretype,mismatch,NO,
