prop_type,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
ObjectProperty,constraint,has constraint,semantic+sequence_match+jaro_winkler,jaro_winkler=0.8231; levenshtein=0.7692; semantic=0.9340; sequence_match=0.8696,False,0.8755,True,selected
ObjectProperty,consequence,has consequence,sequence_match+jaro_winkler+semantic,jaro_winkler=0.8680; levenshtein=0.7857; semantic=0.8598; sequence_match=0.8800,False,0.8693,True,selected
ObjectProperty,operator,is operator of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8889; levenshtein=0.6667; semantic=0.8638; sequence_match=0.8000,False,0.8509,True,selected
ObjectProperty,remedy,has remedy,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8889; levenshtein=0.6667; semantic=0.8339; sequence_match=0.8000,False,0.8409,True,selected
ObjectProperty,assigner,assigned to party,jaro_winkler+sequence_match+semantic,jaro_winkler=0.9067; levenshtein=0.5333; semantic=0.6617; sequence_match=0.6957,False,0.7547,True,selected
ObjectProperty,conflict,has conflict strategy,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8070; levenshtein=0.4211; semantic=0.7881; sequence_match=0.5926,False,0.7292,True,selected
ObjectProperty,constraint,is constraint of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.8381; levenshtein=0.7143; semantic=0.8875; sequence_match=0.8333,False,0.853,False,gold already mapped to 'has constraint'
ObjectProperty,consequence,is consequence of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8505; levenshtein=0.7333; semantic=0.8490; sequence_match=0.8462,False,0.8485,False,gold already mapped to 'has consequence'
ObjectProperty,operator,uses operator,semantic+jaro_winkler+sequence_match,jaro_winkler=0.8472; levenshtein=0.6667; semantic=0.8673; sequence_match=0.8000,False,0.8382,False,gold already mapped to 'is operator of'
ObjectProperty,remedy,is remedy for,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8485; levenshtein=0.5455; semantic=0.7881; sequence_match=0.7059,False,0.7808,False,gold already mapped to 'has remedy'
ObjectProperty,assignee,assigned to party,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8683; levenshtein=0.4667; semantic=0.7402; sequence_match=0.6087,False,0.7391,False,pred already taken by 'assigner'
