role,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
class,player,player,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0000,True,selected
class,game,game,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0000,True,selected
class,achievement,achievement,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0000,True,selected
class,genre,genre,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0000,True,selected
class,item,item,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0000,True,selected
class,playingarea,playingarea,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0000,True,selected
class,inapppurchaseevent,inapppurchase,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9444; levenshtein=0.7222; semantic=0.8820; sequence_match=0.8387,False,0.8884,True,selected
class,achievement,achievementtype,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9467; levenshtein=0.7333; semantic=0.8536; sequence_match=0.8462,False,0.8821,False,gold already mapped to 'achievement'
class,player,playingarea,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8576; levenshtein=0.4545; semantic=0.6573; sequence_match=0.5882,False,0.7010,False,gold already mapped to 'player'
class,playingarea,player,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8576; levenshtein=0.4545; semantic=0.6573; sequence_match=0.5882,False,0.7010,False,gold already mapped to 'playingarea'
class,item,time,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8333; levenshtein=0.2500; semantic=0.5285; sequence_match=0.5000,False,0.6206,False,gold already mapped to 'item'
class,inapppurchaseevent,achievement,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6616; levenshtein=0.3889; semantic=0.5154; sequence_match=0.5517,False,0.5762,False,top-3 avg score 0.5762 < final_threshold 0.6
class,game,time,jaro_winkler+semantic+levenshtein,jaro_winkler=0.6667; levenshtein=0.5000; semantic=0.5569; sequence_match=0.5000,False,0.5745,False,top-3 avg score 0.5745 < final_threshold 0.6
class,game,genre,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6333; levenshtein=0.4000; semantic=0.6180; sequence_match=0.4444,False,0.5653,False,top-3 avg score 0.5653 < final_threshold 0.6
class,genre,game,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6333; levenshtein=0.4000; semantic=0.6180; sequence_match=0.4444,False,0.5653,False,top-3 avg score 0.5653 < final_threshold 0.6
class,player,game,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6111; levenshtein=0.3333; semantic=0.6809; sequence_match=0.4000,False,0.5640,False,top-3 avg score 0.5640 < final_threshold 0.6
class,game,player,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6111; levenshtein=0.3333; semantic=0.6809; sequence_match=0.4000,False,0.5640,False,top-3 avg score 0.5640 < final_threshold 0.6
class,achievement,item,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6742; levenshtein=0.2727; semantic=0.5751; sequence_match=0.4000,False,0.5498,False,top-3 avg score 0.5498 < final_threshold 0.6
class,item,achievement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6742; levenshtein=0.2727; semantic=0.5751; sequence_match=0.4000,False,0.5498,False,top-3 avg score 0.5498 < final_threshold 0.6
class,game,achievement,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5606; levenshtein=0.1818; semantic=0.6667; sequence_match=0.4000,False,0.5424,False,top-3 avg score 0.5424 < final_threshold 0.6
class,achievement,game,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5606; levenshtein=0.1818; semantic=0.6667; sequence_match=0.4000,False,0.5424,False,top-3 avg score 0.5424 < final_threshold 0.6
class,inapppurchaseevent,achievementtype,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6074; levenshtein=0.1667; semantic=0.4607; sequence_match=0.4848,False,0.5176,False,top-3 avg score 0.5176 < final_threshold 0.6
class,item,friend,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6111; levenshtein=0.1667; semantic=0.5392; sequence_match=0.4000,False,0.5168,False,top-3 avg score 0.5168 < final_threshold 0.6
class,inapppurchaseevent,iap,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7500; levenshtein=0.1667; semantic=0.5081; sequence_match=0.2857,False,0.5146,False,top-3 avg score 0.5146 < final_threshold 0.6
class,playingarea,location,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6212; levenshtein=0.0909; semantic=0.4981; sequence_match=0.4211,False,0.5135,False,top-3 avg score 0.5135 < final_threshold 0.6
class,game,customer,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5833; levenshtein=0.2500; semantic=0.5854; sequence_match=0.3333,False,0.5007,False,top-3 avg score 0.5007 < final_threshold 0.6
class,item,achievementtype,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6500; levenshtein=0.2000; semantic=0.5348; sequence_match=0.3158,False,0.5002,False,top-3 avg score 0.5002 < final_threshold 0.6
class,achievement,time,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5606; levenshtein=0.2727; semantic=0.5344; sequence_match=0.4000,False,0.4983,False,top-3 avg score 0.4983 < final_threshold 0.6
class,genre,friend,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5889; levenshtein=0.1667; semantic=0.5386; sequence_match=0.3636,False,0.4970,False,top-3 avg score 0.4970 < final_threshold 0.6
