role,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
property,hasbody,hasbody,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0000,True,selected
property,hasvintageyear,hasvintageyear,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0000,True,selected
property,hasvintageyear,hasvintage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9429; levenshtein=0.7143; semantic=0.8555; sequence_match=0.8333,False,0.8772,False,gold already mapped to 'hasvintageyear'
property,hasbody,hasbouquet,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8429; levenshtein=0.5000; semantic=0.6621; sequence_match=0.5882,False,0.6977,False,gold already mapped to 'hasbody'
property,hasbody,hastype,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8000; levenshtein=0.4286; semantic=0.7136; sequence_match=0.5714,False,0.6950,False,gold already mapped to 'hasbody'
property,hasvintageyear,hastype,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7944; levenshtein=0.3571; semantic=0.6578; sequence_match=0.4762,False,0.6428,False,gold already mapped to 'hasvintageyear'
property,hasvintageyear,hasgrapevariety,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8241; levenshtein=0.2667; semantic=0.6227; sequence_match=0.4138,False,0.6202,False,gold already mapped to 'hasvintageyear'
property,hasbody,hascolor,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6905; levenshtein=0.5000; semantic=0.6310; sequence_match=0.5333,False,0.6183,False,gold already mapped to 'hasbody'
property,hasvintageyear,hasquality,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6857; levenshtein=0.2857; semantic=0.6154; sequence_match=0.5000,False,0.6004,False,gold already mapped to 'hasvintageyear'
property,madefromgrape,hasgrapevariety,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6329; levenshtein=0.2000; semantic=0.7348; sequence_match=0.4286,False,0.5988,False,top-3 avg score 0.5988 < final_threshold 0.6
property,haswinedescriptor,hasvintageyear,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6807; levenshtein=0.3529; semantic=0.5728; sequence_match=0.5161,False,0.5899,False,top-3 avg score 0.5899 < final_threshold 0.6
property,hasbody,hasquality,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6571; levenshtein=0.4000; semantic=0.6204; sequence_match=0.4706,False,0.5827,False,top-3 avg score 0.5827 < final_threshold 0.6
property,hasbody,hasregion,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6720; levenshtein=0.3333; semantic=0.5666; sequence_match=0.5000,False,0.5795,False,top-3 avg score 0.5795 < final_threshold 0.6
property,haswinedescriptor,hasvintage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6510; levenshtein=0.2941; semantic=0.5967; sequence_match=0.4444,False,0.5640,False,top-3 avg score 0.5640 < final_threshold 0.6
property,haswinedescriptor,hascolor,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6397; levenshtein=0.3529; semantic=0.5089; sequence_match=0.4800,False,0.5429,False,top-3 avg score 0.5429 < final_threshold 0.6
property,yearvalue,hasvintageyear,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5767; levenshtein=0.2143; semantic=0.7023; sequence_match=0.3478,False,0.5423,False,top-3 avg score 0.5423 < final_threshold 0.6
property,haswinedescriptor,hasgrapevariety,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6850; levenshtein=0.4118; semantic=0.4999; sequence_match=0.4375,False,0.5408,False,top-3 avg score 0.5408 < final_threshold 0.6
property,haswinedescriptor,hascharacteristic,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6255; levenshtein=0.3529; semantic=0.5692; sequence_match=0.4118,False,0.5355,False,top-3 avg score 0.5355 < final_threshold 0.6
property,hasvintageyear,hasregion,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6640; levenshtein=0.2857; semantic=0.4977; sequence_match=0.4348,False,0.5322,False,top-3 avg score 0.5322 < final_threshold 0.6
property,hasbody,hasvintageyear,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6190; levenshtein=0.2857; semantic=0.5930; sequence_match=0.3810,False,0.5310,False,top-3 avg score 0.5310 < final_threshold 0.6
property,hasvintageyear,hasbody,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6190; levenshtein=0.2857; semantic=0.5930; sequence_match=0.3810,False,0.5310,False,top-3 avg score 0.5310 < final_threshold 0.6
property,hasbody,hasvintage,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5762; levenshtein=0.3000; semantic=0.6332; sequence_match=0.3529,False,0.5208,False,top-3 avg score 0.5208 < final_threshold 0.6
property,hasvintageyear,hascolor,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5952; levenshtein=0.2857; semantic=0.5924; sequence_match=0.3636,False,0.5171,False,top-3 avg score 0.5171 < final_threshold 0.6
property,haswinedescriptor,hastype,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6022; levenshtein=0.2353; semantic=0.6124; sequence_match=0.3333,False,0.5160,False,top-3 avg score 0.5160 < final_threshold 0.6
property,haswinedescriptor,hasbody,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6022; levenshtein=0.2353; semantic=0.5920; sequence_match=0.3333,False,0.5092,False,top-3 avg score 0.5092 < final_threshold 0.6
property,hasvintageyear,hascharacteristic,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5973; levenshtein=0.2941; semantic=0.6064; sequence_match=0.3226,False,0.5088,False,top-3 avg score 0.5088 < final_threshold 0.6
property,haswinedescriptor,hasbouquet,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5980; levenshtein=0.2941; semantic=0.5474; sequence_match=0.3704,False,0.5053,False,top-3 avg score 0.5053 < final_threshold 0.6
property,haswinedescriptor,hasquality,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5980; levenshtein=0.2941; semantic=0.5141; sequence_match=0.3704,False,0.4942,False,top-3 avg score 0.4942 < final_threshold 0.6
property,hasbody,hasgrapevariety,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5429; levenshtein=0.2667; semantic=0.5750; sequence_match=0.3636,False,0.4938,False,top-3 avg score 0.4938 < final_threshold 0.6
property,hasvintageyear,hasbouquet,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5524; levenshtein=0.2857; semantic=0.5868; sequence_match=0.3333,False,0.4908,False,top-3 avg score 0.4908 < final_threshold 0.6
property,madefromgrape,isusedtomake,jaro_winkler+semantic+levenshtein,jaro_winkler=0.5983; levenshtein=0.3077; semantic=0.5631; sequence_match=0.2400,False,0.4897,False,top-3 avg score 0.4897 < final_threshold 0.6
property,hasbody,hascharacteristic,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5350; levenshtein=0.1765; semantic=0.6494; sequence_match=0.2500,False,0.4781,False,top-3 avg score 0.4781 < final_threshold 0.6
property,haswinedescriptor,hasregion,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6176; levenshtein=0.3529; semantic=0.4233; sequence_match=0.3846,False,0.4752,False,top-3 avg score 0.4752 < final_threshold 0.6
property,yearvalue,hasquality,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5315; levenshtein=0.2000; semantic=0.5537; sequence_match=0.3158,False,0.4670,False,top-3 avg score 0.4670 < final_threshold 0.6
property,yearvalue,hasvintage,jaro_winkler+semantic+levenshtein,jaro_winkler=0.6148; levenshtein=0.2000; semantic=0.5776; sequence_match=0.1053,False,0.4642,False,top-3 avg score 0.4642 < final_threshold 0.6
property,yearvalue,hasgrapevariety,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5778; levenshtein=0.2667; semantic=0.4689; sequence_match=0.3333,False,0.4600,False,top-3 avg score 0.4600 < final_threshold 0.6
property,yearvalue,hasbouquet,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5444; levenshtein=0.2000; semantic=0.5169; sequence_match=0.3158,False,0.4590,False,top-3 avg score 0.4590 < final_threshold 0.6
property,madefromgrape,hastype,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4799; levenshtein=0.2308; semantic=0.5866; sequence_match=0.3000,False,0.4555,False,top-3 avg score 0.4555 < final_threshold 0.6
property,yearvalue,hastype,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5026; levenshtein=0.2222; semantic=0.5774; sequence_match=0.2500,False,0.4433,False,top-3 avg score 0.4433 < final_threshold 0.6
property,yearvalue,hascharacteristic,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4766; levenshtein=0.1765; semantic=0.5133; sequence_match=0.3077,False,0.4325,False,top-3 avg score 0.4325 < final_threshold 0.6
property,haswinedescriptor,isusedtomake,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4510; levenshtein=0.1765; semantic=0.4825; sequence_match=0.3448,False,0.4261,False,top-3 avg score 0.4261 < final_threshold 0.6
property,yearvalue,isusedtomake,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5093; levenshtein=0.1667; semantic=0.4719; sequence_match=0.2857,False,0.4223,False,top-3 avg score 0.4223 < final_threshold 0.6
property,madefromgrape,hasvintageyear,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5189; levenshtein=0.1429; semantic=0.5224; sequence_match=0.2222,False,0.4212,False,top-3 avg score 0.4212 < final_threshold 0.6
property,madefromgrape,hasvintage,semantic+jaro_winkler+levenshtein,jaro_winkler=0.4859; levenshtein=0.2308; semantic=0.5194; sequence_match=0.1739,False,0.4120,False,top-3 avg score 0.4120 < final_threshold 0.6
property,madefromgrape,hascharacteristic,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4929; levenshtein=0.1765; semantic=0.4680; sequence_match=0.2667,False,0.4092,False,top-3 avg score 0.4092 < final_threshold 0.6
property,yearvalue,hascolor,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4907; levenshtein=0.2222; semantic=0.4874; sequence_match=0.2353,False,0.4045,False,top-3 avg score 0.4045 < final_threshold 0.6
property,hasvintageyear,isusedtomake,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5317; levenshtein=0.1429; semantic=0.5217; sequence_match=0.1538,False,0.4024,False,top-3 avg score 0.4024 < final_threshold 0.6
property,madefromgrape,hasregion,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5134; levenshtein=0.2308; semantic=0.3980; sequence_match=0.2727,False,0.3947,False,top-3 avg score 0.3947 < final_threshold 0.6
property,madefromgrape,hascolor,semantic+jaro_winkler+levenshtein,jaro_winkler=0.4241; levenshtein=0.2308; semantic=0.5167; sequence_match=0.1905,False,0.3906,False,top-3 avg score 0.3906 < final_threshold 0.6
property,madefromgrape,hasbody,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4420; levenshtein=0.1538; semantic=0.5089; sequence_match=0.2000,False,0.3836,False,top-3 avg score 0.3836 < final_threshold 0.6
property,madefromgrape,hasquality,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4513; levenshtein=0.0769; semantic=0.5174; sequence_match=0.1739,False,0.3809,False,top-3 avg score 0.3809 < final_threshold 0.6
property,madefromgrape,hasbouquet,semantic+jaro_winkler+sequence_match,jaro_winkler=0.3991; levenshtein=0.1538; semantic=0.5551; sequence_match=0.1739,False,0.3761,False,top-3 avg score 0.3761 < final_threshold 0.6
property,hasbody,isusedtomake,semantic+jaro_winkler+levenshtein,jaro_winkler=0.4484; levenshtein=0.1667; semantic=0.5112; sequence_match=0.1053,False,0.3754,False,top-3 avg score 0.3754 < final_threshold 0.6
property,yearvalue,hasbody,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4180; levenshtein=0.1111; semantic=0.4626; sequence_match=0.1250,False,0.3352,False,top-3 avg score 0.3352 < final_threshold 0.6
