Gold_term,Pre_term,Method,Score
action,has action,top3_avg(jaro_winkler+semantic+sequence_match),0.8618
andSequence,has sequencing,top3_avg(jaro_winkler+semantic+sequence_match),0.7417
conflict,has conflict resolution,top3_avg(jaro_winkler+semantic+sequence_match),0.7126
consequence,has consequence,top3_avg(jaro_winkler+semantic+sequence_match),0.8693
constraint,has constraint,top3_avg(jaro_winkler+semantic+sequence_match),0.8755
duty,is duty of,top3_avg(jaro_winkler+semantic+sequence_match),0.7631
function,has function,top3_avg(jaro_winkler+semantic+sequence_match),0.8619
inheritRelation,is inheritance of,top3_avg(jaro_winkler+semantic+sequence_match),0.7101
operator,has operator,top3_avg(jaro_winkler+semantic+sequence_match),0.8603
partOf,is party of,top3_avg(jaro_winkler+levenshtein+sequence_match),0.7852
permission,has permission,top3_avg(jaro_winkler+semantic+sequence_match),0.877
prohibition,has prohibition,top3_avg(jaro_winkler+semantic+sequence_match),0.8779
remedy,has remedy,top3_avg(jaro_winkler+semantic+sequence_match),0.8409
target,has target,top3_avg(jaro_winkler+semantic+sequence_match),0.8572
