prop_type,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
ObjectProperty,has license,has license,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,is developed by,developed by,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9487; levenshtein=0.8462; semantic=0.9364; sequence_match=0.9167,False,0.9339,True,selected
ObjectProperty,has output,has output format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9200; levenshtein=0.6000; semantic=0.8329; sequence_match=0.7500,False,0.8343,True,selected
ObjectProperty,has input,has input format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9143; levenshtein=0.5714; semantic=0.7945; sequence_match=0.7273,False,0.812,True,selected
ObjectProperty,uses platform,uses algorithm,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8805; levenshtein=0.4615; semantic=0.6325; sequence_match=0.6400,False,0.7177,True,selected
ObjectProperty,has format specification,has modification,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.8496; levenshtein=0.5909; semantic=0.5174; sequence_match=0.7027,False,0.7144,True,selected
ObjectProperty,has function,has modification,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8124; levenshtein=0.5333; semantic=0.6087; sequence_match=0.6923,False,0.7045,False,pred already taken by 'has format specification'
ObjectProperty,has interface,has input format,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8563; levenshtein=0.5000; semantic=0.5949; sequence_match=0.6154,False,0.6889,False,top-3 avg score 0.6889 < final_threshold 0.7
ObjectProperty,has clause,has license,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8115; levenshtein=0.5000; semantic=0.6169; sequence_match=0.6316,False,0.6866,False,top-3 avg score 0.6866 < final_threshold 0.7
ObjectProperty,has interface,has license,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8464; levenshtein=0.4167; semantic=0.6034; sequence_match=0.5455,False,0.6651,False,top-3 avg score 0.6651 < final_threshold 0.7
ObjectProperty,has output,has input format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8449; levenshtein=0.4286; semantic=0.6085; sequence_match=0.5217,False,0.6584,False,top-3 avg score 0.6584 < final_threshold 0.7
ObjectProperty,has format specification,has output format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6707; levenshtein=0.3636; semantic=0.8151; sequence_match=0.4865,False,0.6574,False,top-3 avg score 0.6574 < final_threshold 0.7
ObjectProperty,has format specification,has input format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6898; levenshtein=0.2727; semantic=0.7557; sequence_match=0.5000,False,0.6485,False,top-3 avg score 0.6485 < final_threshold 0.7
ObjectProperty,has specified data input,has modification,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8339; levenshtein=0.4286; semantic=0.5451; sequence_match=0.5556,False,0.6448,False,top-3 avg score 0.6448 < final_threshold 0.7
