prop_type,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
ObjectProperty,has measurement,has measurement,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,has property,has physical property,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8612; levenshtein=0.5789; semantic=0.7714; sequence_match=0.7333,False,0.7886,True,selected
ObjectProperty,makes measurement,has measurement,semantic+sequence_match+levenshtein,jaro_winkler=0.7855; levenshtein=0.8125; semantic=0.9100; sequence_match=0.8667,False,0.8631,False,pred already taken by 'has measurement'
ObjectProperty,measurement made by,has measurement,semantic+sequence_match+jaro_winkler,jaro_winkler=0.6877; levenshtein=0.4706; semantic=0.8119; sequence_match=0.7097,False,0.7364,False,pred already taken by 'has measurement'
ObjectProperty,has property,has part,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8805; levenshtein=0.5455; semantic=0.6186; sequence_match=0.6667,False,0.7219,False,gold already mapped to 'has physical property'
ObjectProperty,has period,has part,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8540; levenshtein=0.5556; semantic=0.6088; sequence_match=0.6250,False,0.6959,False,top-3 avg score 0.6959 < final_threshold 0.7
ObjectProperty,has property,describes property,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6714; levenshtein=0.5294; semantic=0.7428; sequence_match=0.6429,False,0.6857,False,top-3 avg score 0.6857 < final_threshold 0.7
ObjectProperty,is measured by device,has measurement,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6402; levenshtein=0.4444; semantic=0.7895; sequence_match=0.5625,False,0.6641,False,top-3 avg score 0.6641 < final_threshold 0.7
ObjectProperty,isKPIOf,is part of,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.8238; levenshtein=0.5000; semantic=0.4819; sequence_match=0.6667,False,0.6635,False,top-3 avg score 0.6635 < final_threshold 0.7
ObjectProperty,has property,has sensor type,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8339; levenshtein=0.4615; semantic=0.5581; sequence_match=0.5833,False,0.6585,False,top-3 avg score 0.6585 < final_threshold 0.7
ObjectProperty,has duration,has unit,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8217; levenshtein=0.4545; semantic=0.5596; sequence_match=0.5556,False,0.6456,False,top-3 avg score 0.6456 < final_threshold 0.7
ObjectProperty,has key performance indicator,specifies indicator,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6701; levenshtein=0.4615; semantic=0.6303; sequence_match=0.6364,False,0.6456,False,top-3 avg score 0.6456 < final_threshold 0.7
ObjectProperty,has duration,has part,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8217; levenshtein=0.4545; semantic=0.5591; sequence_match=0.5556,False,0.6455,False,top-3 avg score 0.6455 < final_threshold 0.7
ObjectProperty,hasGeometry,has sensor type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8599; levenshtein=0.3846; semantic=0.5551; sequence_match=0.5000,False,0.6383,False,top-3 avg score 0.6383 < final_threshold 0.7
ObjectProperty,has duration,has temporal setting,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6987; levenshtein=0.3889; semantic=0.6119; sequence_match=0.5517,False,0.6208,False,top-3 avg score 0.6208 < final_threshold 0.7
ObjectProperty,has measurement,has part,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6905; levenshtein=0.4286; semantic=0.5863; sequence_match=0.5714,False,0.6161,False,top-3 avg score 0.6161 < final_threshold 0.7
ObjectProperty,has measurement,has unit,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6190; levenshtein=0.3571; semantic=0.6371; sequence_match=0.5714,False,0.6092,False,top-3 avg score 0.6092 < final_threshold 0.7
ObjectProperty,hasGeometry,has measurement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6829; levenshtein=0.3571; semantic=0.6420; sequence_match=0.4800,False,0.6016,False,top-3 avg score 0.6016 < final_threshold 0.7
ObjectProperty,has duration,has measurement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6829; levenshtein=0.3571; semantic=0.6359; sequence_match=0.4800,False,0.5996,False,top-3 avg score 0.5996 < final_threshold 0.7
ObjectProperty,feature is measured by device,has measurement,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5904; levenshtein=0.4000; semantic=0.6867; sequence_match=0.5128,False,0.5966,False,top-3 avg score 0.5966 < final_threshold 0.7
