side,dimension,sub,sup,status,raw_pred_sub,raw_pred_sup
gold,class,Bordeaux,Wine,TP,,
gold,class,RedBordeaux,Bordeaux,FN,,
gold,class,RedBordeaux,RedWine,FN,,
gold,class,RedBordeaux,Wine,FN,,
gold,class,RedWine,Wine,TP,,
gold,class,WhiteBordeaux,Bordeaux,FN,,
gold,class,WhiteBordeaux,WhiteWine,FN,,
gold,class,WhiteBordeaux,Wine,FN,,
gold,class,WhiteWine,Wine,TP,,
gold,class,WineBody,WineDescriptor,FN,,
gold,class,WineBody,WineTaste,TP,,
gold,class,WineColor,WineDescriptor,FN,,
gold,class,WineFlavor,WineDescriptor,FN,,
gold,class,WineFlavor,WineTaste,FN,,
gold,class,WineSugar,WineDescriptor,FN,,
gold,class,WineSugar,WineTaste,FN,,
gold,class,WineTaste,WineDescriptor,FN,,
gold,class,Zinfandel,RedWine,TP,,
gold,class,Zinfandel,Wine,TP,,
pred,class,Bordeaux,RedWine,FP,,
pred,class,RedBordeaux,WineGrape,FP,,
pred,class,,,untranslated,Bouquet,WineCharacteristic
pred,class,,,untranslated,CabernetFranc,BordeauxGrape
pred,class,,,untranslated,CabernetFranc,Grape
pred,class,,,untranslated,CabernetSauvignon,BordeauxGrape
pred,class,,,untranslated,CabernetSauvignon,Grape
pred,class,,,untranslated,GoodVintage,VintageQuality
pred,class,,,untranslated,Malbec,BordeauxGrape
pred,class,,,untranslated,Malbec,Grape
pred,class,,,untranslated,Merlot,BordeauxGrape
pred,class,,,untranslated,Merlot,Grape
pred,class,,,untranslated,Napa,WineRegion
pred,class,,,untranslated,NapaZinfandel,RedWine
pred,class,,,untranslated,NapaZinfandel,Wine
pred,class,,,untranslated,NapaZinfandel,Zinfandel
pred,class,,,untranslated,PetitVerdot,BordeauxGrape
pred,class,,,untranslated,PetitVerdot,Grape
pred,class,,,untranslated,PoorVintage,VintageQuality
gold,property,hasBody,hasWineDescriptor,FN,,
gold,property,hasColor,hasWineDescriptor,FN,,
gold,property,hasFlavor,hasWineDescriptor,FN,,
gold,property,hasSugar,hasWineDescriptor,FN,,
