side,dimension,sub,sup,status,raw_pred_sub,raw_pred_sup
gold,class,AssetCollection,Asset,FN,,
gold,class,Duty,Rule,TP,,
gold,class,Permission,Rule,TP,,
gold,class,Prohibition,Rule,TP,,
pred,class,LogicalConstraint,Constraint,FP,,
pred,class,,,untranslated,AggregationRight,Permission
pred,class,,,untranslated,AggregationRight,Rule
pred,class,,,untranslated,AggregationRight,TransferRight
pred,class,,,untranslated,Condition,Constraint
pred,class,,,untranslated,DisaggregationRight,Permission
pred,class,,,untranslated,DisaggregationRight,Rule
pred,class,,,untranslated,DisaggregationRight,TransferRight
pred,class,,,untranslated,ExclusivePermission,Permission
pred,class,,,untranslated,ExclusivePermission,Rule
pred,class,,,untranslated,LogicalOperator,Operator
pred,class,,,untranslated,NegationConstraint,Constraint
pred,class,,,untranslated,TransferRight,Permission
pred,class,,,untranslated,TransferRight,Rule
gold,property,and,operand,FN,,
gold,property,andSequence,operand,FN,,
gold,property,assignee,function,FN,,
gold,property,assigner,function,FN,,
gold,property,consequence,failure,FN,,
gold,property,or,operand,FN,,
gold,property,remedy,failure,FN,,
gold,property,target,relation,FN,,
gold,property,xone,operand,FN,,
pred,property,,,untranslated,hasDuty,hasRule
pred,property,,,untranslated,hasPermission,hasRule
pred,property,,,untranslated,hasProhibition,hasRule
