side,dimension,sub,sup,status,raw_pred_sub,raw_pred_sup
gold,class,CarnivorousPlant,plant,TP,,
gold,class,Omnivore,animal,TP,,
gold,class,carnivore,animal,TP,,
gold,class,herbivore,animal,TP,,
gold,class,lion,animal,FN,,
gold,class,lion,carnivore,FN,,
pred,class,,,untranslated,Animal,Organism
pred,class,,,untranslated,Carnivore,Organism
pred,class,,,untranslated,CarnivorousPlant,Organism
pred,class,,,untranslated,Herbivore,Organism
pred,class,,,untranslated,Omnivore,Organism
pred,class,,,untranslated,Plant,Organism
gold,property,is-proper-part-of,has-part,FN,,
gold,property,is-proper-part-of,is-part-of,FN,,
