gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
Maintained,Maintained,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
algorithm,Algorithm,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
programming language,Programming Language,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
web service,Web Service,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
version number,Version,semantic+jaro_winkler+sequence_match,jaro_winkler=0.9077; levenshtein=0.5385; semantic=0.9414; sequence_match=0.7000,False,0.8497,True,selected
software,Software Type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9333; levenshtein=0.6667; semantic=0.8048; sequence_match=0.8000,False,0.846,True,selected
file rendering,GIF Rendering,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.8300; levenshtein=0.7692; semantic=0.7075; sequence_match=0.8000,False,0.7998,True,selected
data item,Data,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9000; levenshtein=0.5000; semantic=0.7779; sequence_match=0.6667,False,0.7815,True,selected
data format specification,Data Format Type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8834; levenshtein=0.4783; semantic=0.8053; sequence_match=0.6486,False,0.7791,True,selected
software interface,Software Source,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8684; levenshtein=0.6471; semantic=0.7029; sequence_match=0.7097,False,0.7603,True,selected
text editing,XML Editing,sequence_match+jaro_winkler+semantic,jaro_winkler=0.7591; levenshtein=0.6364; semantic=0.7534; sequence_match=0.7619,False,0.7581,True,selected
Open source software license,Open Source,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8800; levenshtein=0.4000; semantic=0.8028; sequence_match=0.5714,False,0.7514,True,selected
Development status,Developer,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8719; levenshtein=0.4706; semantic=0.7202; sequence_match=0.6154,False,0.7358,True,selected
licence,License Permissiveness,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8286; levenshtein=0.2857; semantic=0.7817; sequence_match=0.4286,False,0.6796,True,selected
CEL binary format,Open Format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6944; levenshtein=0.4667; semantic=0.6838; sequence_match=0.6400,False,0.6727,True,selected
CEL ASCII format,Data Format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7333; levenshtein=0.5000; semantic=0.6978; sequence_match=0.5833,False,0.6715,True,selected
software developer role,Software License Type,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8453; levenshtein=0.5238; semantic=0.5276; sequence_match=0.6000,False,0.6576,True,selected
plain text file format,Proprietary Format,semantic+jaro_winkler+levenshtein,jaro_winkler=0.6511; levenshtein=0.4737; semantic=0.7144; sequence_match=0.4444,False,0.6131,True,selected
Maintained,Unmaintained,sequence_match+levenshtein+jaro_winkler,jaro_winkler=0.8111; levenshtein=0.8333; semantic=0.7652; sequence_match=0.9091,False,0.8512,False,gold already mapped to 'Maintained'
algorithm,Algorithm Usage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9286; levenshtein=0.6429; semantic=0.7947; sequence_match=0.7826,False,0.8353,False,gold already mapped to 'Algorithm'
software,Software Source,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9143; levenshtein=0.5714; semantic=0.8222; sequence_match=0.7273,False,0.8213,False,gold already mapped to 'Software Type'
version number,Version Feature,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8767; levenshtein=0.5714; semantic=0.8503; sequence_match=0.6667,False,0.7979,False,gold already mapped to 'Version'
