prop_type,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
ObjectProperty,action,action,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,assignee,assignee,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,assigner,assigner,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,consequence,consequence,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,operator,operator,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,remedy,remedy,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,constraint,has constraint,semantic+sequence_match+jaro_winkler,jaro_winkler=0.8231; levenshtein=0.7692; semantic=0.9340; sequence_match=0.8696,False,0.8755,True,selected
ObjectProperty,hasPolicy,policy,semantic+jaro_winkler+sequence_match,jaro_winkler=0.8889; levenshtein=0.6667; semantic=0.9152; sequence_match=0.8000,False,0.868,True,selected
ObjectProperty,conflict,conflict resolution,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8889; levenshtein=0.4444; semantic=0.8797; sequence_match=0.6154,False,0.7947,True,selected
ObjectProperty,assignee,assigner,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.9500; levenshtein=0.8750; semantic=0.8600; sequence_match=0.8750,False,0.9,False,gold already mapped to 'assignee'
ObjectProperty,assigner,assignee,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.9500; levenshtein=0.8750; semantic=0.8600; sequence_match=0.8750,False,0.9,False,gold already mapped to 'assigner'
