gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
algorithm,Algorithm,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
programming language,Programming Language,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
web service,Web Service,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
licence,License,jaro_winkler+semantic+levenshtein,jaro_winkler=0.9429; levenshtein=0.8571; semantic=0.9174; sequence_match=0.8571,False,0.9058,True,selected
software,Software Type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9333; levenshtein=0.6667; semantic=0.8048; sequence_match=0.8000,False,0.846,True,selected
CEL ASCII format,CEL Format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8648; levenshtein=0.6429; semantic=0.8561; sequence_match=0.7826,False,0.8345,True,selected
file rendering,GIF Rendering,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.8300; levenshtein=0.7692; semantic=0.7075; sequence_match=0.8000,False,0.7998,True,selected
data item,Data,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9000; levenshtein=0.5000; semantic=0.7779; sequence_match=0.6667,False,0.7815,True,selected
text editing,XML Editing,sequence_match+jaro_winkler+semantic,jaro_winkler=0.7591; levenshtein=0.6364; semantic=0.7534; sequence_match=0.7619,False,0.7581,True,selected
.csv,CSV Format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.8444; levenshtein=0.3333; semantic=0.8819; sequence_match=0.5000,False,0.7421,True,selected
Development status,Developer,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8719; levenshtein=0.4706; semantic=0.7202; sequence_match=0.6154,False,0.7358,True,selected
Maintained,Maintenance Status,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8291; levenshtein=0.4118; semantic=0.7617; sequence_match=0.5926,False,0.7278,True,selected
version number,Tool Version,semantic+sequence_match+jaro_winkler,jaro_winkler=0.5821; levenshtein=0.2308; semantic=0.8552; sequence_match=0.5833,False,0.6735,True,selected
plain text file format,TXT Format,semantic+sequence_match+levenshtein,jaro_winkler=0.4729; levenshtein=0.4737; semantic=0.8176; sequence_match=0.6429,False,0.6447,True,selected
data format specification,Format Conversion,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6461; levenshtein=0.4348; semantic=0.6412; sequence_match=0.5128,False,0.6001,True,selected
CEL binary format,CEL Format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.8548; levenshtein=0.6000; semantic=0.8835; sequence_match=0.7500,False,0.8294,False,pred already taken by 'CEL ASCII format' (higher averaged score)
algorithm,Algorithm Modification,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8857; levenshtein=0.4286; semantic=0.7934; sequence_match=0.6000,False,0.7597,False,gold already mapped to 'Algorithm'
software interface,Software Type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8843; levenshtein=0.5882; semantic=0.6985; sequence_match=0.6897,False,0.7575,False,pred already taken by 'software' (higher averaged score)
XML,XML Editing,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8367; levenshtein=0.3000; semantic=0.8188; sequence_match=0.4615,False,0.7057,False,pred already taken by 'text editing' (higher averaged score)
CEL ASCII format,CSV Format,sequence_match+jaro_winkler+semantic,jaro_winkler=0.6951; levenshtein=0.5714; semantic=0.6809; sequence_match=0.6957,False,0.6905,False,gold already mapped to 'CEL Format'
software developer role,Software Type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8419; levenshtein=0.4762; semantic=0.6098; sequence_match=0.6061,False,0.6859,False,pred already taken by 'software' (higher averaged score)
GIF,GIF Rendering,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8250; levenshtein=0.2500; semantic=0.7625; sequence_match=0.4000,False,0.6625,False,pred already taken by 'file rendering' (higher averaged score)
software developer role,Developer,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6614; levenshtein=0.4286; semantic=0.7226; sequence_match=0.6000,False,0.6613,False,pred already taken by 'Development status' (higher averaged score)
CEL binary format,CSV Format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6529; levenshtein=0.4667; semantic=0.6687; sequence_match=0.5833,False,0.635,False,pred already taken by '.csv' (higher averaged score)
application programming interface,Programming Language,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6402; levenshtein=0.4194; semantic=0.7137; sequence_match=0.5200,False,0.6246,False,pred already taken by 'programming language' (higher averaged score)
Development status,Maintenance Status,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6435; levenshtein=0.3529; semantic=0.6796; sequence_match=0.5294,False,0.6175,False,gold already mapped to 'Developer'
software developer organization,Developer,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6220; levenshtein=0.3103; semantic=0.7488; sequence_match=0.4737,False,0.6148,False,pred already taken by 'Development status' (higher averaged score)
software developer organization,Software Type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6927; levenshtein=0.3448; semantic=0.6220; sequence_match=0.4878,False,0.6009,False,pred already taken by 'software' (higher averaged score)
data format specification,Format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5870; levenshtein=0.2609; semantic=0.7777; sequence_match=0.4138,False,0.5928,False,top-3 avg score 0.5928 < final_threshold 0.6
CEL ASCII format,Format,semantic+sequence_match+levenshtein,jaro_winkler=0.4127; levenshtein=0.4286; semantic=0.7473; sequence_match=0.6000,False,0.592,False,top-3 avg score 0.5920 < final_threshold 0.6
Open source software license,License,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5048; levenshtein=0.2800; semantic=0.8238; sequence_match=0.4375,False,0.5887,False,top-3 avg score 0.5887 < final_threshold 0.6
Not Free,Software Type,jaro_winkler+sequence_match+semantic,jaro_winkler=0.7302; levenshtein=0.4167; semantic=0.5026; sequence_match=0.5263,False,0.5864,False,top-3 avg score 0.5864 < final_threshold 0.6
data format specification,Data,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8348; levenshtein=0.1739; semantic=0.6226; sequence_match=0.2963,False,0.5846,False,top-3 avg score 0.5846 < final_threshold 0.6
data format specification,Algorithm Modification,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.6394; levenshtein=0.5217; semantic=0.4483; sequence_match=0.5909,False,0.584,False,top-3 avg score 0.5840 < final_threshold 0.6
CEL ASCII format,TXT Format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5873; levenshtein=0.4286; semantic=0.6409; sequence_match=0.5217,False,0.5833,False,top-3 avg score 0.5833 < final_threshold 0.6
algorithm,Platform,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6944; levenshtein=0.2222; semantic=0.5765; sequence_match=0.4706,False,0.5805,False,top-3 avg score 0.5805 < final_threshold 0.6
CEL binary format,Format,semantic+sequence_match+levenshtein,jaro_winkler=0.3222; levenshtein=0.4000; semantic=0.7461; sequence_match=0.5714,False,0.5725,False,top-3 avg score 0.5725 < final_threshold 0.6
Free,GIF Rendering,jaro_winkler+sequence_match+semantic,jaro_winkler=0.7778; levenshtein=0.3333; semantic=0.4360; sequence_match=0.5000,False,0.5712,False,top-3 avg score 0.5712 < final_threshold 0.6
CEL ASCII format,Platform,jaro_winkler+sequence_match+semantic,jaro_winkler=0.7262; levenshtein=0.4286; semantic=0.4402; sequence_match=0.5455,False,0.5706,False,top-3 avg score 0.5706 < final_threshold 0.6
plain text file format,Platform,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6294; levenshtein=0.4211; semantic=0.4779; sequence_match=0.5926,False,0.5666,False,top-3 avg score 0.5666 < final_threshold 0.6
CEL binary format,TXT Format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5778; levenshtein=0.4000; semantic=0.6078; sequence_match=0.5000,False,0.5619,False,top-3 avg score 0.5619 < final_threshold 0.6
version number,Help Resource,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6596; levenshtein=0.2308; semantic=0.5455; sequence_match=0.4800,False,0.5617,False,top-3 avg score 0.5617 < final_threshold 0.6
file rendering,XML Editing,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6033; levenshtein=0.4615; semantic=0.5416; sequence_match=0.5217,False,0.5555,False,top-3 avg score 0.5555 < final_threshold 0.6
version number,Developer,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5801; levenshtein=0.3077; semantic=0.6230; sequence_match=0.4545,False,0.5525,False,top-3 avg score 0.5525 < final_threshold 0.6
data format specification,TXT Format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6464; levenshtein=0.3043; semantic=0.5699; sequence_match=0.4375,False,0.5513,False,top-3 avg score 0.5513 < final_threshold 0.6
web service,Help Resource,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6444; levenshtein=0.3333; semantic=0.5539; sequence_match=0.4545,False,0.551,False,top-3 avg score 0.5510 < final_threshold 0.6
plain text file format,Format,semantic+sequence_match+jaro_winkler,jaro_winkler=0.4795; levenshtein=0.3158; semantic=0.6921; sequence_match=0.4800,False,0.5506,False,top-3 avg score 0.5506 < final_threshold 0.6
Maintained,Data,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6833; levenshtein=0.3000; semantic=0.5377; sequence_match=0.4286,False,0.5499,False,top-3 avg score 0.5499 < final_threshold 0.6
data item,Algorithm,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6481; levenshtein=0.3333; semantic=0.5297; sequence_match=0.4706,False,0.5495,False,top-3 avg score 0.5495 < final_threshold 0.6
Open source software license,Software Type,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5778; levenshtein=0.3600; semantic=0.5787; sequence_match=0.4865,False,0.5476,False,top-3 avg score 0.5476 < final_threshold 0.6
software interface,Web Service,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6735; levenshtein=0.3529; semantic=0.5936; sequence_match=0.3704,False,0.5458,False,top-3 avg score 0.5458 < final_threshold 0.6
CEL binary format,Platform,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6611; levenshtein=0.4000; semantic=0.4469; sequence_match=0.5217,False,0.5433,False,top-3 avg score 0.5433 < final_threshold 0.6
text editing,TXT Format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6027; levenshtein=0.2727; semantic=0.6198; sequence_match=0.4000,False,0.5408,False,top-3 avg score 0.5408 < final_threshold 0.6
data format specification,Tool Data Compatibility,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6394; levenshtein=0.2609; semantic=0.5197; sequence_match=0.4545,False,0.5379,False,top-3 avg score 0.5379 < final_threshold 0.6
function,Collaboration,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6032; levenshtein=0.3077; semantic=0.5273; sequence_match=0.4762,False,0.5356,False,top-3 avg score 0.5356 < final_threshold 0.6
application programming interface,Platform,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6526; levenshtein=0.2258; semantic=0.5917; sequence_match=0.3590,False,0.5344,False,top-3 avg score 0.5344 < final_threshold 0.6
data item,Tool Data Task Usage,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5064; levenshtein=0.2353; semantic=0.6122; sequence_match=0.4800,False,0.5329,False,top-3 avg score 0.5329 < final_threshold 0.6
Free,Software Type,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6667; levenshtein=0.3333; semantic=0.4306; sequence_match=0.5000,False,0.5324,False,top-3 avg score 0.5324 < final_threshold 0.6
Not Free,Platform,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6012; levenshtein=0.2500; semantic=0.5913; sequence_match=0.4000,False,0.5308,False,top-3 avg score 0.5308 < final_threshold 0.6
plain text file format,CEL Format,semantic+sequence_match+jaro_winkler,jaro_winkler=0.4729; levenshtein=0.4211; semantic=0.6194; sequence_match=0.5000,False,0.5308,False,top-3 avg score 0.5308 < final_threshold 0.6
PROcess,Help Resource,jaro_winkler+sequence_match+semantic,jaro_winkler=0.5770; levenshtein=0.2500; semantic=0.4866; sequence_match=0.5263,False,0.53,False,top-3 avg score 0.5300 < final_threshold 0.6
algorithm,CEL Format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6370; levenshtein=0.2222; semantic=0.4913; sequence_match=0.4444,False,0.5242,False,top-3 avg score 0.5242 < final_threshold 0.6
data item,Capability,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6333; levenshtein=0.3000; semantic=0.4889; sequence_match=0.4444,False,0.5222,False,top-3 avg score 0.5222 < final_threshold 0.6
algorithm,Format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6111; levenshtein=0.2222; semantic=0.5525; sequence_match=0.4000,False,0.5212,False,top-3 avg score 0.5212 < final_threshold 0.6
data format specification,CSV Format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5512; levenshtein=0.2609; semantic=0.6321; sequence_match=0.3750,False,0.5194,False,top-3 avg score 0.5194 < final_threshold 0.6
application programming interface,Algorithm Modification,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6644; levenshtein=0.2258; semantic=0.5389; sequence_match=0.3462,False,0.5165,False,top-3 avg score 0.5165 < final_threshold 0.6
data item,Tool Data Compatibility,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5675; levenshtein=0.2381; semantic=0.5628; sequence_match=0.4138,False,0.5147,False,top-3 avg score 0.5147 < final_threshold 0.6
