prop_type,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
ObjectProperty,hasVintageYear,has vintage characteristic,semantic+jaro_winkler+sequence_match,jaro_winkler=0.8787; levenshtein=0.5000; semantic=0.8886; sequence_match=0.6316,False,0.7996,True,selected
ObjectProperty,hasVintageYear,has grape variety,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8241; levenshtein=0.2667; semantic=0.6469; sequence_match=0.4138,False,0.6283,False,top-3 avg score 0.6283 < final_threshold 0.7
ObjectProperty,madeFromGrape,has grape variety,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6329; levenshtein=0.2000; semantic=0.7702; sequence_match=0.4286,False,0.6106,False,top-3 avg score 0.6106 < final_threshold 0.7
ObjectProperty,hasWineDescriptor,has grape variety,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6850; levenshtein=0.4118; semantic=0.6735; sequence_match=0.4375,False,0.5987,False,top-3 avg score 0.5987 < final_threshold 0.7
ObjectProperty,hasWineDescriptor,has vintage characteristic,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6919; levenshtein=0.4167; semantic=0.6064; sequence_match=0.4878,False,0.5954,False,top-3 avg score 0.5954 < final_threshold 0.7
ObjectProperty,hasFlavor,has grape variety,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6333; levenshtein=0.4000; semantic=0.5980; sequence_match=0.5000,False,0.5771,False,top-3 avg score 0.5771 < final_threshold 0.7
ObjectProperty,hasWineDescriptor,of wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6340; levenshtein=0.2353; semantic=0.7447; sequence_match=0.3478,False,0.5755,False,top-3 avg score 0.5755 < final_threshold 0.7
ObjectProperty,hasSugar,has grape variety,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6611; levenshtein=0.3333; semantic=0.5386; sequence_match=0.5217,False,0.5738,False,top-3 avg score 0.5738 < final_threshold 0.7
ObjectProperty,hasColor,has characteristic,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6397; levenshtein=0.2941; semantic=0.6426; sequence_match=0.4000,False,0.5608,False,top-3 avg score 0.5608 < final_threshold 0.7
ObjectProperty,hasFlavor,has characteristic,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6166; levenshtein=0.2941; semantic=0.6483; sequence_match=0.3846,False,0.5498,False,top-3 avg score 0.5498 < final_threshold 0.7
ObjectProperty,hasWineDescriptor,has origin region,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6516; levenshtein=0.2941; semantic=0.4496; sequence_match=0.5000,False,0.5337,False,top-3 avg score 0.5337 < final_threshold 0.7
ObjectProperty,hasColor,has origin region,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6528; levenshtein=0.2667; semantic=0.5089; sequence_match=0.4348,False,0.5322,False,top-3 avg score 0.5322 < final_threshold 0.7
ObjectProperty,hasWineDescriptor,has characteristic,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6255; levenshtein=0.3529; semantic=0.5353; sequence_match=0.4118,False,0.5242,False,top-3 avg score 0.5242 < final_threshold 0.7
ObjectProperty,hasColor,has grape variety,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5889; levenshtein=0.2667; semantic=0.6354; sequence_match=0.3478,False,0.524,False,top-3 avg score 0.5240 < final_threshold 0.7
ObjectProperty,hasVintageYear,has origin region,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6183; levenshtein=0.3333; semantic=0.5371; sequence_match=0.4138,False,0.523,False,top-3 avg score 0.5230 < final_threshold 0.7
