prop_type,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
ObjectProperty,measurement made by,measured by,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9176; levenshtein=0.5882; semantic=0.8482; sequence_match=0.7407,False,0.8355,True,selected
ObjectProperty,has billing period,has billing info,jaro_winkler+sequence_match+semantic,jaro_winkler=0.9214; levenshtein=0.6875; semantic=0.7226; sequence_match=0.8000,False,0.8147,True,selected
ObjectProperty,has measurement,measures,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6905; levenshtein=0.5000; semantic=0.8723; sequence_match=0.6364,False,0.733,True,selected
ObjectProperty,is measured by device,measured by,semantic+jaro_winkler+sequence_match,jaro_winkler=0.7852; levenshtein=0.5556; semantic=0.8321; sequence_match=0.7143,False,0.7772,False,pred already taken by 'measurement made by'
ObjectProperty,measurement made by,measures,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8574; levenshtein=0.4118; semantic=0.8178; sequence_match=0.5600,False,0.745,False,gold already mapped to 'measured by'
ObjectProperty,makes measurement,measures,semantic+jaro_winkler+sequence_match,jaro_winkler=0.7375; levenshtein=0.4375; semantic=0.8766; sequence_match=0.5833,False,0.7325,False,pred already taken by 'has measurement'
ObjectProperty,has measurement,measured by,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6381; levenshtein=0.5000; semantic=0.8412; sequence_match=0.5833,False,0.6875,False,top-3 avg score 0.6875 < final_threshold 0.7
ObjectProperty,has billing period,billing info of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7516; levenshtein=0.5000; semantic=0.6707; sequence_match=0.6207,False,0.681,False,top-3 avg score 0.6810 < final_threshold 0.7
ObjectProperty,hasGeometry,has sensor,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8162; levenshtein=0.4545; semantic=0.6151; sequence_match=0.6000,False,0.6771,False,top-3 avg score 0.6771 < final_threshold 0.7
ObjectProperty,makes measurement,measured by,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6173; levenshtein=0.4375; semantic=0.8263; sequence_match=0.5385,False,0.6607,False,top-3 avg score 0.6607 < final_threshold 0.7
ObjectProperty,is measured by device,measures,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6481; levenshtein=0.3889; semantic=0.7826; sequence_match=0.5385,False,0.6564,False,top-3 avg score 0.6564 < final_threshold 0.7
ObjectProperty,has period,has sensor,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8056; levenshtein=0.5556; semantic=0.6039; sequence_match=0.5556,False,0.655,False,top-3 avg score 0.6550 < final_threshold 0.7
ObjectProperty,feature is measured by device,measured by,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7000; levenshtein=0.4000; semantic=0.6866; sequence_match=0.5714,False,0.6527,False,top-3 avg score 0.6527 < final_threshold 0.7
ObjectProperty,has duration,has actuator,jaro_winkler+sequence_match+semantic,jaro_winkler=0.7970; levenshtein=0.4545; semantic=0.4872; sequence_match=0.6364,False,0.6402,False,top-3 avg score 0.6402 < final_threshold 0.7
ObjectProperty,has period,has device,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.7926; levenshtein=0.5556; semantic=0.5145; sequence_match=0.5556,False,0.6346,False,top-3 avg score 0.6346 < final_threshold 0.7
ObjectProperty,has period,has tariff,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.7926; levenshtein=0.5556; semantic=0.5079; sequence_match=0.5556,False,0.6346,False,top-3 avg score 0.6346 < final_threshold 0.7
ObjectProperty,hasGeometry,has water meter,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.6976; levenshtein=0.5385; semantic=0.5276; sequence_match=0.6667,False,0.6342,False,top-3 avg score 0.6342 < final_threshold 0.7
ObjectProperty,has measurement,has water meter,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8328; levenshtein=0.4286; semantic=0.6229; sequence_match=0.4444,False,0.6334,False,top-3 avg score 0.6334 < final_threshold 0.7
ObjectProperty,has measurement,has sensor,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6429; levenshtein=0.4286; semantic=0.6521; sequence_match=0.5217,False,0.6056,False,top-3 avg score 0.6056 < final_threshold 0.7
ObjectProperty,has duration,has tariff,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8300; levenshtein=0.4545; semantic=0.4769; sequence_match=0.5000,False,0.6023,False,top-3 avg score 0.6023 < final_threshold 0.7
ObjectProperty,has property,has water meter,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6773; levenshtein=0.3846; semantic=0.5932; sequence_match=0.5000,False,0.5902,False,top-3 avg score 0.5902 < final_threshold 0.7
ObjectProperty,feature is measured by device,measures,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6483; levenshtein=0.2800; semantic=0.6792; sequence_match=0.4242,False,0.5839,False,top-3 avg score 0.5839 < final_threshold 0.7
ObjectProperty,is measured by device,has device,semantic+sequence_match+jaro_winkler,jaro_winkler=0.5556; levenshtein=0.4444; semantic=0.5954; sequence_match=0.5926,False,0.5812,False,top-3 avg score 0.5812 < final_threshold 0.7
ObjectProperty,has property,has sensor,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6818; levenshtein=0.3636; semantic=0.6243; sequence_match=0.4000,False,0.5687,False,top-3 avg score 0.5687 < final_threshold 0.7
ObjectProperty,hasGeometry,water meter of,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6923; levenshtein=0.4167; semantic=0.4882; sequence_match=0.5217,False,0.5674,False,top-3 avg score 0.5674 < final_threshold 0.7
ObjectProperty,hasGeometry,has device,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6700; levenshtein=0.3636; semantic=0.5260; sequence_match=0.5000,False,0.5654,False,top-3 avg score 0.5654 < final_threshold 0.7
ObjectProperty,has measurement,has actuator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6645; levenshtein=0.2857; semantic=0.5331; sequence_match=0.4800,False,0.5592,False,top-3 avg score 0.5592 < final_threshold 0.7
ObjectProperty,has phenomenon time,has sensor,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6732; levenshtein=0.3529; semantic=0.5320; sequence_match=0.4615,False,0.5556,False,top-3 avg score 0.5556 < final_threshold 0.7
ObjectProperty,hasGeometry,has actuator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6414; levenshtein=0.3636; semantic=0.5701; sequence_match=0.4545,False,0.5553,False,top-3 avg score 0.5553 < final_threshold 0.7
ObjectProperty,has period,has water meter,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6467; levenshtein=0.3846; semantic=0.5476; sequence_match=0.4545,False,0.5496,False,top-3 avg score 0.5496 < final_threshold 0.7
ObjectProperty,has duration,has device,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6700; levenshtein=0.4545; semantic=0.4737; sequence_match=0.5000,False,0.5479,False,top-3 avg score 0.5479 < final_threshold 0.7
ObjectProperty,has property,has device,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6027; levenshtein=0.2727; semantic=0.6300; sequence_match=0.4000,False,0.5442,False,top-3 avg score 0.5442 < final_threshold 0.7
ObjectProperty,hasGeometry,sensor of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6212; levenshtein=0.1818; semantic=0.5900; sequence_match=0.4211,False,0.5441,False,top-3 avg score 0.5441 < final_threshold 0.7
ObjectProperty,has measurement,has device,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6376; levenshtein=0.3571; semantic=0.5416; sequence_match=0.4348,False,0.538,False,top-3 avg score 0.5380 < final_threshold 0.7
ObjectProperty,has phenomenon time,has water meter,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6953; levenshtein=0.3529; semantic=0.3826; sequence_match=0.5333,False,0.5371,False,top-3 avg score 0.5371 < final_threshold 0.7
ObjectProperty,has period,has billing info,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6376; levenshtein=0.2857; semantic=0.5186; sequence_match=0.4348,False,0.5303,False,top-3 avg score 0.5303 < final_threshold 0.7
ObjectProperty,has measurement,has tariff,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6376; levenshtein=0.3571; semantic=0.5179; sequence_match=0.4348,False,0.5301,False,top-3 avg score 0.5301 < final_threshold 0.7
ObjectProperty,has duration,measures,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6212; levenshtein=0.2727; semantic=0.5437; sequence_match=0.4211,False,0.5287,False,top-3 avg score 0.5287 < final_threshold 0.7
ObjectProperty,hasGeometry,has tariff,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6027; levenshtein=0.2727; semantic=0.4708; sequence_match=0.5000,False,0.5245,False,top-3 avg score 0.5245 < final_threshold 0.7
ObjectProperty,has property,measured by,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6515; levenshtein=0.3636; semantic=0.4396; sequence_match=0.4762,False,0.5224,False,top-3 avg score 0.5224 < final_threshold 0.7
ObjectProperty,isKPIOf,sensor of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6012; levenshtein=0.2500; semantic=0.5656; sequence_match=0.4000,False,0.5223,False,top-3 avg score 0.5223 < final_threshold 0.7
ObjectProperty,has period,sensor of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5648; levenshtein=0.2222; semantic=0.5272; sequence_match=0.4706,False,0.5209,False,top-3 avg score 0.5209 < final_threshold 0.7
ObjectProperty,feature is measured by device,has device,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5185; levenshtein=0.3200; semantic=0.5732; sequence_match=0.4706,False,0.5208,False,top-3 avg score 0.5208 < final_threshold 0.7
ObjectProperty,has billing period,has sensor,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6432; levenshtein=0.3125; semantic=0.5176; sequence_match=0.4000,False,0.5203,False,top-3 avg score 0.5203 < final_threshold 0.7
ObjectProperty,has phenomenon time,sensor of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6397; levenshtein=0.2353; semantic=0.5166; sequence_match=0.4000,False,0.5188,False,top-3 avg score 0.5188 < final_threshold 0.7
ObjectProperty,has period,tariff of,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6481; levenshtein=0.2222; semantic=0.4370; sequence_match=0.4706,False,0.5186,False,top-3 avg score 0.5186 < final_threshold 0.7
ObjectProperty,has duration,has sensor,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6034; levenshtein=0.3636; semantic=0.5516; sequence_match=0.4000,False,0.5183,False,top-3 avg score 0.5183 < final_threshold 0.7
ObjectProperty,makes measurement,has water meter,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6035; levenshtein=0.3125; semantic=0.6013; sequence_match=0.3448,False,0.5165,False,top-3 avg score 0.5165 < final_threshold 0.7
ObjectProperty,has property,has tariff,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6027; levenshtein=0.2727; semantic=0.5435; sequence_match=0.4000,False,0.5154,False,top-3 avg score 0.5154 < final_threshold 0.7
ObjectProperty,has property,has actuator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6414; levenshtein=0.2727; semantic=0.5374; sequence_match=0.3636,False,0.5142,False,top-3 avg score 0.5142 < final_threshold 0.7
ObjectProperty,has property,measures,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6212; levenshtein=0.2727; semantic=0.4948; sequence_match=0.4211,False,0.5123,False,top-3 avg score 0.5123 < final_threshold 0.7
ObjectProperty,has key performance indicator,has actuator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5400; levenshtein=0.3462; semantic=0.5093; sequence_match=0.4865,False,0.5119,False,top-3 avg score 0.5119 < final_threshold 0.7
ObjectProperty,has duration,actuator of,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6040; levenshtein=0.3636; semantic=0.4524; sequence_match=0.4762,False,0.5109,False,top-3 avg score 0.5109 < final_threshold 0.7
ObjectProperty,has key performance indicator,has sensor,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6347; levenshtein=0.2692; semantic=0.5549; sequence_match=0.3429,False,0.5108,False,top-3 avg score 0.5108 < final_threshold 0.7
ObjectProperty,has period,has actuator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6027; levenshtein=0.3636; semantic=0.5233; sequence_match=0.4000,False,0.5087,False,top-3 avg score 0.5087 < final_threshold 0.7
ObjectProperty,hasGeometry,measured by,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6040; levenshtein=0.2727; semantic=0.5383; sequence_match=0.3810,False,0.5078,False,top-3 avg score 0.5078 < final_threshold 0.7
ObjectProperty,isKPIOf,device of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6012; levenshtein=0.2500; semantic=0.5201; sequence_match=0.4000,False,0.5071,False,top-3 avg score 0.5071 < final_threshold 0.7
ObjectProperty,is measured by device,device of,semantic+sequence_match+jaro_winkler,jaro_winkler=0.4028; levenshtein=0.2222; semantic=0.6558; sequence_match=0.4615,False,0.5067,False,top-3 avg score 0.5067 < final_threshold 0.7
ObjectProperty,has measurement,water meter of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5992; levenshtein=0.2143; semantic=0.6125; sequence_match=0.3077,False,0.5065,False,top-3 avg score 0.5065 < final_threshold 0.7
ObjectProperty,has duration,has water meter,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6134; levenshtein=0.3077; semantic=0.4716; sequence_match=0.4167,False,0.5006,False,top-3 avg score 0.5006 < final_threshold 0.7
ObjectProperty,makes measurement,water meter of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5139; levenshtein=0.3125; semantic=0.6282; sequence_match=0.3571,False,0.4997,False,top-3 avg score 0.4997 < final_threshold 0.7
ObjectProperty,has period,measured by,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6185; levenshtein=0.2000; semantic=0.4571; sequence_match=0.4211,False,0.4989,False,top-3 avg score 0.4989 < final_threshold 0.7
ObjectProperty,makes measurement,has sensor,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5560; levenshtein=0.3125; semantic=0.6186; sequence_match=0.3200,False,0.4982,False,top-3 avg score 0.4982 < final_threshold 0.7
ObjectProperty,applies to,has actuator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6027; levenshtein=0.2727; semantic=0.4912; sequence_match=0.4000,False,0.498,False,top-3 avg score 0.4980 < final_threshold 0.7
ObjectProperty,has measurement,sensor of,semantic+jaro_winkler+levenshtein,jaro_winkler=0.5952; levenshtein=0.2857; semantic=0.6092; sequence_match=0.2727,False,0.4967,False,top-3 avg score 0.4967 < final_threshold 0.7
ObjectProperty,applies to,has sensor,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5463; levenshtein=0.1111; semantic=0.4975; sequence_match=0.4444,False,0.4961,False,top-3 avg score 0.4961 < final_threshold 0.7
ObjectProperty,is measured by device,sensor of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5741; levenshtein=0.2222; semantic=0.6058; sequence_match=0.3077,False,0.4958,False,top-3 avg score 0.4958 < final_threshold 0.7
ObjectProperty,has duration,measured by,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5848; levenshtein=0.2727; semantic=0.5203; sequence_match=0.3810,False,0.4954,False,top-3 avg score 0.4954 < final_threshold 0.7
ObjectProperty,applies to,defines,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5873; levenshtein=0.2222; semantic=0.5099; sequence_match=0.3750,False,0.4908,False,top-3 avg score 0.4908 < final_threshold 0.7
ObjectProperty,has billing period,has tariff,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5560; levenshtein=0.3125; semantic=0.5146; sequence_match=0.4000,False,0.4902,False,top-3 avg score 0.4902 < final_threshold 0.7
ObjectProperty,measurement made by,water meter of,semantic+jaro_winkler+levenshtein,jaro_winkler=0.5698; levenshtein=0.2941; semantic=0.6005; sequence_match=0.2069,False,0.4881,False,top-3 avg score 0.4881 < final_threshold 0.7
ObjectProperty,has key performance indicator,has water meter,jaro_winkler+semantic+levenshtein,jaro_winkler=0.6513; levenshtein=0.3462; semantic=0.4583; sequence_match=0.3077,False,0.4852,False,top-3 avg score 0.4852 < final_threshold 0.7
ObjectProperty,has duration,has billing info,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6025; levenshtein=0.2857; semantic=0.4514; sequence_match=0.4000,False,0.4846,False,top-3 avg score 0.4846 < final_threshold 0.7
ObjectProperty,hasGeometry,measures,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5598; levenshtein=0.1818; semantic=0.5664; sequence_match=0.3158,False,0.4807,False,top-3 avg score 0.4807 < final_threshold 0.7
ObjectProperty,has phenomenon time,has device,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6166; levenshtein=0.3529; semantic=0.4409; sequence_match=0.3846,False,0.4807,False,top-3 avg score 0.4807 < final_threshold 0.7
ObjectProperty,applies to,tariff of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5694; levenshtein=0.1111; semantic=0.5168; sequence_match=0.3529,False,0.4797,False,top-3 avg score 0.4797 < final_threshold 0.7
ObjectProperty,measurement made by,composed by,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5954; levenshtein=0.2353; semantic=0.4686; sequence_match=0.3704,False,0.4781,False,top-3 avg score 0.4781 < final_threshold 0.7
ObjectProperty,has key performance indicator,has device,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6347; levenshtein=0.2308; semantic=0.4540; sequence_match=0.3429,False,0.4772,False,top-3 avg score 0.4772 < final_threshold 0.7
ObjectProperty,has period,water meter of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5926; levenshtein=0.2500; semantic=0.4527; sequence_match=0.3810,False,0.4754,False,top-3 avg score 0.4754 < final_threshold 0.7
ObjectProperty,applies to,device of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5694; levenshtein=0.1111; semantic=0.5031; sequence_match=0.3529,False,0.4752,False,top-3 avg score 0.4752 < final_threshold 0.7
ObjectProperty,has billing period,has water meter,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5657; levenshtein=0.3125; semantic=0.5123; sequence_match=0.3448,False,0.4743,False,top-3 avg score 0.4743 < final_threshold 0.7
ObjectProperty,feature is measured by device,device of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4700; levenshtein=0.1600; semantic=0.5891; sequence_match=0.3636,False,0.4742,False,top-3 avg score 0.4742 < final_threshold 0.7
ObjectProperty,hasGeometry,has billing info,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5498; levenshtein=0.2143; semantic=0.4582; sequence_match=0.4000,False,0.4693,False,top-3 avg score 0.4693 < final_threshold 0.7
ObjectProperty,has period,measures,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5648; levenshtein=0.2222; semantic=0.4870; sequence_match=0.3529,False,0.4683,False,top-3 avg score 0.4683 < final_threshold 0.7
