Gold_term,Pre_term,Method,Score
Bordeaux,Bordeaux,hard_match,1.0
RedWine,Red Wine,hard_match,1.0
Region,Region,hard_match,1.0
VintageYear,Vintage Year,hard_match,1.0
WhiteWine,White Wine,hard_match,1.0
WineBody,Body,top3_avg(levenshtein+semantic+sequence_match),0.6559632354312472
WineDescriptor,Wine Characteristic,top3_avg(jaro_winkler+semantic+sequence_match),0.6673073968616685
WineGrape,Grape,top3_avg(levenshtein+semantic+sequence_match),0.7158892208306247
WineTaste,Wine Type,top3_avg(jaro_winkler+semantic+sequence_match),0.787106649860058
Zinfandel,Zinfandel,hard_match,1.0
wine,Wine,hard_match,1.0
