prop_type,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
ObjectProperty,madeFromGrape,made from grape,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,hasVintageYear,for vintage year,semantic+sequence_match+levenshtein,jaro_winkler=0.7056; levenshtein=0.7857; semantic=0.9306; sequence_match=0.7857,False,0.834,True,selected
ObjectProperty,hasVintageYear,has vintage characteristic,semantic+jaro_winkler+sequence_match,jaro_winkler=0.8787; levenshtein=0.5000; semantic=0.8886; sequence_match=0.6316,False,0.7996,False,gold already mapped to 'for vintage year'
ObjectProperty,hasVintageYear,assesses vintage of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6342; levenshtein=0.3529; semantic=0.8278; sequence_match=0.5806,False,0.6809,False,top-3 avg score 0.6809 < final_threshold 0.7
ObjectProperty,hasWineDescriptor,has vintage characteristic,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6919; levenshtein=0.4167; semantic=0.6064; sequence_match=0.4878,False,0.5954,False,top-3 avg score 0.5954 < final_threshold 0.7
ObjectProperty,hasColor,has characteristic,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6397; levenshtein=0.2941; semantic=0.6426; sequence_match=0.4000,False,0.5608,False,top-3 avg score 0.5608 < final_threshold 0.7
ObjectProperty,hasWineDescriptor,for wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6022; levenshtein=0.2353; semantic=0.7308; sequence_match=0.3333,False,0.5555,False,top-3 avg score 0.5555 < final_threshold 0.7
ObjectProperty,hasFlavor,has characteristic,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6166; levenshtein=0.2941; semantic=0.6483; sequence_match=0.3846,False,0.5498,False,top-3 avg score 0.5498 < final_threshold 0.7
ObjectProperty,hasWineDescriptor,characteristic of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6377; levenshtein=0.2941; semantic=0.5298; sequence_match=0.4242,False,0.5306,False,top-3 avg score 0.5306 < final_threshold 0.7
ObjectProperty,hasWineDescriptor,has characteristic,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6255; levenshtein=0.3529; semantic=0.5353; sequence_match=0.4118,False,0.5242,False,top-3 avg score 0.5242 < final_threshold 0.7
ObjectProperty,hasSugar,has characteristic,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6397; levenshtein=0.2941; semantic=0.5188; sequence_match=0.4000,False,0.5195,False,top-3 avg score 0.5195 < final_threshold 0.7
ObjectProperty,locatedIn,characteristic of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6227; levenshtein=0.2500; semantic=0.5232; sequence_match=0.4000,False,0.5153,False,top-3 avg score 0.5153 < final_threshold 0.7
ObjectProperty,hasColor,has vintage characteristic,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6111; levenshtein=0.2083; semantic=0.6145; sequence_match=0.3125,False,0.5127,False,top-3 avg score 0.5127 < final_threshold 0.7
ObjectProperty,hasWineDescriptor,assesses vintage of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6122; levenshtein=0.2353; semantic=0.5642; sequence_match=0.3529,False,0.5098,False,top-3 avg score 0.5098 < final_threshold 0.7
ObjectProperty,hasVintageYear,has characteristic,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5973; levenshtein=0.2941; semantic=0.5839; sequence_match=0.3226,False,0.5013,False,top-3 avg score 0.5013 < final_threshold 0.7
ObjectProperty,hasSugar,has vintage characteristic,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6111; levenshtein=0.2500; semantic=0.5068; sequence_match=0.3750,False,0.4976,False,top-3 avg score 0.4976 < final_threshold 0.7
ObjectProperty,hasFlavor,has vintage characteristic,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5833; levenshtein=0.2083; semantic=0.6063; sequence_match=0.3030,False,0.4976,False,top-3 avg score 0.4976 < final_threshold 0.7
ObjectProperty,hasWineDescriptor,for vintage year,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5383; levenshtein=0.1765; semantic=0.6301; sequence_match=0.3226,False,0.497,False,top-3 avg score 0.4970 < final_threshold 0.7
ObjectProperty,madeFromGrape,for wine,semantic+jaro_winkler+levenshtein,jaro_winkler=0.5430; levenshtein=0.2308; semantic=0.7170; sequence_match=0.1000,False,0.4969,False,top-3 avg score 0.4969 < final_threshold 0.7
ObjectProperty,hasWineDescriptor,made from grape,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5548; levenshtein=0.1765; semantic=0.5991; sequence_match=0.3333,False,0.4957,False,top-3 avg score 0.4957 < final_threshold 0.7
ObjectProperty,hasVintageYear,for wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5476; levenshtein=0.2143; semantic=0.6502; sequence_match=0.2857,False,0.4945,False,top-3 avg score 0.4945 < final_threshold 0.7
