prop_type,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
ObjectProperty,has achievement,Has Achievement,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,has item,Has Item,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,has playing area,Has Playing Area,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,lives in,Lives In,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,owns item,Owns Item,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,plays game,Plays Game,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,has game genre,Has Genre,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9083; levenshtein=0.6667; semantic=0.8370; sequence_match=0.8000,False,0.8484,True,selected
ObjectProperty,purchases game offering,Purchase Has Game,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8818; levenshtein=0.5238; semantic=0.7955; sequence_match=0.7222,False,0.7998,True,selected
ObjectProperty,owns achievement,Pivot Has Achievement,semantic+sequence_match+jaro_winkler,jaro_winkler=0.7477; levenshtein=0.6842; semantic=0.7674; sequence_match=0.7647,False,0.7599,True,selected
ObjectProperty,involves player,Pivot Has Player,semantic+sequence_match+jaro_winkler,jaro_winkler=0.7095; levenshtein=0.6429; semantic=0.7539; sequence_match=0.7143,False,0.7259,True,selected
