Gold_term,Pre_term,Method,Score
release date,Release Date,hard_match,1.0
username,Username,hard_match,1.0
has achievement,Has Achievement,hard_match,1.0
has game genre,Has Genre,top3_avg(jaro_winkler+semantic+sequence_match),0.8484
has item,Has Item,hard_match,1.0
has playing area,Has Playing Area,hard_match,1.0
involves player,Pivot Has Player,top3_avg(jaro_winkler+semantic+sequence_match),0.7259
lives in,Lives In,hard_match,1.0
owns achievement,Pivot Has Achievement,top3_avg(jaro_winkler+semantic+sequence_match),0.7599
owns item,Owns Item,hard_match,1.0
plays game,Plays Game,hard_match,1.0
purchases game offering,Purchase Has Game,top3_avg(jaro_winkler+semantic+sequence_match),0.7998
