gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
Achievement,Achievement,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
Game,Game,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
Genre,Genre,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
Player,Player,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
playing area,Playing Area,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
in-app purchase event,In-App Purchase,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9444; levenshtein=0.7222; semantic=0.8778; sequence_match=0.8387,False,0.887,True,selected
Item,Game Item,semantic+sequence_match+levenshtein,jaro_winkler=0.4167; levenshtein=0.5000; semantic=0.8088; sequence_match=0.6667,False,0.6585,True,selected
Completion,Location,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8107; levenshtein=0.5000; semantic=0.5398; sequence_match=0.5556,False,0.6354,True,selected
Achievement,Achievement Type,jaro_winkler+sequence_match+semantic,jaro_winkler=0.9467; levenshtein=0.7333; semantic=0.8043; sequence_match=0.8462,False,0.8657,False,gold already mapped to 'Achievement'
Player,Player Item,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9200; levenshtein=0.6000; semantic=0.7867; sequence_match=0.7500,False,0.8189,False,gold already mapped to 'Player'
Game,Game Item,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9000; levenshtein=0.5000; semantic=0.7675; sequence_match=0.6667,False,0.7781,False,gold already mapped to 'Game'
game product,Game,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8727; levenshtein=0.3636; semantic=0.7258; sequence_match=0.5333,False,0.7106,False,pred already taken by 'Game' (higher averaged score)
Player,Playing Area,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8576; levenshtein=0.4545; semantic=0.5741; sequence_match=0.5882,False,0.6733,False,gold already mapped to 'Player'
playing area,Player,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8576; levenshtein=0.4545; semantic=0.5741; sequence_match=0.5882,False,0.6733,False,gold already mapped to 'Playing Area'
Game,Game Participation,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8471; levenshtein=0.2353; semantic=0.7839; sequence_match=0.3810,False,0.6706,False,gold already mapped to 'Game'
game product,Game Item,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6212; levenshtein=0.3636; semantic=0.7697; sequence_match=0.5263,False,0.6391,False,pred already taken by 'Item' (higher averaged score)
playing area,Player Item,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8387; levenshtein=0.4545; semantic=0.4942; sequence_match=0.5714,False,0.6348,False,gold already mapped to 'Playing Area'
Collection,Location,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8107; levenshtein=0.5000; semantic=0.5273; sequence_match=0.5556,False,0.6312,False,pred already taken by 'Completion' (higher averaged score)
Item,Player Item,semantic+sequence_match+jaro_winkler,jaro_winkler=0.4500; levenshtein=0.4000; semantic=0.8086; sequence_match=0.5714,False,0.61,False,gold already mapped to 'Game Item'
