Gold_term,Pre_term,Method,Score
release date,has release date,top3_avg(jaro_winkler+semantic+sequence_match),0.8759
username,has username,top3_avg(jaro_winkler+semantic+sequence_match),0.8593
has achievement,has achievement,hard_match,1.0
has game genre,has genre,top3_avg(jaro_winkler+semantic+sequence_match),0.8484
has item,has item,hard_match,1.0
has playing area,has playing area,hard_match,1.0
is achievement in game,is achievement of,top3_avg(jaro_winkler+semantic+sequence_match),0.8168
is player in session,is player in stat,top3_avg(jaro_winkler+levenshtein+sequence_match),0.7478
owns item,is item of,top3_avg(jaro_winkler+semantic+sequence_match),0.7016
plays game,plays game,hard_match,1.0
purchases game offering,purchase for game,top3_avg(jaro_winkler+semantic+sequence_match),0.7885
