prop_type,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
ObjectProperty,has achievement,has achievement,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,has item,has item,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,has playing area,has playing area,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,owns item,owns item,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,plays game,played game,semantic+jaro_winkler+sequence_match,jaro_winkler=0.8878; levenshtein=0.8000; semantic=0.9012; sequence_match=0.8421,False,0.877,True,selected
ObjectProperty,has game genre,has genre,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9083; levenshtein=0.6667; semantic=0.8370; sequence_match=0.8000,False,0.8484,True,selected
ObjectProperty,owns achievement,has game achievement,semantic+jaro_winkler+sequence_match,jaro_winkler=0.7389; levenshtein=0.6111; semantic=0.7977; sequence_match=0.7273,False,0.7546,True,selected
ObjectProperty,purchases game offering,purchased in game,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8771; levenshtein=0.4762; semantic=0.6722; sequence_match=0.6667,False,0.7387,True,selected
ObjectProperty,lives in,resides in,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6899; levenshtein=0.5556; semantic=0.8603; sequence_match=0.6250,False,0.7251,True,selected
ObjectProperty,is achievement in game,has achievement type,jaro_winkler+sequence_match+semantic,jaro_winkler=0.7509; levenshtein=0.6316; semantic=0.6515; sequence_match=0.7027,False,0.7017,True,selected
ObjectProperty,has achievement,has game achievement,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8981; levenshtein=0.7778; semantic=0.8704; sequence_match=0.8750,False,0.8812,False,gold already mapped to 'has achievement'
ObjectProperty,has achievement,has achievement type,jaro_winkler+sequence_match+semantic,jaro_winkler=0.9556; levenshtein=0.7778; semantic=0.7933; sequence_match=0.8750,False,0.8746,False,gold already mapped to 'has achievement'
ObjectProperty,owns achievement,has achievement,semantic+jaro_winkler+sequence_match,jaro_winkler=0.8579; levenshtein=0.8000; semantic=0.8760; sequence_match=0.8276,False,0.8538,False,pred already taken by 'has achievement'
ObjectProperty,has game genre,has game,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9167; levenshtein=0.5833; semantic=0.7788; sequence_match=0.7368,False,0.8108,False,gold already mapped to 'has genre'
ObjectProperty,plays game,has game,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8413; levenshtein=0.6667; semantic=0.8098; sequence_match=0.7500,False,0.8003,False,gold already mapped to 'played game'
ObjectProperty,has achievement,earned achievement,semantic+sequence_match+jaro_winkler,jaro_winkler=0.7432; levenshtein=0.7059; semantic=0.8431; sequence_match=0.7742,False,0.7868,False,gold already mapped to 'has achievement'
ObjectProperty,is achievement in game,has achievement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7740; levenshtein=0.5789; semantic=0.7680; sequence_match=0.7273,False,0.7564,False,pred already taken by 'has achievement'
ObjectProperty,owns achievement,earned achievement,semantic+sequence_match+levenshtein,jaro_winkler=0.6964; levenshtein=0.7059; semantic=0.7818; sequence_match=0.7500,False,0.7459,False,gold already mapped to 'has game achievement'
ObjectProperty,is achievement in game,has game achievement,semantic+jaro_winkler+sequence_match,jaro_winkler=0.7192; levenshtein=0.3684; semantic=0.8672; sequence_match=0.6486,False,0.745,False,pred already taken by 'owns achievement'
ObjectProperty,has item,owns item,semantic+jaro_winkler+sequence_match,jaro_winkler=0.7798; levenshtein=0.6250; semantic=0.7878; sequence_match=0.6667,False,0.7448,False,gold already mapped to 'has item'
ObjectProperty,owns item,has item,semantic+jaro_winkler+sequence_match,jaro_winkler=0.7798; levenshtein=0.6250; semantic=0.7878; sequence_match=0.6667,False,0.7448,False,gold already mapped to 'owns item'
ObjectProperty,owns achievement,has achievement type,jaro_winkler+sequence_match+semantic,jaro_winkler=0.7944; levenshtein=0.6111; semantic=0.7089; sequence_match=0.7273,False,0.7435,False,gold already mapped to 'has game achievement'
