Gold_term,Pre_term,Method,Score
has fabrication number,has Fabrication Number,hard_match,1.0
has firmware version,has Firmware Version,hard_match,1.0
has hardware version,has Hardware Version Number,top3_avg(jaro_winkler+semantic+sequence_match),0.893
has manufacturer,has Manufacturer,hard_match,1.0
has model,has Model,hard_match,1.0
has start timestamp,has Start Date And Time,top3_avg(jaro_winkler+semantic+sequence_match),0.7927
has version,has Version,hard_match,1.0
has property,has Physical Property,top3_avg(jaro_winkler+semantic+sequence_match),0.7886
makes measurement,provides Measurement,top3_avg(jaro_winkler+semantic+sequence_match),0.8232
measurement made by,measures,top3_avg(jaro_winkler+semantic+sequence_match),0.745
