role,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
property,has input,hasinput,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=0.9022; sequence_match=1.0000,True,1.0000,True,selected
property,has version,hasversion,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=0.9590; sequence_match=1.0000,True,1.0000,True,selected
property,is developed by,developedby,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9487; levenshtein=0.8462; semantic=0.9198; sequence_match=0.9167,False,0.9284,True,selected
property,has release date,releasedate,semantic+sequence_match+jaro_winkler,jaro_winkler=0.8074; levenshtein=0.7857; semantic=0.8953; sequence_match=0.8800,False,0.8609,True,selected
property,has output,hasoutputformat,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9200; levenshtein=0.6000; semantic=0.7980; sequence_match=0.7500,False,0.8227,True,selected
property,has website homepage,hashomepage,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8244; levenshtein=0.6111; semantic=0.7260; sequence_match=0.7586,False,0.7697,True,selected
property,has support url,supports,semantic+jaro_winkler+sequence_match,jaro_winkler=0.7468; levenshtein=0.5385; semantic=0.8040; sequence_match=0.6667,False,0.7392,True,selected
property,has documentation,haslocation,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.8446; levenshtein=0.6250; semantic=0.5298; sequence_match=0.7407,False,0.7368,True,selected
property,has format specification,hasmodification,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.8496; levenshtein=0.5909; semantic=0.5128; sequence_match=0.7027,False,0.7144,True,selected
property,has interface,hasinputformat,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8563; levenshtein=0.5000; semantic=0.5902; sequence_match=0.6154,False,0.6873,True,selected
property,uses software,uses,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8667; levenshtein=0.3333; semantic=0.6637; sequence_match=0.5000,False,0.6768,True,selected
property,has specified data output,hasdataexport,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8050; levenshtein=0.3636; semantic=0.7067; sequence_match=0.5143,False,0.6753,True,selected
property,has specified data input,hasvalidinput,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6991; levenshtein=0.4762; semantic=0.7331; sequence_match=0.5882,False,0.6735,True,selected
property,has input,hasvalidinput,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9103; levenshtein=0.6154; semantic=0.7954; sequence_match=0.7619,False,0.8225,False,gold already mapped to 'hasinput'
property,has output,outputs,semantic+jaro_winkler+sequence_match,jaro_winkler=0.8413; levenshtein=0.5556; semantic=0.8712; sequence_match=0.7500,False,0.8208,False,gold already mapped to 'hasoutputformat'
property,has input,hasinputformat,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9143; levenshtein=0.5714; semantic=0.7311; sequence_match=0.7273,False,0.7909,False,gold already mapped to 'hasinput'
property,has output,hasinput,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8250; levenshtein=0.6667; semantic=0.7212; sequence_match=0.7059,False,0.7507,False,gold already mapped to 'hasoutputformat'
property,is developed by,develops,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8045; levenshtein=0.5385; semantic=0.7540; sequence_match=0.6667,False,0.7417,False,gold already mapped to 'developedby'
property,has download location,haslocation,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8169; levenshtein=0.5789; semantic=0.6566; sequence_match=0.7333,False,0.7356,False,pred already taken by 'has documentation' (higher averaged score)
property,has interface,hasinput,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8500; levenshtein=0.4167; semantic=0.6841; sequence_match=0.6000,False,0.7114,False,pred already taken by 'has input' (higher averaged score)
property,has output,hastype,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8296; levenshtein=0.4444; semantic=0.6331; sequence_match=0.6250,False,0.6959,False,gold already mapped to 'hasoutputformat'
property,has documentation,hasmodification,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8172; levenshtein=0.5625; semantic=0.5705; sequence_match=0.6452,False,0.6776,False,gold already mapped to 'haslocation'
property,uses platform,uses,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8667; levenshtein=0.3333; semantic=0.6451; sequence_match=0.5000,False,0.6706,False,pred already taken by 'uses software' (higher averaged score)
property,has support url,hasurl,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8175; levenshtein=0.4615; semantic=0.5529; sequence_match=0.6316,False,0.6673,False,gold already mapped to 'supports'
property,has output,hasinputformat,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8449; levenshtein=0.4286; semantic=0.6190; sequence_match=0.5217,False,0.6619,False,gold already mapped to 'hasoutputformat'
property,has output,hasvalidinput,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7966; levenshtein=0.4615; semantic=0.6408; sequence_match=0.5455,False,0.6609,False,gold already mapped to 'hasoutputformat'
property,has license,haslocation,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8387; levenshtein=0.4545; semantic=0.5726; sequence_match=0.5714,False,0.6609,False,pred already taken by 'has documentation' (higher averaged score)
property,has interface,hastype,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7972; levenshtein=0.4167; semantic=0.6395; sequence_match=0.5263,False,0.6543,False,gold already mapped to 'hasinputformat'
property,has specified data input,hasinput,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6230; levenshtein=0.3810; semantic=0.7806; sequence_match=0.5517,False,0.6518,False,gold already mapped to 'hasvalidinput'
property,has input,hasurl,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8056; levenshtein=0.3750; semantic=0.5612; sequence_match=0.5714,False,0.6461,False,gold already mapped to 'hasinput'
property,has format specification,hasinputformat,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6898; levenshtein=0.2727; semantic=0.7475; sequence_match=0.5000,False,0.6457,False,gold already mapped to 'hasmodification'
property,has specified data input,hasmodification,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8339; levenshtein=0.4286; semantic=0.5439; sequence_match=0.5556,False,0.6445,False,gold already mapped to 'hasvalidinput'
