id,source,term_type,axiom_type,term,dl,status,note
AX1-gold,gold,Class,Declaration,Bordeaux,Declaration: Bordeaux (Class),Skip,subject 'Bordeaux' not in alignment table
AX1-pred,pred,-,-,-,(subject not in alignment table),-,-
AX3-gold,gold,Class,Declaration,RedBordeaux,Declaration: RedBordeaux (Class),Skip,subject 'RedBordeaux' not in alignment table
AX3-pred,pred,-,-,-,(subject not in alignment table),-,-
AX4-gold,gold,Class,EquivalentClasses,RedBordeaux,RedBordeaux ≡ (Bordeaux ⊓ RedWine),Skip,subject 'RedBordeaux' not in alignment table
AX4-pred,pred,-,-,-,(subject not in alignment table),-,-
AX6-gold,gold,Class,Declaration,RedWine,Declaration: RedWine (Class),Skip,subject 'RedWine' not in alignment table
AX6-pred,pred,-,-,-,(subject not in alignment table),-,-
AX7-gold,gold,Class,EquivalentClasses,RedWine,RedWine ≡ (wine ⊓ ∃hasColor.{Red}),Skip,subject 'RedWine' not in alignment table
AX7-pred,pred,-,-,-,(subject not in alignment table),-,-
AX8-gold,gold,Class,Declaration,Region,Declaration: Region (Class),TP,matched pred AX4
AX8-pred,pred,Class,Declaration,Wine Region,Declaration: Wine Region (Class),-,-
AX9-gold,gold,Class,Declaration,Vintage,Declaration: Vintage (Class),Skip,subject 'Vintage' not in alignment table
AX9-pred,pred,-,-,-,(subject not in alignment table),-,-
AX10-gold,gold,Class,SubClassOf,Vintage,Vintage ⊑ =1 hasVintageYear.⊤,Skip,subject 'Vintage' not in alignment table
AX10-pred,pred,-,-,-,(subject not in alignment table),-,-
AX11-gold,gold,Class,Declaration,VintageYear,Declaration: VintageYear (Class),Skip,subject 'VintageYear' not in alignment table
AX11-pred,pred,-,-,-,(subject not in alignment table),-,-
AX12-gold,gold,Class,Declaration,WhiteBordeaux,Declaration: WhiteBordeaux (Class),Skip,subject 'WhiteBordeaux' not in alignment table
AX12-pred,pred,-,-,-,(subject not in alignment table),-,-
AX13-gold,gold,Class,EquivalentClasses,WhiteBordeaux,WhiteBordeaux ≡ (Bordeaux ⊓ WhiteWine),Skip,subject 'WhiteBordeaux' not in alignment table
AX13-pred,pred,-,-,-,(subject not in alignment table),-,-
AX15-gold,gold,Class,Declaration,WhiteWine,Declaration: WhiteWine (Class),Skip,subject 'WhiteWine' not in alignment table
AX15-pred,pred,-,-,-,(subject not in alignment table),-,-
AX16-gold,gold,Class,EquivalentClasses,WhiteWine,WhiteWine ≡ (wine ⊓ ∃hasColor.{White}),Skip,subject 'WhiteWine' not in alignment table
AX16-pred,pred,-,-,-,(subject not in alignment table),-,-
AX17-gold,gold,Class,Declaration,WineBody,Declaration: WineBody (Class),Skip,subject 'WineBody' not in alignment table
AX17-pred,pred,-,-,-,(subject not in alignment table),-,-
AX19-gold,gold,Class,SubClassOf,WineBody,WineBody ⊑ WineTaste,Skip,subject 'WineBody' not in alignment table
AX19-pred,pred,-,-,-,(subject not in alignment table),-,-
AX20-gold,gold,Class,Declaration,WineColor,Declaration: WineColor (Class),TP,matched pred AX3
AX20-pred,pred,Class,Declaration,Wine Color,Declaration: Wine Color (Class),-,-
AX22-gold,gold,Class,SubClassOf,WineColor,WineColor ⊑ WineDescriptor,FN,pred has no SubClassOf axiom on 'Wine Color'
AX22-pred,pred,-,-,-,(no pred axiom on aligned subject),-,-
AX23-gold,gold,Class,Declaration,WineDescriptor,Declaration: WineDescriptor (Class),Skip,subject 'WineDescriptor' not in alignment table
AX23-pred,pred,-,-,-,(subject not in alignment table),-,-
AX24-gold,gold,Class,EquivalentClasses,WineDescriptor,WineDescriptor ≡ (WineColor ⊔ WineTaste),Skip,subject 'WineDescriptor' not in alignment table
AX24-pred,pred,-,-,-,(subject not in alignment table),-,-
AX25-gold,gold,Class,Declaration,WineFlavor,Declaration: WineFlavor (Class),Skip,subject 'WineFlavor' not in alignment table
AX25-pred,pred,-,-,-,(subject not in alignment table),-,-
AX27-gold,gold,Class,SubClassOf,WineFlavor,WineFlavor ⊑ WineTaste,Skip,subject 'WineFlavor' not in alignment table
AX27-pred,pred,-,-,-,(subject not in alignment table),-,-
AX28-gold,gold,Class,Declaration,WineGrape,Declaration: WineGrape (Class),TP,matched pred AX1
AX28-pred,pred,Class,Declaration,Grape Variety,Declaration: Grape Variety (Class),-,-
AX29-gold,gold,Class,Declaration,WineSugar,Declaration: WineSugar (Class),Skip,subject 'WineSugar' not in alignment table
AX29-pred,pred,-,-,-,(subject not in alignment table),-,-
AX31-gold,gold,Class,SubClassOf,WineSugar,WineSugar ⊑ WineTaste,Skip,subject 'WineSugar' not in alignment table
AX31-pred,pred,-,-,-,(subject not in alignment table),-,-
AX32-gold,gold,Class,Declaration,WineTaste,Declaration: WineTaste (Class),TP,matched pred AX5
AX32-pred,pred,Class,Declaration,Wine Vintage,Declaration: Wine Vintage (Class),-,-
AX33-gold,gold,Class,SubClassOf,WineTaste,WineTaste ⊑ WineDescriptor,FN,pred has no SubClassOf axiom on 'Wine Vintage'
AX33-pred,pred,-,-,-,(no pred axiom on aligned subject),-,-
AX34-gold,gold,Class,Declaration,Zinfandel,Declaration: Zinfandel (Class),Skip,subject 'Zinfandel' not in alignment table
AX34-pred,pred,-,-,-,(subject not in alignment table),-,-
AX40-gold,gold,Class,Declaration,wine,Declaration: wine (Class),TP,matched pred AX2
AX40-pred,pred,Class,Declaration,Wine,Declaration: Wine (Class),-,-
AX41-gold,gold,Class,SubClassOf,wine,wine ⊑ ∃locatedIn.Region,FN,pred has no SubClassOf axiom on 'Wine'
AX41-pred,pred,-,-,-,(no pred axiom on aligned subject),-,-
AX42-gold,gold,Class,SubClassOf,wine,wine ⊑ ≥1 madeFromGrape.⊤,FN,pred has no SubClassOf axiom on 'Wine'
AX42-pred,pred,-,-,-,(no pred axiom on aligned subject),-,-
AX43-gold,gold,Class,SubClassOf,wine,wine ⊑ =1 hasBody.⊤,FN,pred has no SubClassOf axiom on 'Wine'
AX43-pred,pred,-,-,-,(no pred axiom on aligned subject),-,-
AX44-gold,gold,Class,SubClassOf,wine,wine ⊑ =1 hasColor.⊤,FN,pred has no SubClassOf axiom on 'Wine'
AX44-pred,pred,-,-,-,(no pred axiom on aligned subject),-,-
AX45-gold,gold,Class,SubClassOf,wine,wine ⊑ =1 hasFlavor.⊤,FN,pred has no SubClassOf axiom on 'Wine'
AX45-pred,pred,-,-,-,(no pred axiom on aligned subject),-,-
AX46-gold,gold,Class,SubClassOf,wine,wine ⊑ =1 hasSugar.⊤,FN,pred has no SubClassOf axiom on 'Wine'
AX46-pred,pred,-,-,-,(no pred axiom on aligned subject),-,-
AX47-gold,gold,ObjectProperty,Characteristics,hasBody,Functional(hasBody),Skip,subject 'hasBody' not in alignment table
AX47-pred,pred,-,-,-,(subject not in alignment table),-,-
AX48-gold,gold,ObjectProperty,Declaration,hasBody,Declaration: hasBody (ObjectProperty),Skip,subject 'hasBody' not in alignment table
AX48-pred,pred,-,-,-,(subject not in alignment table),-,-
AX49-gold,gold,ObjectProperty,Range,hasBody,⊤ ⊑ ∀hasBody.WineBody,Skip,subject 'hasBody' not in alignment table
AX49-pred,pred,-,-,-,(subject not in alignment table),-,-
AX50-gold,gold,ObjectProperty,SubPropertyOf,hasBody,hasBody ⊑ hasWineDescriptor,Skip,subject 'hasBody' not in alignment table
AX50-pred,pred,-,-,-,(subject not in alignment table),-,-
AX51-gold,gold,ObjectProperty,Characteristics,hasColor,Functional(hasColor),TP,matched pred AX6
AX51-pred,pred,ObjectProperty,Characteristics,has color,Functional(has color),-,-
AX52-gold,gold,ObjectProperty,Declaration,hasColor,Declaration: hasColor (ObjectProperty),TP,matched pred AX7
AX52-pred,pred,ObjectProperty,Declaration,has color,Declaration: has color (ObjectProperty),-,-
AX53-gold,gold,ObjectProperty,Domain,hasColor,∃hasColor.⊤ ⊑ wine,TP,matched pred AX8
AX53-pred,pred,ObjectProperty,Domain,has color,∃has color.⊤ ⊑ Wine,-,-
AX54-gold,gold,ObjectProperty,Range,hasColor,⊤ ⊑ ∀hasColor.WineColor,TP,matched pred AX9
AX54-pred,pred,ObjectProperty,Range,has color,⊤ ⊑ ∀has color.Wine Color,-,-
AX55-gold,gold,ObjectProperty,SubPropertyOf,hasColor,hasColor ⊑ hasWineDescriptor,FN,pred has no SubPropertyOf axiom on 'has color'
AX55-pred,pred,-,-,-,(no pred axiom on aligned subject),-,-
