gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
Achievement,Achievement,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
Game,Game,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
Genre,Genre,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
Player,Player,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
playing area,Playing Area,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
in-app purchase event,In-App Purchase,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9444; levenshtein=0.7222; semantic=0.8778; sequence_match=0.8387,False,0.887,True,selected
game product,Game Play Record,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8700; levenshtein=0.4286; semantic=0.5558; sequence_match=0.6400,False,0.6886,True,selected
Item,Game Item,semantic+sequence_match+levenshtein,jaro_winkler=0.4167; levenshtein=0.5000; semantic=0.8088; sequence_match=0.6667,False,0.6585,True,selected
Completion,Location,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8107; levenshtein=0.5000; semantic=0.5398; sequence_match=0.5556,False,0.6354,True,selected
Achievement,Achievement Type,jaro_winkler+sequence_match+semantic,jaro_winkler=0.9467; levenshtein=0.7333; semantic=0.8043; sequence_match=0.8462,False,0.8657,False,gold already mapped to 'Achievement'
Game,Game Item,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9000; levenshtein=0.5000; semantic=0.7675; sequence_match=0.6667,False,0.7781,False,gold already mapped to 'Game'
game product,Game,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8727; levenshtein=0.3636; semantic=0.7258; sequence_match=0.5333,False,0.7106,False,pred already taken by 'Game' (higher averaged score)
Game,Game Play Record,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8571; levenshtein=0.2857; semantic=0.7395; sequence_match=0.4444,False,0.6804,False,gold already mapped to 'Game'
Player,Playing Area,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8576; levenshtein=0.4545; semantic=0.5741; sequence_match=0.5882,False,0.6733,False,gold already mapped to 'Player'
playing area,Player,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8576; levenshtein=0.4545; semantic=0.5741; sequence_match=0.5882,False,0.6733,False,gold already mapped to 'Playing Area'
Player,Player Game Inventory,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8632; levenshtein=0.3158; semantic=0.6511; sequence_match=0.4800,False,0.6647,False,gold already mapped to 'Player'
