gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
Actuator,Actuator,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
Device,Device,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
Sensor,Sensor,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
Tariff,Tariff,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
Water meter,Water Meter,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
Water infrastructure,Water Distribution Infrastructure,semantic+jaro_winkler+sequence_match,jaro_winkler=0.8699; levenshtein=0.6129; semantic=0.9136; sequence_match=0.7600,False,0.8479,True,selected
Temporal entity,Temporal Setting,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9437; levenshtein=0.7333; semantic=0.7760; sequence_match=0.7586,False,0.8261,True,selected
Water,Water Indicator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8714; levenshtein=0.3571; semantic=0.7301; sequence_match=0.5263,False,0.7093,True,selected
Water asset,Asset,semantic+sequence_match+jaro_winkler,jaro_winkler=0.6500; levenshtein=0.5000; semantic=0.7889; sequence_match=0.6667,False,0.7019,True,selected
ChemicalProperty,Chemical Indicator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8487; levenshtein=0.5294; semantic=0.6803; sequence_match=0.5455,False,0.6915,True,selected
Key Performance Indicator,Physical Indicator,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6228; levenshtein=0.4783; semantic=0.6820; sequence_match=0.5500,False,0.6183,True,selected
Temporal duration,Temporal Setting,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8842; levenshtein=0.6250; semantic=0.7138; sequence_match=0.7097,False,0.7692,False,pred already taken by 'Temporal entity' (higher averaged score)
Water,Water Meter,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9000; levenshtein=0.5000; semantic=0.7251; sequence_match=0.6667,False,0.7639,False,pred already taken by 'Water meter' (higher averaged score)
Water asset,Water Meter,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8800; levenshtein=0.6000; semantic=0.6763; sequence_match=0.7000,False,0.7521,False,pred already taken by 'Water meter' (higher averaged score)
Water meter,Water Indicator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8400; levenshtein=0.5000; semantic=0.7187; sequence_match=0.5833,False,0.714,False,gold already mapped to 'Water Meter'
Water property,Water Meter,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8581; levenshtein=0.5385; semantic=0.6433; sequence_match=0.6087,False,0.7033,False,pred already taken by 'Water meter' (higher averaged score)
Water asset,Water Indicator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8400; levenshtein=0.4286; semantic=0.6505; sequence_match=0.5833,False,0.6913,False,gold already mapped to 'Asset'
Meter,Water Meter,semantic+sequence_match+jaro_winkler,jaro_winkler=0.5667; levenshtein=0.5000; semantic=0.8181; sequence_match=0.6667,False,0.6838,False,pred already taken by 'Water meter' (higher averaged score)
Water infrastructure,Water Indicator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8548; levenshtein=0.4737; semantic=0.6409; sequence_match=0.4848,False,0.6602,False,gold already mapped to 'Water Distribution Infrastructure'
Key Performance Indicator,Chemical Indicator,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6484; levenshtein=0.4783; semantic=0.5924; sequence_match=0.6000,False,0.6136,False,gold already mapped to 'Physical Indicator'
Time-based tariff,Tariff,semantic+sequence_match+jaro_winkler,jaro_winkler=0.4556; levenshtein=0.4000; semantic=0.7982; sequence_match=0.5714,False,0.6084,False,pred already taken by 'Tariff' (higher averaged score)
Key Performance Indicator,Water Indicator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6263; levenshtein=0.4783; semantic=0.5980; sequence_match=0.5946,False,0.6063,False,gold already mapped to 'Physical Indicator'
Water,Water Distribution Infrastructure,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8323; levenshtein=0.1613; semantic=0.6982; sequence_match=0.2778,False,0.6027,False,gold already mapped to 'Water Indicator'
Water asset,Water Distribution Infrastructure,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6419; levenshtein=0.2581; semantic=0.7522; sequence_match=0.3902,False,0.5948,False,top-3 avg score 0.5948 < final_threshold 0.6
Water infrastructure,Water Meter,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6419; levenshtein=0.3684; semantic=0.6947; sequence_match=0.4138,False,0.5834,False,top-3 avg score 0.5834 < final_threshold 0.6
Water property,Water Indicator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6873; levenshtein=0.4286; semantic=0.6054; sequence_match=0.4444,False,0.579,False,top-3 avg score 0.5790 < final_threshold 0.6
Actuator,Water Indicator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6151; levenshtein=0.3571; semantic=0.5614; sequence_match=0.5455,False,0.574,False,top-3 avg score 0.5740 < final_threshold 0.6
Water,Actuator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6583; levenshtein=0.3750; semantic=0.5733; sequence_match=0.4615,False,0.5644,False,top-3 avg score 0.5644 < final_threshold 0.6
Geometry,Sensor,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6250; levenshtein=0.2500; semantic=0.5921; sequence_match=0.4286,False,0.5486,False,top-3 avg score 0.5486 < final_threshold 0.6
Water asset,Temporal Setting,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6270; levenshtein=0.3333; semantic=0.4547; sequence_match=0.5600,False,0.5472,False,top-3 avg score 0.5472 < final_threshold 0.6
Geometry,Water Meter,jaro_winkler+sequence_match+semantic,jaro_winkler=0.5750; levenshtein=0.4000; semantic=0.5012; sequence_match=0.5556,False,0.5439,False,top-3 avg score 0.5439 < final_threshold 0.6
Water property,Water Distribution Infrastructure,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5868; levenshtein=0.2903; semantic=0.6665; sequence_match=0.3636,False,0.539,False,top-3 avg score 0.5390 < final_threshold 0.6
Measurement,Water Meter,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6359; levenshtein=0.2727; semantic=0.6951; sequence_match=0.2857,False,0.5389,False,top-3 avg score 0.5389 < final_threshold 0.6
