role,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
property,playsgame,playsgame,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0000,True,selected
property,hasachievement,hasachievement,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0000,True,selected
property,hasitem,hasitem,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0000,True,selected
property,livesin,livesin,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0000,True,selected
property,hasplayingarea,hasplayingarea,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0000,True,selected
property,releasedate,hasreleasedate,semantic+sequence_match+jaro_winkler,jaro_winkler=0.8074; levenshtein=0.7857; semantic=0.9390; sequence_match=0.8800,False,0.8754,True,selected
property,username,hasusername,semantic+sequence_match+jaro_winkler,jaro_winkler=0.8258; levenshtein=0.7273; semantic=0.9063; sequence_match=0.8421,False,0.8581,True,selected
property,hasgamegenre,hasgenre,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9083; levenshtein=0.6667; semantic=0.8511; sequence_match=0.8000,False,0.8532,True,selected
property,isfriendwithplayer,isfriendof,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8489; levenshtein=0.4444; semantic=0.8005; sequence_match=0.5714,False,0.7403,True,selected
property,ownsachievement,hasachievement,semantic+jaro_winkler+sequence_match,jaro_winkler=0.8579; levenshtein=0.8000; semantic=0.9068; sequence_match=0.8276,False,0.8641,False,pred already taken by 'hasachievement' (higher averaged score)
property,playsgame,played,semantic+jaro_winkler+sequence_match,jaro_winkler=0.8222; levenshtein=0.4444; semantic=0.8372; sequence_match=0.6667,False,0.7754,False,gold already mapped to 'playsgame'
property,ownsitem,hasitem,semantic+jaro_winkler+sequence_match,jaro_winkler=0.7798; levenshtein=0.6250; semantic=0.7978; sequence_match=0.6667,False,0.7481,False,pred already taken by 'hasitem' (higher averaged score)
property,hasitem,hasfriend,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8296; levenshtein=0.4444; semantic=0.6765; sequence_match=0.6250,False,0.7104,False,gold already mapped to 'hasitem'
property,hasachievement,hasitem,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8333; levenshtein=0.4286; semantic=0.6591; sequence_match=0.5714,False,0.6880,False,gold already mapped to 'hasachievement'
property,hasitem,hasachievement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8333; levenshtein=0.4286; semantic=0.6591; sequence_match=0.5714,False,0.6880,False,gold already mapped to 'hasitem'
property,hasitem,hastimestamp,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8361; levenshtein=0.5000; semantic=0.5846; sequence_match=0.6316,False,0.6841,False,gold already mapped to 'hasitem'
property,hasachievement,hasreceived,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8224; levenshtein=0.4286; semantic=0.6549; sequence_match=0.5600,False,0.6791,False,gold already mapped to 'hasachievement'
property,hasitem,hasusername,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8061; levenshtein=0.4545; semantic=0.6567; sequence_match=0.5556,False,0.6728,False,gold already mapped to 'hasitem'
property,hasgamegenre,playsgame,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7222; levenshtein=0.3333; semantic=0.7007; sequence_match=0.5714,False,0.6648,False,gold already mapped to 'hasgenre'
property,hasitem,hasobtained,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8217; levenshtein=0.4545; semantic=0.5942; sequence_match=0.5556,False,0.6572,False,gold already mapped to 'hasitem'
property,hasplayingarea,hasgenre,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8208; levenshtein=0.4286; semantic=0.5709; sequence_match=0.5455,False,0.6457,False,gold already mapped to 'hasplayingarea'
property,livesin,existsin,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7131; levenshtein=0.5000; semantic=0.6830; sequence_match=0.5333,False,0.6432,False,gold already mapped to 'livesin'
property,hasgamegenre,hasachievement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8065; levenshtein=0.3571; semantic=0.5693; sequence_match=0.5385,False,0.6381,False,gold already mapped to 'hasgenre'
property,hasachievement,hasobtained,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6645; levenshtein=0.2857; semantic=0.7671; sequence_match=0.4800,False,0.6372,False,gold already mapped to 'hasachievement'
property,hasachievement,hasfriend,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6984; levenshtein=0.4286; semantic=0.6842; sequence_match=0.5217,False,0.6348,False,gold already mapped to 'hasachievement'
property,hasplayingarea,hasobtained,jaro_winkler+sequence_match+semantic,jaro_winkler=0.7985; levenshtein=0.4286; semantic=0.5425; sequence_match=0.5600,False,0.6337,False,gold already mapped to 'hasplayingarea'
property,isfriendwithplayer,hasfriend,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6270; levenshtein=0.3333; semantic=0.7501; sequence_match=0.5185,False,0.6319,False,gold already mapped to 'isfriendof'
property,hasgamegenre,hasusername,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8215; levenshtein=0.4167; semantic=0.5177; sequence_match=0.5217,False,0.6203,False,gold already mapped to 'hasgenre'
property,hasachievement,hasusername,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6829; levenshtein=0.3571; semantic=0.6968; sequence_match=0.4800,False,0.6199,False,gold already mapped to 'hasachievement'
property,playsgame,hasplayingarea,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6951; levenshtein=0.5000; semantic=0.5551; sequence_match=0.6087,False,0.6196,False,gold already mapped to 'playsgame'
property,hasplayingarea,playsgame,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6951; levenshtein=0.5000; semantic=0.5551; sequence_match=0.6087,False,0.6196,False,gold already mapped to 'hasplayingarea'
property,hasitem,hasgenre,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6905; levenshtein=0.3750; semantic=0.6071; sequence_match=0.5333,False,0.6103,False,gold already mapped to 'hasitem'
property,hasachievement,hastimestamp,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6627; levenshtein=0.2857; semantic=0.5897; sequence_match=0.5385,False,0.5970,False,top-3 avg score 0.5970 < final_threshold 0.6
property,purchasesgameoffering,madepurchase,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6365; levenshtein=0.1905; semantic=0.6666; sequence_match=0.4848,False,0.5960,False,top-3 avg score 0.5960 < final_threshold 0.6
property,hasitem,hasreceived,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6563; levenshtein=0.4545; semantic=0.5593; sequence_match=0.5556,False,0.5904,False,top-3 avg score 0.5904 < final_threshold 0.6
property,purchasesgameoffering,hasmadepurchase,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6516; levenshtein=0.2381; semantic=0.6708; sequence_match=0.4444,False,0.5889,False,top-3 avg score 0.5889 < final_threshold 0.6
property,hasplayingarea,hastotalspending,jaro_winkler+sequence_match+semantic,jaro_winkler=0.7992; levenshtein=0.2500; semantic=0.4588; sequence_match=0.4667,False,0.5749,False,top-3 avg score 0.5749 < final_threshold 0.6
property,username,hasgenre,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6833; levenshtein=0.2500; semantic=0.5355; sequence_match=0.5000,False,0.5729,False,top-3 avg score 0.5729 < final_threshold 0.6
property,hasachievement,hasmadepurchase,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6599; levenshtein=0.2667; semantic=0.5745; sequence_match=0.4828,False,0.5724,False,top-3 avg score 0.5724 < final_threshold 0.6
property,hasachievement,hasgenre,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6607; levenshtein=0.3571; semantic=0.5979; sequence_match=0.4545,False,0.5711,False,top-3 avg score 0.5711 < final_threshold 0.6
property,hasgamegenre,hasplayingarea,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6627; levenshtein=0.4286; semantic=0.5014; sequence_match=0.5385,False,0.5675,False,top-3 avg score 0.5675 < final_threshold 0.6
property,ownsachievement,hasreceived,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6949; levenshtein=0.2667; semantic=0.6105; sequence_match=0.3846,False,0.5634,False,top-3 avg score 0.5634 < final_threshold 0.6
property,purchasesgameoffering,playsgame,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6085; levenshtein=0.3333; semantic=0.6097; sequence_match=0.4667,False,0.5616,False,top-3 avg score 0.5616 < final_threshold 0.6
