side,dimension,sub,sup,status,raw_pred_sub,raw_pred_sup
gold,class,CarnivorousPlant,plant,TP,,
gold,class,Omnivore,animal,TP,,
gold,class,carnivore,animal,TP,,
gold,class,herbivore,animal,TP,,
gold,class,lion,animal,FN,,
gold,class,lion,carnivore,FN,,
pred,class,PlantParts,plant,FP,,
gold,property,is-proper-part-of,has-part,FN,,
gold,property,is-proper-part-of,is-part-of,FN,,
pred,property,,,untranslated,eatenByAnimal,eatenBy
pred,property,,,untranslated,eatenByAnimal,eats
pred,property,,,untranslated,eatenByCarnivorousPlant,eats
pred,property,,,untranslated,eatenByPlant,eatenBy
pred,property,,,untranslated,eatenByPlant,eats
pred,property,,,untranslated,eatsPlantPart,eatenBy
pred,property,,,untranslated,eatsPlantPart,eats
pred,property,,,untranslated,plantEatsAnimal,eatenBy
