cq_id,covered,fully_covered,n_tp,n_axioms,rate,tp_axiom_ids,missing_axiom_ids
CQ04,true,false,3,4,0.7500,AX21;AX61;AX74,AX62
CQ05,true,false,3,4,0.7500,AX21;AX61;AX74,AX62
CQ06,true,false,5,11,0.4545,AX69;AX70;AX74;AX81;AX83,AX19;AX20;AX42;AX78;AX80;AX82
CQ07,true,false,1,7,0.1429,AX74,AX22;AX23;AX27;AX45;AX46;AX77
CQ08,true,false,3,4,0.7500,AX69;AX70;AX74,AX16
CQ11,true,false,1,6,0.1667,AX74,AX45;AX46;AX77;AX85;AX86
CQ14,true,false,5,7,0.7143,AX53;AX54;AX69;AX70;AX74,AX7;AX28
CQ15,true,false,4,5,0.8000,AX25;AX53;AX54;AX74,AX26
CQ16,true,false,4,7,0.5714,AX25;AX69;AX70;AX74,AX26;AX51;AX52
CQ17,true,false,4,9,0.4444,AX38;AX53;AX54;AX74,AX39;AX40;AX41;AX51;AX52
CQ19,true,false,1,5,0.2000,AX74,AX2;AX3;AX51;AX52
CQ21,true,false,1,2,0.5000,AX74,AX44
CQ22,true,false,7,19,0.3684,AX24;AX25;AX38;AX53;AX54;AX72;AX74,AX1;AX26;AX39;AX40;AX41;AX48;AX51;AX52;AX63;AX64;AX65;AX66
CQ23,true,false,9,22,0.4091,AX24;AX25;AX38;AX53;AX54;AX70;AX74;AX81;AX83,AX26;AX39;AX40;AX41;AX48;AX51;AX52;AX63;AX64;AX65;AX66;AX80;AX82
CQ26,true,false,1,5,0.2000,AX74,AX12;AX47;AX51;AX52
CQ29,true,false,4,11,0.3636,AX25;AX53;AX54;AX74,AX26;AX44;AX48;AX51;AX52;AX57;AX58
CQ30,true,false,4,8,0.5000,AX36;AX59;AX60;AX74,AX35;AX37;AX55;AX56
CQ32,true,false,1,3,0.3333,AX74,AX55;AX56
CQ36,true,false,3,4,0.7500,AX67;AX74;AX76,AX75
CQ37,true,true,4,4,1.0000,AX36;AX59;AX60;AX74,
CQ38,true,false,3,4,0.7500,AX67;AX74;AX76,AX75
CQ40,true,false,2,6,0.3333,AX36;AX74,AX35;AX37;AX55;AX56
CQ45,true,false,2,3,0.6667,AX50;AX74,AX49
CQ46,true,false,4,6,0.6667,AX4;AX31;AX32;AX74,AX8;AX9
CQ54,true,false,1,3,0.3333,AX74,AX57;AX58
CQ55,true,false,1,7,0.1429,AX74,AX29;AX42;AX43;AX57;AX58;AX84
CQ57,true,false,2,5,0.4000,AX50;AX74,AX49;AX57;AX58
CQ58,true,false,3,10,0.3000,AX67;AX74;AX76,AX12;AX13;AX14;AX15;AX18;AX47;AX75
CQ59,true,false,2,4,0.5000,AX71;AX74,AX14;AX47
CQ60,true,false,1,7,0.1429,AX74,AX12;AX13;AX14;AX15;AX18;AX47
CQ65,true,false,1,7,0.1429,AX74,AX12;AX13;AX14;AX15;AX18;AX47
CQ68,true,false,3,9,0.3333,AX30;AX71;AX74,AX5;AX6;AX10;AX11;AX17;AX47
CQ73,true,false,4,5,0.8000,AX33;AX59;AX60;AX74,AX34
CQ84,true,false,1,5,0.2000,AX74,AX26;AX39;AX68;AX73
CQ85,true,false,1,2,0.5000,AX74,AX79
