Gold_term,Pre_term,Method,Score
release date,has release date,top3_avg(jaro_winkler+semantic+sequence_match),0.8759
username,has username,top3_avg(jaro_winkler+semantic+sequence_match),0.8593
has achievement,has achievement,hard_match,1.0
has game genre,has genre,top3_avg(jaro_winkler+semantic+sequence_match),0.8484
has item,has item,hard_match,1.0
has playing area,game has playing area,top3_avg(levenshtein+semantic+sequence_match),0.8449
is achievement in game,game has achievement,top3_avg(jaro_winkler+semantic+sequence_match),0.7489
owns achievement,has achievement type,top3_avg(jaro_winkler+semantic+sequence_match),0.7435
plays game,plays game,hard_match,1.0
purchases game offering,purchase of item,top3_avg(jaro_winkler+semantic+sequence_match),0.7146
