prop_type,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
ObjectProperty,has license,has license,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,has version,has version,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,is developed by,developed by,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9487; levenshtein=0.8462; semantic=0.9364; sequence_match=0.9167,False,0.9339,True,selected
ObjectProperty,uses software,is used by software,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8611; levenshtein=0.6875; semantic=0.8561; sequence_match=0.7857,False,0.8343,True,selected
ObjectProperty,uses platform,is platform for,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8141; levenshtein=0.5385; semantic=0.8137; sequence_match=0.7200,False,0.7826,True,selected
ObjectProperty,is developed by,developed,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8974; levenshtein=0.6923; semantic=0.7936; sequence_match=0.8182,False,0.8364,False,gold already mapped to 'developed by'
ObjectProperty,has version,is version of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8424; levenshtein=0.6364; semantic=0.7646; sequence_match=0.7619,False,0.7896,False,gold already mapped to 'has version'
ObjectProperty,has license,is license of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8008; levenshtein=0.6364; semantic=0.7881; sequence_match=0.7619,False,0.7836,False,gold already mapped to 'has license'
ObjectProperty,uses platform,uses algorithm,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8805; levenshtein=0.4615; semantic=0.6325; sequence_match=0.6400,False,0.7177,False,gold already mapped to 'is platform for'
ObjectProperty,is software for,is used by software,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6981; levenshtein=0.4375; semantic=0.7568; sequence_match=0.6897,False,0.7148,False,pred already taken by 'uses software'
ObjectProperty,has output,has type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8296; levenshtein=0.4444; semantic=0.6270; sequence_match=0.6250,False,0.6939,False,top-3 avg score 0.6939 < final_threshold 0.7
ObjectProperty,has clause,has license,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8115; levenshtein=0.5000; semantic=0.6169; sequence_match=0.6316,False,0.6866,False,top-3 avg score 0.6866 < final_threshold 0.7
ObjectProperty,is alternative format of,is input format of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7808; levenshtein=0.5238; semantic=0.6623; sequence_match=0.6111,False,0.6847,False,top-3 avg score 0.6847 < final_threshold 0.7
ObjectProperty,is alternative format of,is output format of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6905; levenshtein=0.5714; semantic=0.7144; sequence_match=0.6486,False,0.6845,False,top-3 avg score 0.6845 < final_threshold 0.7
ObjectProperty,is software for,is platform for,jaro_winkler+semantic+levenshtein,jaro_winkler=0.8236; levenshtein=0.5385; semantic=0.6574; sequence_match=0.4615,False,0.6731,False,top-3 avg score 0.6731 < final_threshold 0.7
ObjectProperty,has interface,has license,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8464; levenshtein=0.4167; semantic=0.6034; sequence_match=0.5455,False,0.6651,False,top-3 avg score 0.6651 < final_threshold 0.7
ObjectProperty,has interface,has type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7972; levenshtein=0.4167; semantic=0.6583; sequence_match=0.5263,False,0.6606,False,top-3 avg score 0.6606 < final_threshold 0.7
ObjectProperty,has output,is output format of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7384; levenshtein=0.3750; semantic=0.6818; sequence_match=0.5600,False,0.6601,False,top-3 avg score 0.6601 < final_threshold 0.7
ObjectProperty,has license,has version,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7933; levenshtein=0.3000; semantic=0.6209; sequence_match=0.5000,False,0.6381,False,top-3 avg score 0.6381 < final_threshold 0.7
ObjectProperty,has version,has license,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7933; levenshtein=0.3000; semantic=0.6209; sequence_match=0.5000,False,0.6381,False,top-3 avg score 0.6381 < final_threshold 0.7
ObjectProperty,has input,is input format of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6611; levenshtein=0.3333; semantic=0.7176; sequence_match=0.5217,False,0.6335,False,top-3 avg score 0.6335 < final_threshold 0.7
ObjectProperty,has function,has version,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6596; levenshtein=0.5455; semantic=0.6556; sequence_match=0.5714,False,0.6289,False,top-3 avg score 0.6289 < final_threshold 0.7
ObjectProperty,has input,has license,jaro_winkler+sequence_match+semantic,jaro_winkler=0.7958; levenshtein=0.4000; semantic=0.5326; sequence_match=0.5556,False,0.628,False,top-3 avg score 0.6280 < final_threshold 0.7
ObjectProperty,uses software,uses algorithm,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6774; levenshtein=0.3077; semantic=0.7035; sequence_match=0.4800,False,0.6203,False,top-3 avg score 0.6203 < final_threshold 0.7
ObjectProperty,has output,supports output format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6140; levenshtein=0.3500; semantic=0.7494; sequence_match=0.4828,False,0.6154,False,top-3 avg score 0.6154 < final_threshold 0.7
ObjectProperty,has input,has type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6905; levenshtein=0.5000; semantic=0.6016; sequence_match=0.5333,False,0.6085,False,top-3 avg score 0.6085 < final_threshold 0.7
ObjectProperty,has clause,has type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6720; levenshtein=0.4444; semantic=0.6231; sequence_match=0.5000,False,0.5983,False,top-3 avg score 0.5983 < final_threshold 0.7
ObjectProperty,has format specification,has type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7970; levenshtein=0.2727; semantic=0.5494; sequence_match=0.4138,False,0.5867,False,top-3 avg score 0.5867 < final_threshold 0.7
ObjectProperty,has version,has type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6571; levenshtein=0.3000; semantic=0.6248; sequence_match=0.4706,False,0.5842,False,top-3 avg score 0.5842 < final_threshold 0.7
ObjectProperty,has input,has version,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6333; levenshtein=0.3000; semantic=0.5624; sequence_match=0.5556,False,0.5838,False,top-3 avg score 0.5838 < final_threshold 0.7
ObjectProperty,has function,has type,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6450; levenshtein=0.3636; semantic=0.6598; sequence_match=0.4444,False,0.5831,False,top-3 avg score 0.5831 < final_threshold 0.7
ObjectProperty,is alternative format of,is platform for,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6688; levenshtein=0.4762; semantic=0.4912; sequence_match=0.5882,False,0.5827,False,top-3 avg score 0.5827 < final_threshold 0.7
ObjectProperty,has format specification,has version,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6795; levenshtein=0.3636; semantic=0.5628; sequence_match=0.5000,False,0.5808,False,top-3 avg score 0.5808 < final_threshold 0.7
ObjectProperty,has input,supports input format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5775; levenshtein=0.3158; semantic=0.7169; sequence_match=0.4444,False,0.5796,False,top-3 avg score 0.5796 < final_threshold 0.7
ObjectProperty,has interface,has version,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6659; levenshtein=0.4167; semantic=0.6129; sequence_match=0.4545,False,0.5778,False,top-3 avg score 0.5778 < final_threshold 0.7
ObjectProperty,has license,has type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6571; levenshtein=0.4000; semantic=0.5975; sequence_match=0.4706,False,0.5751,False,top-3 avg score 0.5751 < final_threshold 0.7
ObjectProperty,has format specification,is output format of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5777; levenshtein=0.3182; semantic=0.7237; sequence_match=0.4211,False,0.5741,False,top-3 avg score 0.5741 < final_threshold 0.7
ObjectProperty,has format specification,is input format of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5929; levenshtein=0.2273; semantic=0.6703; sequence_match=0.4324,False,0.5652,False,top-3 avg score 0.5652 < final_threshold 0.7
ObjectProperty,has format specification,supports input format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6146; levenshtein=0.2273; semantic=0.7239; sequence_match=0.3415,False,0.56,False,top-3 avg score 0.5600 < final_threshold 0.7
ObjectProperty,has clause,has version,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6185; levenshtein=0.3000; semantic=0.6198; sequence_match=0.4211,False,0.5531,False,top-3 avg score 0.5531 < final_threshold 0.7
ObjectProperty,is alternative format of,is version of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6378; levenshtein=0.3810; semantic=0.5785; sequence_match=0.4375,False,0.5513,False,top-3 avg score 0.5513 < final_threshold 0.7
ObjectProperty,has function,has license,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6596; levenshtein=0.3636; semantic=0.6131; sequence_match=0.3810,False,0.5512,False,top-3 avg score 0.5512 < final_threshold 0.7
ObjectProperty,is software for,is output format of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6775; levenshtein=0.3125; semantic=0.4894; sequence_match=0.4828,False,0.5499,False,top-3 avg score 0.5499 < final_threshold 0.7
ObjectProperty,has specified data output,supports output format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5763; levenshtein=0.1818; semantic=0.6831; sequence_match=0.3810,False,0.5468,False,top-3 avg score 0.5468 < final_threshold 0.7
ObjectProperty,implements,is license of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6596; levenshtein=0.2727; semantic=0.4774; sequence_match=0.4762,False,0.5377,False,top-3 avg score 0.5377 < final_threshold 0.7
ObjectProperty,has format specification,supports output format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5182; levenshtein=0.1818; semantic=0.7612; sequence_match=0.3333,False,0.5376,False,top-3 avg score 0.5376 < final_threshold 0.7
ObjectProperty,uses platform,is used by software,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6227; levenshtein=0.3125; semantic=0.5551; sequence_match=0.4286,False,0.5355,False,top-3 avg score 0.5355 < final_threshold 0.7
ObjectProperty,is alternative format of,supports input format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6232; levenshtein=0.3333; semantic=0.5776; sequence_match=0.4000,False,0.5336,False,top-3 avg score 0.5336 < final_threshold 0.7
ObjectProperty,has output,supports input format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6202; levenshtein=0.2632; semantic=0.5494; sequence_match=0.4286,False,0.5327,False,top-3 avg score 0.5327 < final_threshold 0.7
ObjectProperty,is encoded in,is version of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6414; levenshtein=0.1818; semantic=0.5018; sequence_match=0.4545,False,0.5326,False,top-3 avg score 0.5326 < final_threshold 0.7
ObjectProperty,has specified data input,supports input format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5494; levenshtein=0.1905; semantic=0.6973; sequence_match=0.3500,False,0.5322,False,top-3 avg score 0.5322 < final_threshold 0.7
ObjectProperty,uses platform,supports input format,jaro_winkler+sequence_match+semantic,jaro_winkler=0.5931; levenshtein=0.3684; semantic=0.4833; sequence_match=0.5161,False,0.5308,False,top-3 avg score 0.5308 < final_threshold 0.7
ObjectProperty,is software for,is version of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6297; levenshtein=0.2308; semantic=0.5443; sequence_match=0.4167,False,0.5302,False,top-3 avg score 0.5302 < final_threshold 0.7
ObjectProperty,implements,has license,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6222; levenshtein=0.3000; semantic=0.5676; sequence_match=0.4000,False,0.53,False,top-3 avg score 0.5300 < final_threshold 0.7
ObjectProperty,is alternative format of,is license of,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6748; levenshtein=0.3333; semantic=0.4141; sequence_match=0.5000,False,0.5296,False,top-3 avg score 0.5296 < final_threshold 0.7
ObjectProperty,has output,has version,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5444; levenshtein=0.3000; semantic=0.6060; sequence_match=0.4211,False,0.5238,False,top-3 avg score 0.5238 < final_threshold 0.7
ObjectProperty,is encoded in,is license of,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6623; levenshtein=0.2727; semantic=0.4537; sequence_match=0.4545,False,0.5235,False,top-3 avg score 0.5235 < final_threshold 0.7
ObjectProperty,uses software,is version of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6237; levenshtein=0.1667; semantic=0.5077; sequence_match=0.4348,False,0.5221,False,top-3 avg score 0.5221 < final_threshold 0.7
ObjectProperty,is alternative format of,is type of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6230; levenshtein=0.2857; semantic=0.5286; sequence_match=0.4138,False,0.5218,False,top-3 avg score 0.5218 < final_threshold 0.7
ObjectProperty,has specified data input,has type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6508; levenshtein=0.2381; semantic=0.5547; sequence_match=0.3571,False,0.5209,False,top-3 avg score 0.5209 < final_threshold 0.7
ObjectProperty,is alternative format of,supports output format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5398; levenshtein=0.3333; semantic=0.5782; sequence_match=0.4390,False,0.519,False,top-3 avg score 0.5190 < final_threshold 0.7
ObjectProperty,has version,runs on,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6000; levenshtein=0.3000; semantic=0.5731; sequence_match=0.3750,False,0.516,False,top-3 avg score 0.5160 < final_threshold 0.7
ObjectProperty,has specified data output,has type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6472; levenshtein=0.2273; semantic=0.5555; sequence_match=0.3448,False,0.5158,False,top-3 avg score 0.5158 < final_threshold 0.7
ObjectProperty,is software for,is input format of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6530; levenshtein=0.3333; semantic=0.4598; sequence_match=0.4286,False,0.5138,False,top-3 avg score 0.5138 < final_threshold 0.7
ObjectProperty,has interface,is type of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6139; levenshtein=0.2500; semantic=0.5273; sequence_match=0.4000,False,0.5137,False,top-3 avg score 0.5137 < final_threshold 0.7
ObjectProperty,uses platform,supports output format,jaro_winkler+sequence_match+semantic,jaro_winkler=0.5852; levenshtein=0.3500; semantic=0.4556; sequence_match=0.5000,False,0.5136,False,top-3 avg score 0.5136 < final_threshold 0.7
ObjectProperty,has specified data input,has version,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6302; levenshtein=0.2857; semantic=0.5230; sequence_match=0.3871,False,0.5134,False,top-3 avg score 0.5134 < final_threshold 0.7
ObjectProperty,has specified data input,is input format of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5131; levenshtein=0.1905; semantic=0.6891; sequence_match=0.3333,False,0.5118,False,top-3 avg score 0.5118 < final_threshold 0.7
ObjectProperty,has specified data output,has version,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6251; levenshtein=0.2727; semantic=0.5316; sequence_match=0.3750,False,0.5106,False,top-3 avg score 0.5106 < final_threshold 0.7
ObjectProperty,has interface,is input format of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5881; levenshtein=0.3333; semantic=0.4981; sequence_match=0.4444,False,0.5102,False,top-3 avg score 0.5102 < final_threshold 0.7
ObjectProperty,has function,runs on,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4798; levenshtein=0.3636; semantic=0.5792; sequence_match=0.4706,False,0.5099,False,top-3 avg score 0.5099 < final_threshold 0.7
ObjectProperty,uses platform,is output format of,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6227; levenshtein=0.3750; semantic=0.4068; sequence_match=0.5000,False,0.5098,False,top-3 avg score 0.5098 < final_threshold 0.7
ObjectProperty,is developed by,is license of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6134; levenshtein=0.3077; semantic=0.4944; sequence_match=0.4167,False,0.5082,False,top-3 avg score 0.5082 < final_threshold 0.7
ObjectProperty,has declared status,has version,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6510; levenshtein=0.3529; semantic=0.4203; sequence_match=0.4444,False,0.5053,False,top-3 avg score 0.5053 < final_threshold 0.7
ObjectProperty,is software for,is type of,jaro_winkler+semantic+levenshtein,jaro_winkler=0.6261; levenshtein=0.3846; semantic=0.5001; sequence_match=0.3810,False,0.5036,False,top-3 avg score 0.5036 < final_threshold 0.7
ObjectProperty,is encoded in,is type of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6212; levenshtein=0.2727; semantic=0.4602; sequence_match=0.4211,False,0.5008,False,top-3 avg score 0.5008 < final_threshold 0.7
ObjectProperty,uses platform,runs on,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5833; levenshtein=0.1667; semantic=0.5839; sequence_match=0.3333,False,0.5002,False,top-3 avg score 0.5002 < final_threshold 0.7
ObjectProperty,uses platform,is input format of,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6352; levenshtein=0.4000; semantic=0.4192; sequence_match=0.4444,False,0.4996,False,top-3 avg score 0.4996 < final_threshold 0.7
ObjectProperty,has specified data output,is output format of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4962; levenshtein=0.1818; semantic=0.6338; sequence_match=0.3684,False,0.4995,False,top-3 avg score 0.4995 < final_threshold 0.7
ObjectProperty,is developed by,is used by software,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5801; levenshtein=0.2500; semantic=0.5039; sequence_match=0.4138,False,0.4993,False,top-3 avg score 0.4993 < final_threshold 0.7
ObjectProperty,has interface,supports input format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5553; levenshtein=0.2632; semantic=0.5528; sequence_match=0.3871,False,0.4984,False,top-3 avg score 0.4984 < final_threshold 0.7
ObjectProperty,is software for,is license of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5579; levenshtein=0.3077; semantic=0.5157; sequence_match=0.4167,False,0.4968,False,top-3 avg score 0.4968 < final_threshold 0.7
ObjectProperty,has declared status,has license,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6735; levenshtein=0.3529; semantic=0.4450; sequence_match=0.3704,False,0.4963,False,top-3 avg score 0.4963 < final_threshold 0.7
ObjectProperty,uses software,runs on,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5833; levenshtein=0.1667; semantic=0.5621; sequence_match=0.3333,False,0.4929,False,top-3 avg score 0.4929 < final_threshold 0.7
