Gold_term,Pre_term,Method,Score
consequence,isconsequenceof,top3_avg(jaro_winkler+sequence_match+semantic),0.8413
failure,fails,top3_avg(semantic+jaro_winkler+sequence_match),0.8197
hasaction,hasrole,top3_avg(semantic+jaro_winkler+sequence_match),0.6261
hasconstraint,hasconstraint,hard_match,1.0000
hasduty,hasduty,hard_match,1.0000
hasoperator,hasoperator,hard_match,1.0000
haspermission,haspermission,hard_match,1.0000
hasprohibition,haspermissionduty,top3_avg(jaro_winkler+semantic+sequence_match),0.6953
inheritsfrom,inheritsfrom,hard_match,1.0000
operand,usesoperator,top3_avg(semantic+jaro_winkler+sequence_match),0.6282
partof,ispartof,top3_avg(jaro_winkler+sequence_match+semantic),0.8684
remedy,isremedyfor,top3_avg(jaro_winkler+semantic+sequence_match),0.8003
scope,isoftype,top3_avg(jaro_winkler+sequence_match+semantic),0.6559
