gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
RedWine,Red Wine,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
Vintage,Vintage,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
WhiteWine,White Wine,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
Zinfandel,Zinfandel,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
wine,Wine,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
Bordeaux,Bordeaux Wine,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9333; levenshtein=0.6667; semantic=0.8442; sequence_match=0.8000,False,0.8592,True,selected
VintageYear,Vintage Quality,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8700; levenshtein=0.5714; semantic=0.8249; sequence_match=0.6400,False,0.7783,True,selected
Region,Wine Region,semantic+sequence_match+jaro_winkler,jaro_winkler=0.7000; levenshtein=0.6000; semantic=0.8215; sequence_match=0.7500,False,0.7572,True,selected
RedBordeaux,Bordeaux Grape,semantic+jaro_winkler+sequence_match,jaro_winkler=0.7261; levenshtein=0.3846; semantic=0.7652; sequence_match=0.6667,False,0.7193,True,selected
WineGrape,Grape,semantic+sequence_match+levenshtein,jaro_winkler=0.4370; levenshtein=0.5556; semantic=0.8778; sequence_match=0.7143,False,0.7159,True,selected
WineTaste,Wine Characteristic,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8556; levenshtein=0.3889; semantic=0.7669; sequence_match=0.5185,False,0.7137,True,selected
WineBody,Body,semantic+sequence_match+levenshtein,jaro_winkler=0.0000; levenshtein=0.5000; semantic=0.8012; sequence_match=0.6667,False,0.656,True,selected
WineSugar,Wine Vintage Quality,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6746; levenshtein=0.3333; semantic=0.6995; sequence_match=0.4444,False,0.6062,True,selected
VintageYear,Vintage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9273; levenshtein=0.6364; semantic=0.8946; sequence_match=0.7778,False,0.8665,False,pred already taken by 'Vintage' (higher averaged score)
Vintage,Good Vintage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8788; levenshtein=0.6364; semantic=0.8444; sequence_match=0.7778,False,0.8337,False,gold already mapped to 'Vintage'
Vintage,Poor Vintage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8788; levenshtein=0.6364; semantic=0.8402; sequence_match=0.7778,False,0.8322,False,gold already mapped to 'Vintage'
Vintage,Vintage Quality,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9000; levenshtein=0.5000; semantic=0.8872; sequence_match=0.6667,False,0.818,False,gold already mapped to 'Vintage'
Bordeaux,Bordeaux Grape,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9231; levenshtein=0.6154; semantic=0.7685; sequence_match=0.7619,False,0.8178,False,gold already mapped to 'Bordeaux Wine'
Zinfandel,Napa Zinfandel,semantic+sequence_match+jaro_winkler,jaro_winkler=0.7863; levenshtein=0.6923; semantic=0.8325; sequence_match=0.8182,False,0.8123,False,gold already mapped to 'Zinfandel'
WineBody,Wine,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9000; levenshtein=0.5000; semantic=0.8164; sequence_match=0.6667,False,0.7943,False,pred already taken by 'wine' (higher averaged score)
WineGrape,Wine,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8889; levenshtein=0.4444; semantic=0.8744; sequence_match=0.6154,False,0.7929,False,pred already taken by 'wine' (higher averaged score)
WineTaste,Wine,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8889; levenshtein=0.4444; semantic=0.8459; sequence_match=0.6154,False,0.7834,False,pred already taken by 'wine' (higher averaged score)
WineSugar,Wine,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8889; levenshtein=0.4444; semantic=0.7925; sequence_match=0.6154,False,0.7656,False,pred already taken by 'wine' (higher averaged score)
WineColor,Wine,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8889; levenshtein=0.4444; semantic=0.7918; sequence_match=0.6154,False,0.7654,False,pred already taken by 'wine' (higher averaged score)
WineFlavor,Wine,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8800; levenshtein=0.4000; semantic=0.7979; sequence_match=0.5714,False,0.7498,False,pred already taken by 'wine' (higher averaged score)
RedWine,Bordeaux Wine,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8135; levenshtein=0.5000; semantic=0.7914; sequence_match=0.6316,False,0.7455,False,gold already mapped to 'Red Wine'
VintageYear,Poor Vintage,semantic+jaro_winkler+sequence_match,jaro_winkler=0.7576; levenshtein=0.2727; semantic=0.8375; sequence_match=0.6364,False,0.7438,False,gold already mapped to 'Vintage Quality'
wine,Wine Region,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8800; levenshtein=0.4000; semantic=0.7772; sequence_match=0.5714,False,0.7429,False,gold already mapped to 'Wine'
WhiteBordeaux,White Wine,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8256; levenshtein=0.4615; semantic=0.8189; sequence_match=0.5455,False,0.73,False,pred already taken by 'WhiteWine' (higher averaged score)
VintageYear,Good Vintage,semantic+jaro_winkler+sequence_match,jaro_winkler=0.7576; levenshtein=0.2727; semantic=0.7923; sequence_match=0.6364,False,0.7287,False,gold already mapped to 'Vintage Quality'
RedBordeaux,Bordeaux Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.7079; levenshtein=0.4167; semantic=0.7635; sequence_match=0.6957,False,0.7223,False,pred already taken by 'Bordeaux' (higher averaged score)
RedWine,Wine,semantic+sequence_match+levenshtein,jaro_winkler=0.4643; levenshtein=0.5714; semantic=0.8511; sequence_match=0.7273,False,0.7166,False,gold already mapped to 'Red Wine'
wine,Red Wine,semantic+sequence_match+levenshtein,jaro_winkler=0.4643; levenshtein=0.5714; semantic=0.8511; sequence_match=0.7273,False,0.7166,False,gold already mapped to 'Wine'
WineGrape,Wine Region,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8670; levenshtein=0.4000; semantic=0.7423; sequence_match=0.5263,False,0.7119,False,gold already mapped to 'Grape'
WineTaste,Wine Vintage Quality,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8333; levenshtein=0.3889; semantic=0.7763; sequence_match=0.5185,False,0.7094,False,gold already mapped to 'Wine Characteristic'
WhiteWine,Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6944; levenshtein=0.4444; semantic=0.7946; sequence_match=0.6154,False,0.7015,False,gold already mapped to 'White Wine'
wine,White Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6944; levenshtein=0.4444; semantic=0.7946; sequence_match=0.6154,False,0.7015,False,gold already mapped to 'Wine'
WineBody,Wine Region,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8250; levenshtein=0.4000; semantic=0.6699; sequence_match=0.5556,False,0.6835,False,pred already taken by 'Region' (higher averaged score)
RedWine,White Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6899; levenshtein=0.4444; semantic=0.7269; sequence_match=0.6250,False,0.6806,False,gold already mapped to 'Red Wine'
WhiteWine,Red Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6899; levenshtein=0.4444; semantic=0.7269; sequence_match=0.6250,False,0.6806,False,gold already mapped to 'White Wine'
WhiteBordeaux,Bordeaux Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6660; levenshtein=0.3077; semantic=0.7341; sequence_match=0.6400,False,0.68,False,pred already taken by 'Bordeaux' (higher averaged score)
WineColor,Wine Region,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8200; levenshtein=0.5000; semantic=0.6874; sequence_match=0.5263,False,0.6779,False,pred already taken by 'Region' (higher averaged score)
WineDescriptor,Wine Region,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8493; levenshtein=0.5000; semantic=0.5955; sequence_match=0.5833,False,0.676,False,pred already taken by 'Region' (higher averaged score)
wine,Wine Vintage Quality,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8444; levenshtein=0.2222; semantic=0.8020; sequence_match=0.3636,False,0.67,False,gold already mapped to 'Wine'
WineDescriptor,Wine,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8571; levenshtein=0.2857; semantic=0.7084; sequence_match=0.4444,False,0.67,False,pred already taken by 'wine' (higher averaged score)
WhiteBordeaux,Bordeaux Grape,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6467; levenshtein=0.2308; semantic=0.7436; sequence_match=0.6154,False,0.6686,False,pred already taken by 'RedBordeaux' (higher averaged score)
WineDescriptor,Wine Characteristic,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8248; levenshtein=0.4444; semantic=0.6771; sequence_match=0.5000,False,0.6673,False,pred already taken by 'WineTaste' (higher averaged score)
