prop_type,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
ObjectProperty,hasVintageYear,has vintage characteristic,semantic+jaro_winkler+sequence_match,jaro_winkler=0.8787; levenshtein=0.5000; semantic=0.8886; sequence_match=0.6316,False,0.7996,True,selected
ObjectProperty,hasVintageYear,evaluates vintage,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6729; levenshtein=0.3125; semantic=0.8181; sequence_match=0.6000,False,0.697,False,top-3 avg score 0.6970 < final_threshold 0.7
ObjectProperty,hasFlavor,has variety,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7900; levenshtein=0.3000; semantic=0.6660; sequence_match=0.5263,False,0.6608,False,top-3 avg score 0.6608 < final_threshold 0.7
ObjectProperty,hasVintageYear,has variety,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8641; levenshtein=0.4286; semantic=0.6116; sequence_match=0.5000,False,0.6586,False,top-3 avg score 0.6586 < final_threshold 0.7
ObjectProperty,hasSugar,has variety,jaro_winkler+sequence_match+semantic,jaro_winkler=0.7958; levenshtein=0.3000; semantic=0.5531; sequence_match=0.5556,False,0.6348,False,top-3 avg score 0.6348 < final_threshold 0.7
ObjectProperty,hasWineDescriptor,has vintage characteristic,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6919; levenshtein=0.4167; semantic=0.6064; sequence_match=0.4878,False,0.5954,False,top-3 avg score 0.5954 < final_threshold 0.7
ObjectProperty,hasBody,has variety,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6571; levenshtein=0.4000; semantic=0.6539; sequence_match=0.4706,False,0.5939,False,top-3 avg score 0.5939 < final_threshold 0.7
ObjectProperty,hasColor,has variety,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6333; levenshtein=0.3000; semantic=0.6704; sequence_match=0.4444,False,0.5827,False,top-3 avg score 0.5827 < final_threshold 0.7
ObjectProperty,hasSugar,has quality rating,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7958; levenshtein=0.3125; semantic=0.5063; sequence_match=0.4167,False,0.5729,False,top-3 avg score 0.5729 < final_threshold 0.7
ObjectProperty,hasBody,has region,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6720; levenshtein=0.3333; semantic=0.5200; sequence_match=0.5000,False,0.564,False,top-3 avg score 0.5640 < final_threshold 0.7
ObjectProperty,hasVintageYear,has quality rating,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6798; levenshtein=0.2500; semantic=0.6088; sequence_match=0.4000,False,0.5628,False,top-3 avg score 0.5628 < final_threshold 0.7
ObjectProperty,hasColor,has characteristic,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6397; levenshtein=0.2941; semantic=0.6426; sequence_match=0.4000,False,0.5608,False,top-3 avg score 0.5608 < final_threshold 0.7
ObjectProperty,hasColor,has region,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6481; levenshtein=0.4444; semantic=0.5486; sequence_match=0.4706,False,0.5558,False,top-3 avg score 0.5558 < final_threshold 0.7
ObjectProperty,hasColor,has quality rating,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6458; levenshtein=0.3125; semantic=0.5929; sequence_match=0.4167,False,0.5518,False,top-3 avg score 0.5518 < final_threshold 0.7
ObjectProperty,hasFlavor,has characteristic,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6166; levenshtein=0.2941; semantic=0.6483; sequence_match=0.3846,False,0.5498,False,top-3 avg score 0.5498 < final_threshold 0.7
ObjectProperty,hasVintageYear,has region,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6640; levenshtein=0.2857; semantic=0.5067; sequence_match=0.4348,False,0.5352,False,top-3 avg score 0.5352 < final_threshold 0.7
ObjectProperty,hasFlavor,has quality rating,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6250; levenshtein=0.3125; semantic=0.5799; sequence_match=0.4000,False,0.535,False,top-3 avg score 0.5350 < final_threshold 0.7
ObjectProperty,hasWineDescriptor,is instance of wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6044; levenshtein=0.1765; semantic=0.6889; sequence_match=0.3030,False,0.5321,False,top-3 avg score 0.5321 < final_threshold 0.7
ObjectProperty,hasVintageYear,is instance of wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5506; levenshtein=0.2500; semantic=0.5610; sequence_match=0.4667,False,0.5261,False,top-3 avg score 0.5261 < final_threshold 0.7
ObjectProperty,hasWineDescriptor,has characteristic,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6255; levenshtein=0.3529; semantic=0.5353; sequence_match=0.4118,False,0.5242,False,top-3 avg score 0.5242 < final_threshold 0.7
ObjectProperty,hasFlavor,has region,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6296; levenshtein=0.4444; semantic=0.4978; sequence_match=0.4444,False,0.524,False,top-3 avg score 0.5240 < final_threshold 0.7
ObjectProperty,hasSugar,has region,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.6481; levenshtein=0.4444; semantic=0.4192; sequence_match=0.4706,False,0.5211,False,top-3 avg score 0.5211 < final_threshold 0.7
ObjectProperty,hasWineDescriptor,has variety,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6563; levenshtein=0.3529; semantic=0.4623; sequence_match=0.4444,False,0.521,False,top-3 avg score 0.5210 < final_threshold 0.7
ObjectProperty,hasSugar,has characteristic,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6397; levenshtein=0.2941; semantic=0.5188; sequence_match=0.4000,False,0.5195,False,top-3 avg score 0.5195 < final_threshold 0.7
ObjectProperty,locatedIn,evaluates vintage,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6250; levenshtein=0.3125; semantic=0.4515; sequence_match=0.4800,False,0.5188,False,top-3 avg score 0.5188 < final_threshold 0.7
ObjectProperty,hasBody,has quality rating,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6071; levenshtein=0.2500; semantic=0.5935; sequence_match=0.3478,False,0.5162,False,top-3 avg score 0.5162 < final_threshold 0.7
ObjectProperty,hasColor,has vintage characteristic,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6111; levenshtein=0.2083; semantic=0.6145; sequence_match=0.3125,False,0.5127,False,top-3 avg score 0.5127 < final_threshold 0.7
ObjectProperty,hasVintageYear,has characteristic,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5973; levenshtein=0.2941; semantic=0.5839; sequence_match=0.3226,False,0.5013,False,top-3 avg score 0.5013 < final_threshold 0.7
ObjectProperty,hasSugar,has vintage characteristic,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6111; levenshtein=0.2500; semantic=0.5068; sequence_match=0.3750,False,0.4976,False,top-3 avg score 0.4976 < final_threshold 0.7
ObjectProperty,hasFlavor,has vintage characteristic,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5833; levenshtein=0.2083; semantic=0.6063; sequence_match=0.3030,False,0.4976,False,top-3 avg score 0.4976 < final_threshold 0.7
ObjectProperty,hasBody,has characteristic,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5350; levenshtein=0.1765; semantic=0.6439; sequence_match=0.2500,False,0.4763,False,top-3 avg score 0.4763 < final_threshold 0.7
ObjectProperty,hasWineDescriptor,has region,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6176; levenshtein=0.3529; semantic=0.4234; sequence_match=0.3846,False,0.4752,False,top-3 avg score 0.4752 < final_threshold 0.7
ObjectProperty,locatedIn,has characteristic,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5499; levenshtein=0.2941; semantic=0.4808; sequence_match=0.3846,False,0.4718,False,top-3 avg score 0.4718 < final_threshold 0.7
ObjectProperty,locatedIn,has region,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6296; levenshtein=0.2222; semantic=0.5409; sequence_match=0.2222,False,0.4643,False,top-3 avg score 0.4643 < final_threshold 0.7
