prop_type,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
ObjectProperty,inheritFrom,inherits from,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.9833; levenshtein=0.9167; semantic=0.8897; sequence_match=0.9565,False,0.9522,True,selected
ObjectProperty,constraint,constrains,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.9600; levenshtein=0.9000; semantic=0.8376; sequence_match=0.9000,False,0.92,True,selected
ObjectProperty,operator,has operator,semantic+sequence_match+jaro_winkler,jaro_winkler=0.8258; levenshtein=0.7273; semantic=0.9131; sequence_match=0.8421,False,0.8603,True,selected
ObjectProperty,operand,has operand,semantic+sequence_match+jaro_winkler,jaro_winkler=0.8048; levenshtein=0.7000; semantic=0.9169; sequence_match=0.8235,False,0.8484,True,selected
ObjectProperty,failure,failed rule,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9114; levenshtein=0.6000; semantic=0.7525; sequence_match=0.7059,False,0.7899,True,selected
ObjectProperty,consequence,consequent duty,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8922; levenshtein=0.6429; semantic=0.7040; sequence_match=0.7200,False,0.7721,True,selected
ObjectProperty,permission,has permission type,semantic+jaro_winkler+sequence_match,jaro_winkler=0.7627; levenshtein=0.5882; semantic=0.7972; sequence_match=0.7407,False,0.7669,True,selected
ObjectProperty,prohibition,remedy for prohibition,semantic+sequence_match+jaro_winkler,jaro_winkler=0.6985; levenshtein=0.5500; semantic=0.7295; sequence_match=0.7097,False,0.7126,True,selected
ObjectProperty,duty,has duty type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7879; levenshtein=0.3636; semantic=0.7828; sequence_match=0.5333,False,0.7013,True,selected
ObjectProperty,constraint,has constraint,semantic+sequence_match+jaro_winkler,jaro_winkler=0.8231; levenshtein=0.7692; semantic=0.9340; sequence_match=0.8696,False,0.8755,False,gold already mapped to 'constrains'
ObjectProperty,operator,operator type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9333; levenshtein=0.6667; semantic=0.8304; sequence_match=0.8000,False,0.8546,False,gold already mapped to 'has operator'
ObjectProperty,operand,operand expression,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8824; levenshtein=0.4118; semantic=0.8813; sequence_match=0.5833,False,0.7823,False,gold already mapped to 'has operand'
ObjectProperty,constraint,has sub constraint,semantic+jaro_winkler+sequence_match,jaro_winkler=0.7750; levenshtein=0.6250; semantic=0.7989; sequence_match=0.7692,False,0.781,False,gold already mapped to 'constrains'
