prop_type,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
ObjectProperty,has property,monitors Property,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6824; levenshtein=0.5625; semantic=0.7470; sequence_match=0.6667,False,0.6987,False,top-3 avg score 0.6987 < final_threshold 0.7
ObjectProperty,has duration,has Indicator,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8003; levenshtein=0.5000; semantic=0.5626; sequence_match=0.6087,False,0.6572,False,top-3 avg score 0.6572 < final_threshold 0.7
ObjectProperty,has key performance indicator,has Indicator,semantic+sequence_match+jaro_winkler,jaro_winkler=0.5876; levenshtein=0.4615; semantic=0.7141; sequence_match=0.6316,False,0.6444,False,top-3 avg score 0.6444 < final_threshold 0.7
ObjectProperty,has period,has Tariff,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.7926; levenshtein=0.5556; semantic=0.5079; sequence_match=0.5556,False,0.6346,False,top-3 avg score 0.6346 < final_threshold 0.7
ObjectProperty,has duration,has Tariff,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8300; levenshtein=0.4545; semantic=0.4769; sequence_match=0.5000,False,0.6023,False,top-3 avg score 0.6023 < final_threshold 0.7
ObjectProperty,isKPIOf,is Tariff Of,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.6714; levenshtein=0.5000; semantic=0.4978; sequence_match=0.5882,False,0.5866,False,top-3 avg score 0.5866 < final_threshold 0.7
ObjectProperty,isKPIOf,is Indicator Of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6264; levenshtein=0.3846; semantic=0.5835; sequence_match=0.5000,False,0.57,False,top-3 avg score 0.5700 < final_threshold 0.7
ObjectProperty,has key performance indicator,is Indicator Of,semantic+sequence_match+jaro_winkler,jaro_winkler=0.4744; levenshtein=0.3077; semantic=0.6623; sequence_match=0.5128,False,0.5498,False,top-3 avg score 0.5498 < final_threshold 0.7
ObjectProperty,has period,has Indicator,jaro_winkler+semantic+levenshtein,jaro_winkler=0.6667; levenshtein=0.4167; semantic=0.5474; sequence_match=0.3810,False,0.5436,False,top-3 avg score 0.5436 < final_threshold 0.7
ObjectProperty,has duration,is Indicator Of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6773; levenshtein=0.3077; semantic=0.5147; sequence_match=0.4167,False,0.5362,False,top-3 avg score 0.5362 < final_threshold 0.7
ObjectProperty,hasGeometry,has Indicator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6263; levenshtein=0.3333; semantic=0.5308; sequence_match=0.4348,False,0.5306,False,top-3 avg score 0.5306 < final_threshold 0.7
ObjectProperty,has measurement,has Tariff,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6376; levenshtein=0.3571; semantic=0.5179; sequence_match=0.4348,False,0.5301,False,top-3 avg score 0.5301 < final_threshold 0.7
ObjectProperty,hasGeometry,has Tariff,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6027; levenshtein=0.2727; semantic=0.4708; sequence_match=0.5000,False,0.5245,False,top-3 avg score 0.5245 < final_threshold 0.7
ObjectProperty,has measurement,has Indicator,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5873; levenshtein=0.2143; semantic=0.5887; sequence_match=0.3846,False,0.5202,False,top-3 avg score 0.5202 < final_threshold 0.7
ObjectProperty,has property,has Tariff,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6027; levenshtein=0.2727; semantic=0.5435; sequence_match=0.4000,False,0.5154,False,top-3 avg score 0.5154 < final_threshold 0.7
ObjectProperty,has billing period,has Indicator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6389; levenshtein=0.3750; semantic=0.4726; sequence_match=0.4286,False,0.5133,False,top-3 avg score 0.5133 < final_threshold 0.7
ObjectProperty,has property,has Indicator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6263; levenshtein=0.3333; semantic=0.5553; sequence_match=0.3478,False,0.5098,False,top-3 avg score 0.5098 < final_threshold 0.7
