prop_type,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
ObjectProperty,has item,has Item,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,has playing area,has Playing Area,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,lives in,lives In,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,owns item,owns Item,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,plays game,plays Game,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,has achievement,has Achievement Type,jaro_winkler+sequence_match+semantic,jaro_winkler=0.9556; levenshtein=0.7778; semantic=0.7933; sequence_match=0.8750,False,0.8746,True,selected
ObjectProperty,has game genre,has Genre,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9083; levenshtein=0.6667; semantic=0.8370; sequence_match=0.8000,False,0.8484,True,selected
ObjectProperty,owns achievement,has Obtained Achievement,semantic+jaro_winkler+sequence_match,jaro_winkler=0.7375; levenshtein=0.5909; semantic=0.8419; sequence_match=0.7027,False,0.7607,True,selected
ObjectProperty,has achievement,has Obtained Achievement,semantic+jaro_winkler+sequence_match,jaro_winkler=0.8318; levenshtein=0.6364; semantic=0.9087; sequence_match=0.7778,False,0.8394,False,gold already mapped to 'has Achievement Type'
ObjectProperty,has achievement,has Available Achievement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8789; levenshtein=0.6087; semantic=0.8718; sequence_match=0.7568,False,0.8358,False,gold already mapped to 'has Achievement Type'
ObjectProperty,has item,owns Item,semantic+jaro_winkler+sequence_match,jaro_winkler=0.7798; levenshtein=0.6250; semantic=0.7878; sequence_match=0.6667,False,0.7448,False,gold already mapped to 'has Item'
ObjectProperty,owns item,has Item,semantic+jaro_winkler+sequence_match,jaro_winkler=0.7798; levenshtein=0.6250; semantic=0.7878; sequence_match=0.6667,False,0.7448,False,gold already mapped to 'owns Item'
ObjectProperty,owns achievement,has Achievement Type,jaro_winkler+sequence_match+semantic,jaro_winkler=0.7944; levenshtein=0.6111; semantic=0.7089; sequence_match=0.7273,False,0.7435,False,gold already mapped to 'has Obtained Achievement'
ObjectProperty,owns achievement,owns Item,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8683; levenshtein=0.4667; semantic=0.7030; sequence_match=0.6087,False,0.7267,False,gold already mapped to 'has Obtained Achievement'
ObjectProperty,owns character,owns Item,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8423; levenshtein=0.4615; semantic=0.7426; sequence_match=0.5714,False,0.7188,False,pred already taken by 'owns item'
ObjectProperty,plays game,last Played Game,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7328; levenshtein=0.5714; semantic=0.6996; sequence_match=0.6957,False,0.7094,False,gold already mapped to 'plays Game'
ObjectProperty,owns achievement,has Available Achievement,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6906; levenshtein=0.4783; semantic=0.7950; sequence_match=0.6316,False,0.7057,False,gold already mapped to 'has Obtained Achievement'
ObjectProperty,has feature,has Genre,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.8483; levenshtein=0.6000; semantic=0.5514; sequence_match=0.6667,False,0.705,False,pred already taken by 'has game genre'
ObjectProperty,is achievement in game,has Achievement Type,jaro_winkler+sequence_match+semantic,jaro_winkler=0.7509; levenshtein=0.6316; semantic=0.6515; sequence_match=0.7027,False,0.7017,False,pred already taken by 'has achievement'
ObjectProperty,has achievement,has Item,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8333; levenshtein=0.4286; semantic=0.6448; sequence_match=0.5714,False,0.6832,False,top-3 avg score 0.6832 < final_threshold 0.7
ObjectProperty,has item,has Friend,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8296; levenshtein=0.4444; semantic=0.5748; sequence_match=0.6250,False,0.6765,False,top-3 avg score 0.6765 < final_threshold 0.7
ObjectProperty,is achievement in game,has Obtained Achievement,semantic+jaro_winkler+sequence_match,jaro_winkler=0.7106; levenshtein=0.2727; semantic=0.7188; sequence_match=0.5854,False,0.6716,False,top-3 avg score 0.6716 < final_threshold 0.7
ObjectProperty,has item,has Equipped Item,semantic+sequence_match+jaro_winkler,jaro_winkler=0.6159; levenshtein=0.4667; semantic=0.7612; sequence_match=0.6364,False,0.6711,False,top-3 avg score 0.6711 < final_threshold 0.7
ObjectProperty,is achievement in game,has Available Achievement,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6805; levenshtein=0.3043; semantic=0.7466; sequence_match=0.5714,False,0.6662,False,top-3 avg score 0.6662 < final_threshold 0.7
ObjectProperty,has item,has Ability,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8167; levenshtein=0.4000; semantic=0.5931; sequence_match=0.5882,False,0.666,False,top-3 avg score 0.6660 < final_threshold 0.7
ObjectProperty,has character,has Item,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7972; levenshtein=0.4167; semantic=0.6592; sequence_match=0.5263,False,0.6609,False,top-3 avg score 0.6609 < final_threshold 0.7
ObjectProperty,has game genre,plays Game,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7222; levenshtein=0.3333; semantic=0.6653; sequence_match=0.5714,False,0.653,False,top-3 avg score 0.6530 < final_threshold 0.7
ObjectProperty,is character in game,usable In Game,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6487; levenshtein=0.5294; semantic=0.6666; sequence_match=0.6207,False,0.6453,False,top-3 avg score 0.6453 < final_threshold 0.7
ObjectProperty,has playing area,plays Game,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6951; levenshtein=0.5000; semantic=0.6305; sequence_match=0.6087,False,0.6448,False,top-3 avg score 0.6448 < final_threshold 0.7
ObjectProperty,plays game,has Playing Area,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6951; levenshtein=0.5000; semantic=0.6305; sequence_match=0.6087,False,0.6448,False,top-3 avg score 0.6448 < final_threshold 0.7
ObjectProperty,has feature,has Friend,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8200; levenshtein=0.4000; semantic=0.5878; sequence_match=0.5263,False,0.6447,False,top-3 avg score 0.6447 < final_threshold 0.7
ObjectProperty,is session in game,usable In Game,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6917; levenshtein=0.4667; semantic=0.5918; sequence_match=0.5926,False,0.6254,False,top-3 avg score 0.6254 < final_threshold 0.7
ObjectProperty,is friend with player,has Friend,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6270; levenshtein=0.3333; semantic=0.7202; sequence_match=0.5185,False,0.6219,False,top-3 avg score 0.6219 < final_threshold 0.7
ObjectProperty,has achievement,has Ability,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6762; levenshtein=0.3571; semantic=0.6892; sequence_match=0.5000,False,0.6218,False,top-3 avg score 0.6218 < final_threshold 0.7
ObjectProperty,has playing area,last Played Game,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.6508; levenshtein=0.5714; semantic=0.4858; sequence_match=0.6429,False,0.6217,False,top-3 avg score 0.6217 < final_threshold 0.7
ObjectProperty,has playing area,has Genre,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8208; levenshtein=0.4286; semantic=0.4903; sequence_match=0.5455,False,0.6189,False,top-3 avg score 0.6189 < final_threshold 0.7
ObjectProperty,has achievement,has Friend,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6984; levenshtein=0.4286; semantic=0.6360; sequence_match=0.5217,False,0.6187,False,top-3 avg score 0.6187 < final_threshold 0.7
ObjectProperty,has feature,has Ability,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6667; levenshtein=0.3000; semantic=0.6655; sequence_match=0.5000,False,0.6107,False,top-3 avg score 0.6107 < final_threshold 0.7
ObjectProperty,has item,has Genre,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6905; levenshtein=0.3750; semantic=0.6007; sequence_match=0.5333,False,0.6082,False,top-3 avg score 0.6082 < final_threshold 0.7
ObjectProperty,has item,has Achievement Type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8111; levenshtein=0.3333; semantic=0.5302; sequence_match=0.4800,False,0.6071,False,top-3 avg score 0.6071 < final_threshold 0.7
ObjectProperty,is leaderboard in game,usable In Game,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6804; levenshtein=0.4737; semantic=0.5396; sequence_match=0.5806,False,0.6002,False,top-3 avg score 0.6002 < final_threshold 0.7
ObjectProperty,is achievement in game,usable In Game,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5931; levenshtein=0.4737; semantic=0.6239; sequence_match=0.5806,False,0.5992,False,top-3 avg score 0.5992 < final_threshold 0.7
