Gold_term,Pre_term,Method,Score
release date,release Date,hard_match,1.0
username,has Username,top3_avg(jaro_winkler+semantic+sequence_match),0.8593
has achievement,has Achievement Type,top3_avg(jaro_winkler+semantic+sequence_match),0.8746
has game genre,has Genre,top3_avg(jaro_winkler+semantic+sequence_match),0.8484
has item,has Item,hard_match,1.0
has playing area,has Playing Area,hard_match,1.0
lives in,lives In,hard_match,1.0
owns achievement,has Obtained Achievement,top3_avg(jaro_winkler+semantic+sequence_match),0.7607
owns item,owns Item,hard_match,1.0
plays game,plays Game,hard_match,1.0
