PropertyType,GoldPredicate,PredPredicate,GoldPredicateNorm,PredPredicateNorm,GoldType,PredType,TypeVerdict,GoldDomain,PredDomain,GoldDomainNorm,PredDomainNorm,DomainStatus,GoldRange,PredRange,GoldRangeNorm,PredRangeNorm,RangeStatus,FullMatch,Note
DatatypeProperty,has documentation,documentation url,hasdocumentation,documentationurl,DatatypeProperty,DatatypeProperty,tp,,Help Resource,,helpresource,fp,xsd:string,xsd:anyuri,xsdstring,xsdanyuri,mismatch,NO,
DatatypeProperty,has release date,release date,hasreleasedate,releasedate,DatatypeProperty,DatatypeProperty,tp,,Tool,,tool,fp,xsd:string,xsd:date,xsdstring,xsddate,mismatch,NO,
DatatypeProperty,has website homepage,has homepage,haswebsitehomepage,hashomepage,DatatypeProperty,DatatypeProperty,tp,,Tool,,tool,fp,xsd:http://www.w3.org/2000/01/rdf-schema#literal,xsd:anyuri,literal,xsdanyuri,mismatch,NO,
ObjectProperty,has format specification,has format type,hasformatspecification,hasformattype,ObjectProperty,ObjectProperty,tp,data item,Data Format,dataitem,dataformat,mismatch,data format specification,Data Format Type,dataformatspecification,dataformattype,tp,NO,
ObjectProperty,has input,has input format,hasinput,hasinputformat,ObjectProperty,ObjectProperty,tp,,Tool,,tool,fp,,Data Format,,dataformat,fp,NO,
ObjectProperty,has license,has license type,haslicense,haslicensetype,ObjectProperty,ObjectProperty,tp,,Tool,,tool,fp,,Software License Type,,softwarelicensetype,fp,NO,
ObjectProperty,has output,has output format,hasoutput,hasoutputformat,ObjectProperty,ObjectProperty,tp,,Tool,,tool,fp,,Data Format,,dataformat,fp,NO,
ObjectProperty,has version,version of,hasversion,versionof,ObjectProperty,ObjectProperty,tp,,Version Feature,,versionfeature,fp,version number,Tool,versionnumber,tool,mismatch,NO,
ObjectProperty,is developed by,developed by,isdevelopedby,developedby,ObjectProperty,ObjectProperty,tp,,Tool,,tool,fp,,Developer,,developer,fp,NO,
ObjectProperty,uses platform,uses algorithm,usesplatform,usesalgorithm,ObjectProperty,ObjectProperty,tp,,Tool,,tool,fp,,Algorithm,,algorithm,fp,NO,
ObjectProperty,uses software,has software type,usessoftware,hassoftwaretype,ObjectProperty,ObjectProperty,tp,SWO_0000001,Tool,swo0000001,tool,mismatch,SWO_0000001,Software Type,swo0000001,softwaretype,mismatch,NO,
