prop_type,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
ObjectProperty,constraint,has constraint,semantic+sequence_match+jaro_winkler,jaro_winkler=0.8231; levenshtein=0.7692; semantic=0.9340; sequence_match=0.8696,False,0.8755,True,selected
ObjectProperty,remedy,has remedy,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8889; levenshtein=0.6667; semantic=0.8339; sequence_match=0.8000,False,0.8409,True,selected
ObjectProperty,hasPolicy,has policy asset,jaro_winkler+sequence_match+semantic,jaro_winkler=0.9286; levenshtein=0.6429; semantic=0.7765; sequence_match=0.7826,False,0.8292,True,selected
ObjectProperty,consequence,has consequence duty,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8098; levenshtein=0.6111; semantic=0.7758; sequence_match=0.7586,False,0.7814,True,selected
ObjectProperty,prohibition,has prohibition constraint,semantic+jaro_winkler+sequence_match,jaro_winkler=0.7588; levenshtein=0.4583; semantic=0.8379; sequence_match=0.6286,False,0.7418,True,selected
ObjectProperty,constraint,contains,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.8950; levenshtein=0.7000; semantic=0.5921; sequence_match=0.7778,False,0.7909,False,gold already mapped to 'has constraint'
ObjectProperty,constraint,has sub-constraint,semantic+jaro_winkler+sequence_match,jaro_winkler=0.7750; levenshtein=0.6250; semantic=0.7989; sequence_match=0.7692,False,0.781,False,gold already mapped to 'has constraint'
ObjectProperty,constraint,has condition constraint,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6586; levenshtein=0.4545; semantic=0.8236; sequence_match=0.6250,False,0.7024,False,gold already mapped to 'has constraint'
ObjectProperty,assignee,has grantee,jaro_winkler+sequence_match+semantic,jaro_winkler=0.7833; levenshtein=0.5000; semantic=0.5999; sequence_match=0.6667,False,0.6833,False,top-3 avg score 0.6833 < final_threshold 0.7
ObjectProperty,constraint,has prohibition constraint,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6472; levenshtein=0.4167; semantic=0.8070; sequence_match=0.5882,False,0.6808,False,top-3 avg score 0.6808 < final_threshold 0.7
ObjectProperty,assignee,has obligee,jaro_winkler+sequence_match+semantic,jaro_winkler=0.7833; levenshtein=0.5000; semantic=0.5901; sequence_match=0.6667,False,0.68,False,top-3 avg score 0.6800 < final_threshold 0.7
ObjectProperty,obligation,has obligor,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6571; levenshtein=0.3000; semantic=0.7714; sequence_match=0.6000,False,0.6762,False,top-3 avg score 0.6762 < final_threshold 0.7
ObjectProperty,duty,has duty asset,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7778; levenshtein=0.3333; semantic=0.7501; sequence_match=0.5000,False,0.676,False,top-3 avg score 0.6760 < final_threshold 0.7
ObjectProperty,hasPolicy,has obligor,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8289; levenshtein=0.5000; semantic=0.5432; sequence_match=0.6316,False,0.6679,False,top-3 avg score 0.6679 < final_threshold 0.7
ObjectProperty,hasPolicy,has obligee,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.8289; levenshtein=0.5000; semantic=0.4999; sequence_match=0.6316,False,0.6535,False,top-3 avg score 0.6535 < final_threshold 0.7
ObjectProperty,conflict,has conflict resolution strategy,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7586; levenshtein=0.2759; semantic=0.7470; sequence_match=0.4324,False,0.646,False,top-3 avg score 0.6460 < final_threshold 0.7
ObjectProperty,andSequence,has consequence duty,sequence_match+jaro_winkler+levenshtein,jaro_winkler=0.6882; levenshtein=0.5000; semantic=0.4687; sequence_match=0.6897,False,0.626,False,top-3 avg score 0.6260 < final_threshold 0.7
ObjectProperty,assigner,has grantee,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7278; levenshtein=0.4000; semantic=0.5579; sequence_match=0.5556,False,0.6138,False,top-3 avg score 0.6138 < final_threshold 0.7
ObjectProperty,obligation,has obligee,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5667; levenshtein=0.2000; semantic=0.7496; sequence_match=0.5000,False,0.6054,False,top-3 avg score 0.6054 < final_threshold 0.7
ObjectProperty,assigner,has obligee,jaro_winkler+sequence_match+semantic,jaro_winkler=0.7083; levenshtein=0.4000; semantic=0.5121; sequence_match=0.5556,False,0.592,False,top-3 avg score 0.5920 < final_threshold 0.7
ObjectProperty,assigner,has obligor,jaro_winkler+sequence_match+semantic,jaro_winkler=0.7083; levenshtein=0.4000; semantic=0.4945; sequence_match=0.5556,False,0.5861,False,top-3 avg score 0.5861 < final_threshold 0.7
ObjectProperty,operator,has grantor,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6417; levenshtein=0.5000; semantic=0.5408; sequence_match=0.5556,False,0.5793,False,top-3 avg score 0.5793 < final_threshold 0.7
ObjectProperty,assigner,has asset,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6667; levenshtein=0.2500; semantic=0.5490; sequence_match=0.5000,False,0.5719,False,top-3 avg score 0.5719 < final_threshold 0.7
ObjectProperty,assignee,has asset,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6667; levenshtein=0.2500; semantic=0.5462; sequence_match=0.5000,False,0.5709,False,top-3 avg score 0.5709 < final_threshold 0.7
ObjectProperty,assigner,has grantor,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6417; levenshtein=0.4000; semantic=0.5152; sequence_match=0.5556,False,0.5708,False,top-3 avg score 0.5708 < final_threshold 0.7
ObjectProperty,hasPolicy,has constraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6538; levenshtein=0.3846; semantic=0.5713; sequence_match=0.4545,False,0.5599,False,top-3 avg score 0.5599 < final_threshold 0.7
ObjectProperty,conflict,contains,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6667; levenshtein=0.5000; semantic=0.5126; sequence_match=0.5000,False,0.5598,False,top-3 avg score 0.5598 < final_threshold 0.7
ObjectProperty,partOf,has grantor,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6889; levenshtein=0.4000; semantic=0.4757; sequence_match=0.5000,False,0.5549,False,top-3 avg score 0.5549 < final_threshold 0.7
ObjectProperty,conflict,has constraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6032; levenshtein=0.3846; semantic=0.5657; sequence_match=0.4762,False,0.5484,False,top-3 avg score 0.5484 < final_threshold 0.7
ObjectProperty,hasPolicy,has prohibition constraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6898; levenshtein=0.2917; semantic=0.5293; sequence_match=0.4242,False,0.5478,False,top-3 avg score 0.5478 < final_threshold 0.7
ObjectProperty,obligation,has prohibition constraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6278; levenshtein=0.2083; semantic=0.5918; sequence_match=0.4118,False,0.5438,False,top-3 avg score 0.5438 < final_threshold 0.7
ObjectProperty,action,has constraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6726; levenshtein=0.3077; semantic=0.5357; sequence_match=0.4211,False,0.5431,False,top-3 avg score 0.5431 < final_threshold 0.7
ObjectProperty,hasPolicy,has remedy,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6296; levenshtein=0.4444; semantic=0.5470; sequence_match=0.4444,False,0.5404,False,top-3 avg score 0.5404 < final_threshold 0.7
ObjectProperty,hasPolicy,has conflict resolution strategy,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5778; levenshtein=0.2759; semantic=0.6160; sequence_match=0.4211,False,0.5383,False,top-3 avg score 0.5383 < final_threshold 0.7
ObjectProperty,assigner,has constraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6032; levenshtein=0.2308; semantic=0.5324; sequence_match=0.4762,False,0.5373,False,top-3 avg score 0.5373 < final_threshold 0.7
ObjectProperty,failure,is activated on failure of,semantic+sequence_match+jaro_winkler,jaro_winkler=0.4105; levenshtein=0.3182; semantic=0.7154; sequence_match=0.4828,False,0.5362,False,top-3 avg score 0.5362 < final_threshold 0.7
ObjectProperty,assignee,has grantor,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6333; levenshtein=0.3000; semantic=0.5274; sequence_match=0.4444,False,0.5351,False,top-3 avg score 0.5351 < final_threshold 0.7
ObjectProperty,constraint,has grantor,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5333; levenshtein=0.3000; semantic=0.5698; sequence_match=0.5000,False,0.5344,False,top-3 avg score 0.5344 < final_threshold 0.7
ObjectProperty,action,contains,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6861; levenshtein=0.2500; semantic=0.4868; sequence_match=0.4286,False,0.5338,False,top-3 avg score 0.5338 < final_threshold 0.7
ObjectProperty,constraint,has grantee,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5333; levenshtein=0.3000; semantic=0.5666; sequence_match=0.5000,False,0.5333,False,top-3 avg score 0.5333 < final_threshold 0.7
ObjectProperty,target,has asset,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6250; levenshtein=0.3750; semantic=0.5462; sequence_match=0.4286,False,0.5333,False,top-3 avg score 0.5333 < final_threshold 0.7
ObjectProperty,assignee,has obligor,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6333; levenshtein=0.3000; semantic=0.5178; sequence_match=0.4444,False,0.5318,False,top-3 avg score 0.5318 < final_threshold 0.7
ObjectProperty,action,is activated on failure of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6465; levenshtein=0.2727; semantic=0.5141; sequence_match=0.4286,False,0.5297,False,top-3 avg score 0.5297 < final_threshold 0.7
ObjectProperty,function,contains,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6833; levenshtein=0.2500; semantic=0.5172; sequence_match=0.3750,False,0.5252,False,top-3 avg score 0.5252 < final_threshold 0.7
ObjectProperty,action,has condition constraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6465; levenshtein=0.2727; semantic=0.4975; sequence_match=0.4286,False,0.5242,False,top-3 avg score 0.5242 < final_threshold 0.7
ObjectProperty,assignee,has consequence duty,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6389; levenshtein=0.2778; semantic=0.5440; sequence_match=0.3846,False,0.5225,False,top-3 avg score 0.5225 < final_threshold 0.7
ObjectProperty,hasPolicy,has grantor,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6148; levenshtein=0.3000; semantic=0.5274; sequence_match=0.4211,False,0.5211,False,top-3 avg score 0.5211 < final_threshold 0.7
ObjectProperty,conflict,has policy asset,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6607; levenshtein=0.2857; semantic=0.4459; sequence_match=0.4545,False,0.5204,False,top-3 avg score 0.5204 < final_threshold 0.7
ObjectProperty,hasPolicy,has consequence duty,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5444; levenshtein=0.3333; semantic=0.5709; sequence_match=0.4444,False,0.5199,False,top-3 avg score 0.5199 < final_threshold 0.7
ObjectProperty,permission,has prohibition constraint,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5861; levenshtein=0.2083; semantic=0.6144; sequence_match=0.3529,False,0.5178,False,top-3 avg score 0.5178 < final_threshold 0.7
ObjectProperty,assigner,has sub-constraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6458; levenshtein=0.3125; semantic=0.4850; sequence_match=0.4167,False,0.5158,False,top-3 avg score 0.5158 < final_threshold 0.7
ObjectProperty,duty,has consequence duty,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4352; levenshtein=0.2222; semantic=0.7481; sequence_match=0.3636,False,0.5157,False,top-3 avg score 0.5157 < final_threshold 0.7
ObjectProperty,relation,has grantor,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5750; levenshtein=0.2000; semantic=0.5176; sequence_match=0.4444,False,0.5123,False,top-3 avg score 0.5123 < final_threshold 0.7
ObjectProperty,conflict,has consequence duty,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5741; levenshtein=0.2778; semantic=0.5726; sequence_match=0.3846,False,0.5104,False,top-3 avg score 0.5104 < final_threshold 0.7
ObjectProperty,scope,has constraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6103; levenshtein=0.2308; semantic=0.5847; sequence_match=0.3333,False,0.5094,False,top-3 avg score 0.5094 < final_threshold 0.7
ObjectProperty,conflict,has condition constraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6187; levenshtein=0.2727; semantic=0.5089; sequence_match=0.4000,False,0.5092,False,top-3 avg score 0.5092 < final_threshold 0.7
ObjectProperty,constraint,has consequence duty,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6011; levenshtein=0.3333; semantic=0.5678; sequence_match=0.3571,False,0.5087,False,top-3 avg score 0.5087 < final_threshold 0.7
ObjectProperty,scope,has obligee,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6333; levenshtein=0.2000; semantic=0.4913; sequence_match=0.4000,False,0.5082,False,top-3 avg score 0.5082 < final_threshold 0.7
ObjectProperty,assignee,has remedy,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6481; levenshtein=0.2222; semantic=0.4042; sequence_match=0.4706,False,0.5076,False,top-3 avg score 0.5076 < final_threshold 0.7
ObjectProperty,scope,has consequence duty,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6741; levenshtein=0.2222; semantic=0.5007; sequence_match=0.3478,False,0.5075,False,top-3 avg score 0.5075 < final_threshold 0.7
ObjectProperty,assignee,has constraint,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5192; levenshtein=0.2308; semantic=0.5248; sequence_match=0.4762,False,0.5067,False,top-3 avg score 0.5067 < final_threshold 0.7
ObjectProperty,hasPolicy,has asset,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5694; levenshtein=0.3333; semantic=0.5976; sequence_match=0.3529,False,0.5067,False,top-3 avg score 0.5067 < final_threshold 0.7
ObjectProperty,target,has remedy,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6111; levenshtein=0.3333; semantic=0.5030; sequence_match=0.4000,False,0.5047,False,top-3 avg score 0.5047 < final_threshold 0.7
ObjectProperty,assignee,has duty asset,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5417; levenshtein=0.2500; semantic=0.5705; sequence_match=0.4000,False,0.5041,False,top-3 avg score 0.5041 < final_threshold 0.7
ObjectProperty,action,has consequence duty,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6296; levenshtein=0.1667; semantic=0.5447; sequence_match=0.3333,False,0.5025,False,top-3 avg score 0.5025 < final_threshold 0.7
ObjectProperty,consequence,contains,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6265; levenshtein=0.3636; semantic=0.4578; sequence_match=0.4211,False,0.5018,False,top-3 avg score 0.5018 < final_threshold 0.7
ObjectProperty,hasPolicy,has sub-constraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6250; levenshtein=0.3125; semantic=0.4752; sequence_match=0.4000,False,0.5001,False,top-3 avg score 0.5001 < final_threshold 0.7
ObjectProperty,hasPolicy,has duty asset,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5926; levenshtein=0.2500; semantic=0.5248; sequence_match=0.3810,False,0.4995,False,top-3 avg score 0.4995 < final_threshold 0.7
ObjectProperty,target,has obligee,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6000; levenshtein=0.3000; semantic=0.5222; sequence_match=0.3750,False,0.4991,False,top-3 avg score 0.4991 < final_threshold 0.7
ObjectProperty,constraint,has conflict resolution strategy,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6149; levenshtein=0.2759; semantic=0.4607; sequence_match=0.4103,False,0.4953,False,top-3 avg score 0.4953 < final_threshold 0.7
ObjectProperty,assignee,has sub-constraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5833; levenshtein=0.2500; semantic=0.4854; sequence_match=0.4167,False,0.4951,False,top-3 avg score 0.4951 < final_threshold 0.7
ObjectProperty,inheritRelation,has conflict resolution strategy,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6268; levenshtein=0.3103; semantic=0.4484; sequence_match=0.4091,False,0.4948,False,top-3 avg score 0.4948 < final_threshold 0.7
ObjectProperty,hasPolicy,has condition constraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5909; levenshtein=0.2727; semantic=0.5040; sequence_match=0.3871,False,0.494,False,top-3 avg score 0.4940 < final_threshold 0.7
