prop_type,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
ObjectProperty,permission,has Permission,semantic+sequence_match+jaro_winkler,jaro_winkler=0.8231; levenshtein=0.7692; semantic=0.9382; sequence_match=0.8696,False,0.877,True,selected
ObjectProperty,constraint,has Constraint,semantic+sequence_match+jaro_winkler,jaro_winkler=0.8231; levenshtein=0.7692; semantic=0.9340; sequence_match=0.8696,False,0.8755,True,selected
ObjectProperty,partOf,is Part Of,jaro_winkler+sequence_match+semantic,jaro_winkler=0.9167; levenshtein=0.7500; semantic=0.8422; sequence_match=0.8571,False,0.872,True,selected
ObjectProperty,duty,has Duty,semantic+sequence_match+levenshtein,jaro_winkler=0.0000; levenshtein=0.5714; semantic=0.8559; sequence_match=0.7273,False,0.7182,True,selected
ObjectProperty,hasPolicy,has Role,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8296; levenshtein=0.5556; semantic=0.6277; sequence_match=0.6250,False,0.6941,False,top-3 avg score 0.6941 < final_threshold 0.7
ObjectProperty,constraint,has Nested Constraint,semantic+sequence_match+jaro_winkler,jaro_winkler=0.5830; levenshtein=0.5263; semantic=0.7931; sequence_match=0.6897,False,0.6886,False,top-3 avg score 0.6886 < final_threshold 0.7
ObjectProperty,remedy,has Remediation,semantic+jaro_winkler+sequence_match,jaro_winkler=0.7302; levenshtein=0.3571; semantic=0.8187; sequence_match=0.5000,False,0.683,False,top-3 avg score 0.6830 < final_threshold 0.7
ObjectProperty,consequence,has Consequent Duty,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7085; levenshtein=0.5294; semantic=0.6757; sequence_match=0.6429,False,0.6757,False,top-3 avg score 0.6757 < final_threshold 0.7
ObjectProperty,leftOperand,has Logical Operand,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6076; levenshtein=0.4706; semantic=0.7949; sequence_match=0.5714,False,0.658,False,top-3 avg score 0.6580 < final_threshold 0.7
ObjectProperty,conflict,has Conflict Resolution Strategy,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7586; levenshtein=0.2759; semantic=0.7470; sequence_match=0.4324,False,0.646,False,top-3 avg score 0.6460 < final_threshold 0.7
ObjectProperty,operand,has Logical Operand,semantic+sequence_match+levenshtein,jaro_winkler=0.3011; levenshtein=0.4118; semantic=0.8527; sequence_match=0.5833,False,0.6159,False,top-3 avg score 0.6159 < final_threshold 0.7
