prop_type,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
ObjectProperty,eats,eats plant,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8889; levenshtein=0.4444; semantic=0.6737; sequence_match=0.6154,False,0.726,True,selected
ObjectProperty,eats,eats animal,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8800; levenshtein=0.4000; semantic=0.7076; sequence_match=0.5714,False,0.7197,False,gold already mapped to 'eats plant'
ObjectProperty,eats,eats plant part,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8615; levenshtein=0.3077; semantic=0.6562; sequence_match=0.4706,False,0.6628,False,top-3 avg score 0.6628 < final_threshold 0.7
ObjectProperty,has-part,eats plant,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.7566; levenshtein=0.5556; semantic=0.4526; sequence_match=0.6250,False,0.6457,False,top-3 avg score 0.6457 < final_threshold 0.7
ObjectProperty,eaten-by,eats animal,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6571; levenshtein=0.4000; semantic=0.7382; sequence_match=0.4706,False,0.622,False,top-3 avg score 0.6220 < final_threshold 0.7
ObjectProperty,eaten-by,eats plant,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6720; levenshtein=0.3333; semantic=0.6780; sequence_match=0.5000,False,0.6166,False,top-3 avg score 0.6166 < final_threshold 0.7
ObjectProperty,has-part,eats plant part,semantic+sequence_match+jaro_winkler,jaro_winkler=0.5663; levenshtein=0.4615; semantic=0.6221; sequence_match=0.6000,False,0.5961,False,top-3 avg score 0.5961 < final_threshold 0.7
ObjectProperty,eaten-by,eats plant part,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6264; levenshtein=0.3077; semantic=0.6120; sequence_match=0.4000,False,0.5461,False,top-3 avg score 0.5461 < final_threshold 0.7
ObjectProperty,is-proper-part-of,eats plant part,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5366; levenshtein=0.2857; semantic=0.4884; sequence_match=0.4444,False,0.4898,False,top-3 avg score 0.4898 < final_threshold 0.7
ObjectProperty,is-part-of,eats plant part,semantic+sequence_match+jaro_winkler,jaro_winkler=0.4359; levenshtein=0.3077; semantic=0.4829; sequence_match=0.4762,False,0.465,False,top-3 avg score 0.4650 < final_threshold 0.7
ObjectProperty,has-part,eats animal,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5738; levenshtein=0.2000; semantic=0.4173; sequence_match=0.3529,False,0.448,False,top-3 avg score 0.4480 < final_threshold 0.7
ObjectProperty,is-part-of,eats plant,jaro_winkler+sequence_match+semantic,jaro_winkler=0.4815; levenshtein=0.2222; semantic=0.3866; sequence_match=0.4706,False,0.4462,False,top-3 avg score 0.4462 < final_threshold 0.7
ObjectProperty,is-proper-part-of,eats plant,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5709; levenshtein=0.2143; semantic=0.3697; sequence_match=0.3478,False,0.4295,False,top-3 avg score 0.4295 < final_threshold 0.7
ObjectProperty,is-part-of,eats animal,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4472; levenshtein=0.1000; semantic=0.3466; sequence_match=0.2222,False,0.3387,False,top-3 avg score 0.3387 < final_threshold 0.7
ObjectProperty,is-proper-part-of,eats animal,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4786; levenshtein=0.0714; semantic=0.3511; sequence_match=0.1667,False,0.3321,False,top-3 avg score 0.3321 < final_threshold 0.7
