PropertyType,GoldPredicate,PredPredicate,GoldPredicateNorm,PredPredicateNorm,GoldType,PredType,TypeVerdict,GoldDomain,PredDomain,GoldDomainNorm,PredDomainNorm,DomainStatus,GoldRange,PredRange,GoldRangeNorm,PredRangeNorm,RangeStatus,FullMatch,Note
DatatypeProperty,release date,release date,releasedate,releasedate,DatatypeProperty,DatatypeProperty,tp,Game,Game,game,game,tp,xsd:dateTime,xsd:date,xsddatetime,xsddate,mismatch,NO,
DatatypeProperty,start time,start time,starttime,starttime,DatatypeProperty,DatatypeProperty,tp,Session,PlayerGame,session,playergame,mismatch,xsd:dateTime,xsd:dateTime,xsddatetime,xsddatetime,tp,NO,
DatatypeProperty,username,username,username,username,DatatypeProperty,DatatypeProperty,tp,Player,Player,player,player,tp,xsd:string,xsd:string,xsdstring,xsdstring,tp,YES,
ObjectProperty,has achievement,has achievement,hasachievement,hasachievement,ObjectProperty,ObjectProperty,tp,Game,Game,game,game,tp,Achievement,Achievement,achievement,achievement,tp,YES,
ObjectProperty,has game genre,has genre,hasgamegenre,hasgenre,ObjectProperty,ObjectProperty,tp,Game,Game,game,game,tp,Genre,Genre,genre,genre,tp,YES,
ObjectProperty,has item,has item,hasitem,hasitem,ObjectProperty,ObjectProperty,tp,Game,Player,game,player,mismatch,Item,Item,item,item,tp,NO,
ObjectProperty,has playing area,has playing area,hasplayingarea,hasplayingarea,ObjectProperty,ObjectProperty,tp,Game,Game,game,game,tp,playing area,PlayingArea,playingarea,playingarea,tp,YES,
ObjectProperty,is achievement in game,has achievement type,isachievementingame,hasachievementtype,ObjectProperty,ObjectProperty,tp,Achievement,Achievement,achievement,achievement,tp,Game,AchievementType,game,achievementtype,mismatch,NO,
ObjectProperty,is friend with player,is friend of,isfriendwithplayer,isfriendof,ObjectProperty,ObjectProperty,tp,Player,Player,player,player,tp,Player,Player,player,player,tp,YES,
ObjectProperty,owns achievement,obtains achievement,ownsachievement,obtainsachievement,ObjectProperty,ObjectProperty,tp,Player,Player,player,player,tp,Achievement,Achievement,achievement,achievement,tp,YES,
ObjectProperty,plays game,plays game,playsgame,playsgame,ObjectProperty,ObjectProperty,tp,Player,Player,player,player,tp,Game,Game,game,game,tp,YES,
