gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
Achievement,Achievement,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
Game,Game,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
Genre,Genre,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
Item,Item,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
Player,Player,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
playing area,Playing Area,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
in-app purchase event,In App Purchase,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9444; levenshtein=0.7222; semantic=0.8778; sequence_match=0.8387,False,0.887,True,selected
Completion,Milestone,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7556; levenshtein=0.4000; semantic=0.6808; sequence_match=0.6316,False,0.6893,True,selected
Collection,Location,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8107; levenshtein=0.5000; semantic=0.5273; sequence_match=0.5556,False,0.6312,True,selected
Session,Game Play Session,semantic+sequence_match+jaro_winkler,jaro_winkler=0.4730; levenshtein=0.4667; semantic=0.7749; sequence_match=0.6364,False,0.6281,True,selected
Player,Player Game Item,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8857; levenshtein=0.4286; semantic=0.6888; sequence_match=0.6000,False,0.7248,False,gold already mapped to 'Player'
Player,Player Game IAP,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8923; levenshtein=0.4615; semantic=0.6438; sequence_match=0.6316,False,0.7226,False,gold already mapped to 'Player'
playing area,Player Game IAP,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.8577; levenshtein=0.6154; semantic=0.5226; sequence_match=0.6667,False,0.7132,False,gold already mapped to 'Playing Area'
game product,Game,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8727; levenshtein=0.3636; semantic=0.7258; sequence_match=0.5333,False,0.7106,False,pred already taken by 'Game' (higher averaged score)
Game,Game Play Session,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8533; levenshtein=0.2667; semantic=0.7638; sequence_match=0.4211,False,0.6794,False,gold already mapped to 'Game'
Player,Playing Area,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8576; levenshtein=0.4545; semantic=0.5741; sequence_match=0.5882,False,0.6733,False,gold already mapped to 'Player'
playing area,Player,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8576; levenshtein=0.4545; semantic=0.5741; sequence_match=0.5882,False,0.6733,False,gold already mapped to 'Playing Area'
Achievement,Player Game Achievement,semantic+sequence_match+levenshtein,jaro_winkler=0.4975; levenshtein=0.5238; semantic=0.7679; sequence_match=0.6875,False,0.6597,False,gold already mapped to 'Achievement'
Player,Player Game Achievement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8571; levenshtein=0.2857; semantic=0.6696; sequence_match=0.4444,False,0.6571,False,gold already mapped to 'Player'
playing area,Player Game Item,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.8478; levenshtein=0.5000; semantic=0.4887; sequence_match=0.5600,False,0.6359,False,gold already mapped to 'Playing Area'
Completion,Location,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8107; levenshtein=0.5000; semantic=0.5398; sequence_match=0.5556,False,0.6354,False,gold already mapped to 'Milestone'
Item,Player Game Item,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5476; levenshtein=0.2857; semantic=0.7906; sequence_match=0.4444,False,0.5942,False,top-3 avg score 0.5942 < final_threshold 0.6
Collection,Milestone,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6852; levenshtein=0.4000; semantic=0.5689; sequence_match=0.5263,False,0.5935,False,top-3 avg score 0.5935 < final_threshold 0.6
Game,Player Game Item,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5952; levenshtein=0.2857; semantic=0.7352; sequence_match=0.4444,False,0.5916,False,top-3 avg score 0.5916 < final_threshold 0.6
Loyalty,Location,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6905; levenshtein=0.3750; semantic=0.5448; sequence_match=0.5333,False,0.5895,False,top-3 avg score 0.5895 < final_threshold 0.6
Game,Player Game IAP,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5513; levenshtein=0.3077; semantic=0.7295; sequence_match=0.4706,False,0.5838,False,top-3 avg score 0.5838 < final_threshold 0.6
Session,Milestone,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6899; levenshtein=0.3333; semantic=0.5555; sequence_match=0.5000,False,0.5818,False,top-3 avg score 0.5818 < final_threshold 0.6
hard mode,Game,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5833; levenshtein=0.3750; semantic=0.6585; sequence_match=0.5000,False,0.5806,False,top-3 avg score 0.5806 < final_threshold 0.6
playing area,Player Game Achievement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6951; levenshtein=0.3810; semantic=0.5279; sequence_match=0.5000,False,0.5743,False,top-3 avg score 0.5743 < final_threshold 0.6
Feature,Genre,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6762; levenshtein=0.4286; semantic=0.5466; sequence_match=0.5000,False,0.5743,False,top-3 avg score 0.5743 < final_threshold 0.6
game product,Player Game Item,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6169; levenshtein=0.2143; semantic=0.7043; sequence_match=0.4000,False,0.5737,False,top-3 avg score 0.5737 < final_threshold 0.6
Completion,Game Play Session,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6746; levenshtein=0.4667; semantic=0.4836; sequence_match=0.5600,False,0.5727,False,top-3 avg score 0.5727 < final_threshold 0.6
Curiosity,Ability,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6720; levenshtein=0.4444; semantic=0.5456; sequence_match=0.5000,False,0.5725,False,top-3 avg score 0.5725 < final_threshold 0.6
in-app purchase event,Achievement,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6616; levenshtein=0.3889; semantic=0.4966; sequence_match=0.5517,False,0.57,False,top-3 avg score 0.5700 < final_threshold 0.6
Virtuosity,Ability,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5738; levenshtein=0.3000; semantic=0.6588; sequence_match=0.4706,False,0.5677,False,top-3 avg score 0.5677 < final_threshold 0.6
special play style,Player,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6486; levenshtein=0.2500; semantic=0.5981; sequence_match=0.4545,False,0.5671,False,top-3 avg score 0.5671 < final_threshold 0.6
Game,Genre,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6333; levenshtein=0.4000; semantic=0.6180; sequence_match=0.4444,False,0.5653,False,top-3 avg score 0.5653 < final_threshold 0.6
Genre,Game,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6333; levenshtein=0.4000; semantic=0.6180; sequence_match=0.4444,False,0.5653,False,top-3 avg score 0.5653 < final_threshold 0.6
Game,Player,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6111; levenshtein=0.3333; semantic=0.6809; sequence_match=0.4000,False,0.564,False,top-3 avg score 0.5640 < final_threshold 0.6
Player,Game,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6111; levenshtein=0.3333; semantic=0.6809; sequence_match=0.4000,False,0.564,False,top-3 avg score 0.5640 < final_threshold 0.6
Game,Badge,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6333; levenshtein=0.4000; semantic=0.5988; sequence_match=0.4444,False,0.5589,False,top-3 avg score 0.5589 < final_threshold 0.6
special play style,Game Play Session,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6361; levenshtein=0.1875; semantic=0.5845; sequence_match=0.4516,False,0.5574,False,top-3 avg score 0.5574 < final_threshold 0.6
Achievement,Equipment,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6263; levenshtein=0.4545; semantic=0.5451; sequence_match=0.5000,False,0.5571,False,top-3 avg score 0.5571 < final_threshold 0.6
playing area,Game Play Session,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5582; levenshtein=0.2667; semantic=0.6463; sequence_match=0.4615,False,0.5553,False,top-3 avg score 0.5553 < final_threshold 0.6
Player,Game Play Session,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5889; levenshtein=0.3333; semantic=0.5925; sequence_match=0.4762,False,0.5525,False,top-3 avg score 0.5525 < final_threshold 0.6
Achievement,Item,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6742; levenshtein=0.2727; semantic=0.5751; sequence_match=0.4000,False,0.5498,False,top-3 avg score 0.5498 < final_threshold 0.6
Item,Achievement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6742; levenshtein=0.2727; semantic=0.5751; sequence_match=0.4000,False,0.5498,False,top-3 avg score 0.5498 < final_threshold 0.6
hard mode,Badge,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6583; levenshtein=0.3750; semantic=0.5295; sequence_match=0.4615,False,0.5498,False,top-3 avg score 0.5498 < final_threshold 0.6
game product,Game Play Session,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5960; levenshtein=0.3333; semantic=0.5787; sequence_match=0.4615,False,0.5454,False,top-3 avg score 0.5454 < final_threshold 0.6
Leaderboard,Player,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5934; levenshtein=0.2727; semantic=0.5688; sequence_match=0.4706,False,0.5443,False,top-3 avg score 0.5443 < final_threshold 0.6
Completion,Achievement,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5182; levenshtein=0.1818; semantic=0.7289; sequence_match=0.3810,False,0.5427,False,top-3 avg score 0.5427 < final_threshold 0.6
Achievement,Game,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5606; levenshtein=0.1818; semantic=0.6667; sequence_match=0.4000,False,0.5424,False,top-3 avg score 0.5424 < final_threshold 0.6
Game,Achievement,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5606; levenshtein=0.1818; semantic=0.6667; sequence_match=0.4000,False,0.5424,False,top-3 avg score 0.5424 < final_threshold 0.6
Game,Player Game Achievement,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5635; levenshtein=0.1905; semantic=0.7280; sequence_match=0.3200,False,0.5372,False,top-3 avg score 0.5372 < final_threshold 0.6
Item,Milestone,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5833; levenshtein=0.2222; semantic=0.5634; sequence_match=0.4615,False,0.5361,False,top-3 avg score 0.5361 < final_threshold 0.6
Paragon,Playing Area,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6563; levenshtein=0.2727; semantic=0.4772; sequence_match=0.4444,False,0.526,False,top-3 avg score 0.5260 < final_threshold 0.6
Paragon,Player,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5397; levenshtein=0.2857; semantic=0.5729; sequence_match=0.4615,False,0.5247,False,top-3 avg score 0.5247 < final_threshold 0.6
Veteran,Milestone,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5873; levenshtein=0.2222; semantic=0.6112; sequence_match=0.3750,False,0.5245,False,top-3 avg score 0.5245 < final_threshold 0.6
Virtuosity,Trophy,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6056; levenshtein=0.3000; semantic=0.5899; sequence_match=0.3750,False,0.5235,False,top-3 avg score 0.5235 < final_threshold 0.6
Paragon,Player Game Item,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6238; levenshtein=0.2857; semantic=0.5569; sequence_match=0.3810,False,0.5206,False,top-3 avg score 0.5206 < final_threshold 0.6
Achievement,Milestone,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5194; levenshtein=0.1818; semantic=0.7417; sequence_match=0.3000,False,0.5203,False,top-3 avg score 0.5203 < final_threshold 0.6
Loyalty,Ability,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6190; levenshtein=0.2857; semantic=0.5130; sequence_match=0.4286,False,0.5202,False,top-3 avg score 0.5202 < final_threshold 0.6
Curiosity,Trophy,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6111; levenshtein=0.3333; semantic=0.5479; sequence_match=0.4000,False,0.5197,False,top-3 avg score 0.5197 < final_threshold 0.6
Feature,Milestone,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5873; levenshtein=0.3333; semantic=0.5946; sequence_match=0.3750,False,0.519,False,top-3 avg score 0.5190 < final_threshold 0.6
playing area,Location,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6212; levenshtein=0.0909; semantic=0.5140; sequence_match=0.4211,False,0.5187,False,top-3 avg score 0.5187 < final_threshold 0.6
Veteran,Achievement,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5671; levenshtein=0.2727; semantic=0.6508; sequence_match=0.3333,False,0.5171,False,top-3 avg score 0.5171 < final_threshold 0.6
Paragon,Player Game IAP,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6330; levenshtein=0.3077; semantic=0.5179; sequence_match=0.4000,False,0.517,False,top-3 avg score 0.5170 < final_threshold 0.6
special play style,Player Game Item,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6240; levenshtein=0.1250; semantic=0.5189; sequence_match=0.4000,False,0.5143,False,top-3 avg score 0.5143 < final_threshold 0.6
special play style,Playing Area,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5960; levenshtein=0.1875; semantic=0.5625; sequence_match=0.3704,False,0.5096,False,top-3 avg score 0.5096 < final_threshold 0.6
