cq_id,covered,fully_covered,n_tp,n_axioms,rate,tp_axiom_ids,missing_axiom_ids
CQ03,true,false,1,7,0.1429,AX9,AX5;AX8;AX34;AX35;AX48;AX49
CQ06,true,false,2,11,0.1818,AX13;AX16,AX2;AX3;AX5;AX12;AX14;AX15;AX17;AX30;AX31
CQ08,true,false,3,5,0.6000,AX7;AX43;AX44,AX50;AX51
CQ10,true,false,5,23,0.2174,AX4;AX6;AX7;AX13;AX16,AX2;AX3;AX5;AX12;AX14;AX15;AX17;AX25;AX26;AX27;AX30;AX31;AX40;AX41;AX48;AX49;AX50;AX51
CQ13,false,false,0,3,0.0000,,AX23;AX24;AX42
CQ14,false,false,0,6,0.0000,,AX10;AX23;AX24;AX42;AX45;AX60
CQ21,true,false,2,7,0.2857,AX43;AX44,AX2;AX23;AX24;AX40;AX41
CQ24,true,false,1,7,0.1429,AX9,AX5;AX8;AX23;AX24;AX48;AX49
CQ26,true,false,2,7,0.2857,AX43;AX44,AX23;AX24;AX38;AX39;AX42
CQ30,false,false,0,8,0.0000,,AX1;AX46;AX47;AX52;AX53;AX57;AX58;AX59
CQ31,true,false,2,5,0.4000,AX20;AX21,AX2;AX11;AX22
CQ33,false,false,0,2,0.0000,,AX36;AX37
CQNew1,true,true,2,2,1.0000,AX32;AX33,
CQNew2,true,true,2,2,1.0000,AX18;AX19,
CQNew3,true,false,4,6,0.6667,AX4;AX7;AX54;AX55,AX2;AX56
CQNew4,true,false,2,4,0.5000,AX20;AX54,AX28;AX29
CQNew5,true,false,2,4,0.5000,AX20;AX21,AX2;AX22
CQNew6,true,false,3,7,0.4286,AX7;AX43;AX44,AX23;AX24;AX50;AX51
