role,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
property,hasbody,hasbody,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0000,True,selected
property,hasvintageyear,hasvintageyear,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0000,True,selected
property,hasvintageyear,hasvintage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9429; levenshtein=0.7143; semantic=0.8555; sequence_match=0.8333,False,0.8772,False,gold already mapped to 'hasvintageyear'
property,hasbody,hasbouquet,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8429; levenshtein=0.5000; semantic=0.6621; sequence_match=0.5882,False,0.6977,False,gold already mapped to 'hasbody'
property,hasbody,hascolor,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6905; levenshtein=0.5000; semantic=0.6310; sequence_match=0.5333,False,0.6183,False,gold already mapped to 'hasbody'
property,haswinedescriptor,hasvintageyear,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6807; levenshtein=0.3529; semantic=0.5728; sequence_match=0.5161,False,0.5899,False,top-3 avg score 0.5899 < final_threshold 0.6
property,haswinedescriptor,hasvintage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6510; levenshtein=0.2941; semantic=0.5967; sequence_match=0.4444,False,0.5640,False,top-3 avg score 0.5640 < final_threshold 0.6
property,haswinedescriptor,hascolor,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6397; levenshtein=0.3529; semantic=0.5089; sequence_match=0.4800,False,0.5429,False,top-3 avg score 0.5429 < final_threshold 0.6
property,yearvalue,hasvintageyear,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5767; levenshtein=0.2143; semantic=0.7023; sequence_match=0.3478,False,0.5423,False,top-3 avg score 0.5423 < final_threshold 0.6
property,haswinedescriptor,hascharacteristic,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6255; levenshtein=0.3529; semantic=0.5692; sequence_match=0.4118,False,0.5355,False,top-3 avg score 0.5355 < final_threshold 0.6
property,hasbody,hasvintageyear,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6190; levenshtein=0.2857; semantic=0.5930; sequence_match=0.3810,False,0.5310,False,top-3 avg score 0.5310 < final_threshold 0.6
property,hasvintageyear,hasbody,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6190; levenshtein=0.2857; semantic=0.5930; sequence_match=0.3810,False,0.5310,False,top-3 avg score 0.5310 < final_threshold 0.6
property,hasbody,hasvintage,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5762; levenshtein=0.3000; semantic=0.6332; sequence_match=0.3529,False,0.5208,False,top-3 avg score 0.5208 < final_threshold 0.6
