Gold_term,Pre_term,Method,Score
has fabrication number,has fabrication number,hard_match,1.0
has firmware version,has firmware version,hard_match,1.0
has hardware version,has hardware version,hard_match,1.0
has manufacturer,has manufacturer,hard_match,1.0
has model,has model,hard_match,1.0
has version,has version,hard_match,1.0
has measurement,has measurement setting,top3_avg(jaro_winkler+semantic+sequence_match),0.8632
has property,has physical property,top3_avg(jaro_winkler+semantic+sequence_match),0.7886
is measured by device,is measured by,top3_avg(jaro_winkler+semantic+sequence_match),0.8687
measurement made by,measures,top3_avg(jaro_winkler+semantic+sequence_match),0.745
