prop_type,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
ObjectProperty,has achievement,has achievement,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,has game genre,has game genre,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,has item,has item,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,has playing area,has playing area,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,lives in,lives in,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,plays game,plays game,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,is achievement in game,is achievement in,jaro_winkler+sequence_match+semantic,jaro_winkler=0.9579; levenshtein=0.7895; semantic=0.8619; sequence_match=0.8824,False,0.9007,True,selected
ObjectProperty,owns achievement,has obtained achievement,semantic+jaro_winkler+sequence_match,jaro_winkler=0.7375; levenshtein=0.5909; semantic=0.8419; sequence_match=0.7027,False,0.7607,True,selected
ObjectProperty,is friend with player,is friend of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8489; levenshtein=0.4444; semantic=0.7463; sequence_match=0.5714,False,0.7222,True,selected
ObjectProperty,is player in session,is player item,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8843; levenshtein=0.5882; semantic=0.5911; sequence_match=0.6897,False,0.7217,True,selected
ObjectProperty,has feature,has genre,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.8483; levenshtein=0.6000; semantic=0.5514; sequence_match=0.6667,False,0.705,True,selected
ObjectProperty,has achievement,has achievement type,jaro_winkler+sequence_match+semantic,jaro_winkler=0.9556; levenshtein=0.7778; semantic=0.7933; sequence_match=0.8750,False,0.8746,False,gold already mapped to 'has achievement'
ObjectProperty,owns achievement,has achievement,semantic+jaro_winkler+sequence_match,jaro_winkler=0.8579; levenshtein=0.8000; semantic=0.8760; sequence_match=0.8276,False,0.8538,False,pred already taken by 'has achievement'
ObjectProperty,has game genre,has genre,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9083; levenshtein=0.6667; semantic=0.8370; sequence_match=0.8000,False,0.8484,False,gold already mapped to 'has game genre'
ObjectProperty,has achievement,has obtained achievement,semantic+jaro_winkler+sequence_match,jaro_winkler=0.8318; levenshtein=0.6364; semantic=0.9087; sequence_match=0.7778,False,0.8394,False,gold already mapped to 'has achievement'
ObjectProperty,has achievement,is achievement in,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8302; levenshtein=0.7333; semantic=0.7920; sequence_match=0.8276,False,0.8166,False,gold already mapped to 'has achievement'
ObjectProperty,owns achievement,is achievement in,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8667; levenshtein=0.6667; semantic=0.7739; sequence_match=0.8000,False,0.8135,False,pred already taken by 'is achievement in game'
ObjectProperty,has playing area,is playing area in,semantic+sequence_match+levenshtein,jaro_winkler=0.7190; levenshtein=0.7333; semantic=0.8607; sequence_match=0.8276,False,0.8072,False,gold already mapped to 'has playing area'
ObjectProperty,is achievement in game,has achievement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7740; levenshtein=0.5789; semantic=0.7680; sequence_match=0.7273,False,0.7564,False,gold already mapped to 'is achievement in'
ObjectProperty,owns item,has item,semantic+jaro_winkler+sequence_match,jaro_winkler=0.7798; levenshtein=0.6250; semantic=0.7878; sequence_match=0.6667,False,0.7448,False,pred already taken by 'has item'
ObjectProperty,owns achievement,has achievement type,jaro_winkler+sequence_match+semantic,jaro_winkler=0.7944; levenshtein=0.6111; semantic=0.7089; sequence_match=0.7273,False,0.7435,False,gold already mapped to 'has obtained achievement'
ObjectProperty,has item,has type,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8667; levenshtein=0.4286; semantic=0.6372; sequence_match=0.7143,False,0.7394,False,gold already mapped to 'has item'
ObjectProperty,has item,is item in,semantic+jaro_winkler+sequence_match,jaro_winkler=0.7131; levenshtein=0.5000; semantic=0.8239; sequence_match=0.6667,False,0.7346,False,gold already mapped to 'has item'
ObjectProperty,has item,has player item,semantic+sequence_match+jaro_winkler,jaro_winkler=0.6264; levenshtein=0.5385; semantic=0.8147; sequence_match=0.7000,False,0.7137,False,gold already mapped to 'has item'
ObjectProperty,has item,has usable item,semantic+sequence_match+jaro_winkler,jaro_winkler=0.6264; levenshtein=0.5385; semantic=0.8146; sequence_match=0.7000,False,0.7137,False,gold already mapped to 'has item'
ObjectProperty,has playing area,has player item,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.8767; levenshtein=0.5714; semantic=0.5328; sequence_match=0.6667,False,0.7049,False,gold already mapped to 'has playing area'
ObjectProperty,is achievement in game,has achievement type,jaro_winkler+sequence_match+semantic,jaro_winkler=0.7509; levenshtein=0.6316; semantic=0.6515; sequence_match=0.7027,False,0.7017,False,gold already mapped to 'is achievement in'
ObjectProperty,is player in session,is playing area in,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.8678; levenshtein=0.5294; semantic=0.5247; sequence_match=0.6875,False,0.6949,False,top-3 avg score 0.6949 < final_threshold 0.7
ObjectProperty,owns item,is item in,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7500; levenshtein=0.3750; semantic=0.7070; sequence_match=0.6250,False,0.694,False,top-3 avg score 0.6940 < final_threshold 0.7
ObjectProperty,has achievement,has item,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8333; levenshtein=0.4286; semantic=0.6448; sequence_match=0.5714,False,0.6832,False,top-3 avg score 0.6832 < final_threshold 0.7
ObjectProperty,has item,has achievement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8333; levenshtein=0.4286; semantic=0.6448; sequence_match=0.5714,False,0.6832,False,top-3 avg score 0.6832 < final_threshold 0.7
ObjectProperty,has item,has friend,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8296; levenshtein=0.4444; semantic=0.5748; sequence_match=0.6250,False,0.6765,False,top-3 avg score 0.6765 < final_threshold 0.7
ObjectProperty,has achievement,has equipment,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8065; levenshtein=0.5714; semantic=0.5953; sequence_match=0.6154,False,0.6724,False,top-3 avg score 0.6724 < final_threshold 0.7
ObjectProperty,is achievement in game,has obtained achievement,semantic+jaro_winkler+sequence_match,jaro_winkler=0.7106; levenshtein=0.2727; semantic=0.7188; sequence_match=0.5854,False,0.6716,False,top-3 avg score 0.6716 < final_threshold 0.7
ObjectProperty,has item,has ability,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8167; levenshtein=0.4000; semantic=0.5931; sequence_match=0.5882,False,0.666,False,top-3 avg score 0.6660 < final_threshold 0.7
ObjectProperty,has character,has item,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7972; levenshtein=0.4167; semantic=0.6592; sequence_match=0.5263,False,0.6609,False,top-3 avg score 0.6609 < final_threshold 0.7
