role,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
class,wine,wine,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0000,True,selected
class,vintage,vintage,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0000,True,selected
class,vintageyear,vintageyear,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0000,True,selected
class,bordeaux,bordeauxwine,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9333; levenshtein=0.6667; semantic=0.8486; sequence_match=0.8000,False,0.8606,True,selected
class,winegrape,grape,semantic+sequence_match+levenshtein,jaro_winkler=0.4370; levenshtein=0.5556; semantic=0.9216; sequence_match=0.7143,False,0.7305,True,selected
class,winedescriptor,winecolor,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8270; levenshtein=0.5000; semantic=0.6726; sequence_match=0.6087,False,0.7028,True,selected
class,redwine,region,jaro_winkler+sequence_match+semantic,jaro_winkler=0.7968; levenshtein=0.4286; semantic=0.5113; sequence_match=0.6154,False,0.6412,True,selected
class,vintage,vintageyear,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9273; levenshtein=0.6364; semantic=0.8827; sequence_match=0.7778,False,0.8626,False,gold already mapped to 'vintage'
class,vintageyear,vintage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9273; levenshtein=0.6364; semantic=0.8827; sequence_match=0.7778,False,0.8626,False,gold already mapped to 'vintageyear'
class,winegrape,wine,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8889; levenshtein=0.4444; semantic=0.8630; sequence_match=0.6154,False,0.7891,False,pred already taken by 'wine' (higher averaged score)
class,wine,winecolor,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8889; levenshtein=0.4444; semantic=0.7956; sequence_match=0.6154,False,0.7666,False,gold already mapped to 'wine'
class,redwine,bordeauxwine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.8135; levenshtein=0.5000; semantic=0.8143; sequence_match=0.6316,False,0.7531,False,pred already taken by 'bordeaux' (higher averaged score)
class,redbordeaux,bordeauxwine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.7079; levenshtein=0.4167; semantic=0.8089; sequence_match=0.6957,False,0.7375,False,pred already taken by 'bordeaux' (higher averaged score)
class,winegrape,winecolor,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8222; levenshtein=0.4444; semantic=0.7754; sequence_match=0.5556,False,0.7177,False,gold already mapped to 'grape'
class,wine,wineregion,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8800; levenshtein=0.4000; semantic=0.6874; sequence_match=0.5714,False,0.7129,False,gold already mapped to 'wine'
class,redwine,wine,semantic+sequence_match+levenshtein,jaro_winkler=0.4643; levenshtein=0.5714; semantic=0.8363; sequence_match=0.7273,False,0.7117,False,pred already taken by 'wine' (higher averaged score)
class,whitewine,wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6944; levenshtein=0.4444; semantic=0.7709; sequence_match=0.6154,False,0.6936,False,pred already taken by 'wine' (higher averaged score)
class,winegrape,wineregion,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8670; levenshtein=0.4000; semantic=0.6836; sequence_match=0.5263,False,0.6923,False,gold already mapped to 'grape'
class,whitebordeaux,bordeauxwine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6660; levenshtein=0.3077; semantic=0.7616; sequence_match=0.6400,False,0.6892,False,pred already taken by 'bordeaux' (higher averaged score)
class,winedescriptor,wineregion,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8493; levenshtein=0.5000; semantic=0.6314; sequence_match=0.5833,False,0.6880,False,gold already mapped to 'winecolor'
class,winedescriptor,wine,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8571; levenshtein=0.2857; semantic=0.7451; sequence_match=0.4444,False,0.6822,False,gold already mapped to 'winecolor'
class,redwine,wineregion,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7079; levenshtein=0.2000; semantic=0.6762; sequence_match=0.4706,False,0.6183,False,gold already mapped to 'region'
class,whitewine,bordeauxwine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6574; levenshtein=0.4167; semantic=0.6881; sequence_match=0.4762,False,0.6072,False,pred already taken by 'bordeaux' (higher averaged score)
class,bordeaux,body,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7667; levenshtein=0.3750; semantic=0.5258; sequence_match=0.5000,False,0.5975,False,top-3 avg score 0.5975 < final_threshold 0.6
class,redwine,winecolor,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5053; levenshtein=0.1111; semantic=0.7751; sequence_match=0.5000,False,0.5934,False,top-3 avg score 0.5934 < final_threshold 0.6
class,wine,vintageyear,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6742; levenshtein=0.2727; semantic=0.7019; sequence_match=0.4000,False,0.5920,False,top-3 avg score 0.5920 < final_threshold 0.6
class,vintageyear,wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6742; levenshtein=0.2727; semantic=0.7019; sequence_match=0.4000,False,0.5920,False,top-3 avg score 0.5920 < final_threshold 0.6
class,whitebordeaux,winecolor,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6467; levenshtein=0.3077; semantic=0.6742; sequence_match=0.4545,False,0.5918,False,top-3 avg score 0.5918 < final_threshold 0.6
class,wine,bordeauxwine,semantic+sequence_match+jaro_winkler,jaro_winkler=0.4444; levenshtein=0.3333; semantic=0.8265; sequence_match=0.5000,False,0.5903,False,top-3 avg score 0.5903 < final_threshold 0.6
class,wine,vintage,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5952; levenshtein=0.4286; semantic=0.6225; sequence_match=0.5455,False,0.5877,False,top-3 avg score 0.5877 < final_threshold 0.6
class,vintage,wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5952; levenshtein=0.4286; semantic=0.6225; sequence_match=0.5455,False,0.5877,False,top-3 avg score 0.5877 < final_threshold 0.6
class,whitewine,wineregion,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7300; levenshtein=0.3000; semantic=0.6051; sequence_match=0.4211,False,0.5854,False,top-3 avg score 0.5854 < final_threshold 0.6
class,winegrape,vintageyear,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6818; levenshtein=0.2727; semantic=0.6736; sequence_match=0.4000,False,0.5851,False,top-3 avg score 0.5851 < final_threshold 0.6
class,whitewine,winecolor,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5556; levenshtein=0.2222; semantic=0.7482; sequence_match=0.4444,False,0.5827,False,top-3 avg score 0.5827 < final_threshold 0.6
class,zinfandel,wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5741; levenshtein=0.3333; semantic=0.6978; sequence_match=0.4615,False,0.5778,False,top-3 avg score 0.5778 < final_threshold 0.6
class,winegrape,vintage,jaro_winkler+semantic+levenshtein,jaro_winkler=0.6899; levenshtein=0.4444; semantic=0.5941; sequence_match=0.3750,False,0.5762,False,top-3 avg score 0.5762 < final_threshold 0.6
class,zinfandel,vintage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6720; levenshtein=0.4444; semantic=0.5410; sequence_match=0.5000,False,0.5710,False,top-3 avg score 0.5710 < final_threshold 0.6
class,winegrape,bordeauxwine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5093; levenshtein=0.1667; semantic=0.8100; sequence_match=0.3810,False,0.5667,False,top-3 avg score 0.5667 < final_threshold 0.6
class,whitebordeaux,wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6603; levenshtein=0.2308; semantic=0.6743; sequence_match=0.3529,False,0.5625,False,top-3 avg score 0.5625 < final_threshold 0.6
class,winedescriptor,vintageyear,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6039; levenshtein=0.2143; semantic=0.6326; sequence_match=0.4000,False,0.5455,False,top-3 avg score 0.5455 < final_threshold 0.6
class,whitebordeaux,vintageyear,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6134; levenshtein=0.2308; semantic=0.6014; sequence_match=0.4167,False,0.5438,False,top-3 avg score 0.5438 < final_threshold 0.6
class,vintageyear,winecolor,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6027; levenshtein=0.2727; semantic=0.6285; sequence_match=0.4000,False,0.5437,False,top-3 avg score 0.5437 < final_threshold 0.6
class,zinfandel,winecolor,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5556; levenshtein=0.2222; semantic=0.6217; sequence_match=0.4444,False,0.5406,False,top-3 avg score 0.5406 < final_threshold 0.6
class,redwine,grape,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5619; levenshtein=0.1429; semantic=0.7256; sequence_match=0.3333,False,0.5403,False,top-3 avg score 0.5403 < final_threshold 0.6
class,zinfandel,vintageyear,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6027; levenshtein=0.3636; semantic=0.5951; sequence_match=0.4000,False,0.5326,False,top-3 avg score 0.5326 < final_threshold 0.6
class,redwine,vintageyear,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5671; levenshtein=0.0909; semantic=0.6683; sequence_match=0.3333,False,0.5229,False,top-3 avg score 0.5229 < final_threshold 0.6
class,bordeaux,bouquet,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6071; levenshtein=0.2500; semantic=0.5535; sequence_match=0.4000,False,0.5202,False,top-3 avg score 0.5202 < final_threshold 0.6
class,whitewine,vintage,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5873; levenshtein=0.2222; semantic=0.5960; sequence_match=0.3750,False,0.5194,False,top-3 avg score 0.5194 < final_threshold 0.6
class,whitewine,vintageyear,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6027; levenshtein=0.1818; semantic=0.6439; sequence_match=0.3000,False,0.5155,False,top-3 avg score 0.5155 < final_threshold 0.6
class,whitebordeaux,wineregion,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6316; levenshtein=0.3077; semantic=0.5626; sequence_match=0.3478,False,0.5140,False,top-3 avg score 0.5140 < final_threshold 0.6
class,vintage,grape,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5619; levenshtein=0.2857; semantic=0.6333; sequence_match=0.3333,False,0.5095,False,top-3 avg score 0.5095 < final_threshold 0.6
class,bordeaux,grape,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5472; levenshtein=0.2500; semantic=0.6734; sequence_match=0.3077,False,0.5094,False,top-3 avg score 0.5094 < final_threshold 0.6
class,vintage,winecolor,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5873; levenshtein=0.2222; semantic=0.5626; sequence_match=0.3750,False,0.5083,False,top-3 avg score 0.5083 < final_threshold 0.6
class,winedescriptor,bordeauxwine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5246; levenshtein=0.1429; semantic=0.6700; sequence_match=0.3077,False,0.5008,False,top-3 avg score 0.5008 < final_threshold 0.6
class,redbordeaux,body,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5631; levenshtein=0.2727; semantic=0.5388; sequence_match=0.4000,False,0.5006,False,top-3 avg score 0.5006 < final_threshold 0.6
