prop_type,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
ObjectProperty,has version,has version,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,has input,has valid input,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9103; levenshtein=0.6154; semantic=0.8144; sequence_match=0.7619,False,0.8289,True,selected
ObjectProperty,has license,license,semantic+sequence_match+jaro_winkler,jaro_winkler=0.7571; levenshtein=0.7000; semantic=0.8466; sequence_match=0.8235,False,0.8091,True,selected
ObjectProperty,uses platform,runs on platform,semantic+sequence_match+jaro_winkler,jaro_winkler=0.7492; levenshtein=0.7143; semantic=0.8535; sequence_match=0.7692,False,0.7906,True,selected
ObjectProperty,is developed by,has developer,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8141; levenshtein=0.6154; semantic=0.7699; sequence_match=0.7200,False,0.768,True,selected
ObjectProperty,uses software,has software type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7833; levenshtein=0.5333; semantic=0.7271; sequence_match=0.6667,False,0.7257,True,selected
ObjectProperty,implements,implementation language,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8618; levenshtein=0.4091; semantic=0.7217; sequence_match=0.5625,False,0.7153,True,selected
ObjectProperty,has function,has documentation,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8213; levenshtein=0.5625; semantic=0.6451; sequence_match=0.6667,False,0.711,True,selected
ObjectProperty,uses platform,uses algorithm,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8805; levenshtein=0.4615; semantic=0.6325; sequence_match=0.6400,False,0.7177,False,gold already mapped to 'runs on platform'
ObjectProperty,has declared status,has activity status,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7929; levenshtein=0.5294; semantic=0.6837; sequence_match=0.5882,False,0.6883,False,top-3 avg score 0.6883 < final_threshold 0.7
ObjectProperty,has specified data input,has valid input,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6991; levenshtein=0.4762; semantic=0.7542; sequence_match=0.5882,False,0.6805,False,top-3 avg score 0.6805 < final_threshold 0.7
ObjectProperty,has output,has documentation,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8169; levenshtein=0.3750; semantic=0.6113; sequence_match=0.5600,False,0.6627,False,top-3 avg score 0.6627 < final_threshold 0.7
ObjectProperty,has format specification,has documentation,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8069; levenshtein=0.4545; semantic=0.6004; sequence_match=0.5789,False,0.6621,False,top-3 avg score 0.6621 < final_threshold 0.7
ObjectProperty,is software for,has software type,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6530; levenshtein=0.6000; semantic=0.6819; sequence_match=0.6429,False,0.6593,False,top-3 avg score 0.6593 < final_threshold 0.7
ObjectProperty,has output,has valid input,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7966; levenshtein=0.4615; semantic=0.6303; sequence_match=0.5455,False,0.6575,False,top-3 avg score 0.6575 < final_threshold 0.7
ObjectProperty,has license,has version,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7933; levenshtein=0.3000; semantic=0.6209; sequence_match=0.5000,False,0.6381,False,top-3 avg score 0.6381 < final_threshold 0.7
ObjectProperty,has function,has version,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6596; levenshtein=0.5455; semantic=0.6556; sequence_match=0.5714,False,0.6289,False,top-3 avg score 0.6289 < final_threshold 0.7
ObjectProperty,uses software,uses algorithm,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6774; levenshtein=0.3077; semantic=0.7035; sequence_match=0.4800,False,0.6203,False,top-3 avg score 0.6203 < final_threshold 0.7
ObjectProperty,has version,has developer,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6444; levenshtein=0.4167; semantic=0.6634; sequence_match=0.5455,False,0.6178,False,top-3 avg score 0.6178 < final_threshold 0.7
ObjectProperty,has interface,has software type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7965; levenshtein=0.4000; semantic=0.5767; sequence_match=0.4444,False,0.6059,False,top-3 avg score 0.6059 < final_threshold 0.7
ObjectProperty,has specified data input,created data,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7119; levenshtein=0.3333; semantic=0.6269; sequence_match=0.4375,False,0.5921,False,top-3 avg score 0.5921 < final_threshold 0.7
ObjectProperty,is alternative format of,can write format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6429; levenshtein=0.4762; semantic=0.6142; sequence_match=0.5143,False,0.5905,False,top-3 avg score 0.5905 < final_threshold 0.7
ObjectProperty,is alternative format of,can read format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6385; levenshtein=0.4286; semantic=0.6007; sequence_match=0.5294,False,0.5895,False,top-3 avg score 0.5895 < final_threshold 0.7
ObjectProperty,is alternative format of,can export to format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6920; levenshtein=0.3810; semantic=0.5866; sequence_match=0.4737,False,0.5841,False,top-3 avg score 0.5841 < final_threshold 0.7
ObjectProperty,has input,has version,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6333; levenshtein=0.3000; semantic=0.5624; sequence_match=0.5556,False,0.5838,False,top-3 avg score 0.5838 < final_threshold 0.7
ObjectProperty,has version,has documentation,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6173; levenshtein=0.4375; semantic=0.5932; sequence_match=0.5385,False,0.583,False,top-3 avg score 0.5830 < final_threshold 0.7
ObjectProperty,has format specification,has version,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6795; levenshtein=0.3636; semantic=0.5628; sequence_match=0.5000,False,0.5808,False,top-3 avg score 0.5808 < final_threshold 0.7
ObjectProperty,implements,license,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7079; levenshtein=0.3000; semantic=0.5602; sequence_match=0.4706,False,0.5796,False,top-3 avg score 0.5796 < final_threshold 0.7
ObjectProperty,has format specification,can write format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5896; levenshtein=0.2727; semantic=0.7566; sequence_match=0.3889,False,0.5784,False,top-3 avg score 0.5784 < final_threshold 0.7
ObjectProperty,has interface,has version,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6659; levenshtein=0.4167; semantic=0.6129; sequence_match=0.4545,False,0.5778,False,top-3 avg score 0.5778 < final_threshold 0.7
ObjectProperty,has version,has valid input,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6872; levenshtein=0.3846; semantic=0.5173; sequence_match=0.5217,False,0.5754,False,top-3 avg score 0.5754 < final_threshold 0.7
ObjectProperty,has interface,has documentation,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6389; levenshtein=0.3125; semantic=0.6548; sequence_match=0.4286,False,0.5741,False,top-3 avg score 0.5741 < final_threshold 0.7
ObjectProperty,has license,has documentation,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6583; levenshtein=0.3750; semantic=0.6009; sequence_match=0.4615,False,0.5736,False,top-3 avg score 0.5736 < final_threshold 0.7
ObjectProperty,has output,has developer,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6574; levenshtein=0.3333; semantic=0.5865; sequence_match=0.4762,False,0.5734,False,top-3 avg score 0.5734 < final_threshold 0.7
ObjectProperty,has specified data output,created data,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6545; levenshtein=0.3182; semantic=0.6385; sequence_match=0.4242,False,0.5724,False,top-3 avg score 0.5724 < final_threshold 0.7
ObjectProperty,has license,has valid input,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6872; levenshtein=0.4615; semantic=0.5078; sequence_match=0.5217,False,0.5722,False,top-3 avg score 0.5722 < final_threshold 0.7
ObjectProperty,has output,has software type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6889; levenshtein=0.4000; semantic=0.5274; sequence_match=0.5000,False,0.5721,False,top-3 avg score 0.5721 < final_threshold 0.7
ObjectProperty,has license,has developer,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6444; levenshtein=0.4167; semantic=0.6046; sequence_match=0.4545,False,0.5679,False,top-3 avg score 0.5679 < final_threshold 0.7
ObjectProperty,has specified data output,has activity status,jaro_winkler+semantic+levenshtein,jaro_winkler=0.7958; levenshtein=0.4091; semantic=0.4967; sequence_match=0.3590,False,0.5672,False,top-3 avg score 0.5672 < final_threshold 0.7
ObjectProperty,has format specification,can read format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5523; levenshtein=0.2273; semantic=0.7381; sequence_match=0.4000,False,0.5635,False,top-3 avg score 0.5635 < final_threshold 0.7
ObjectProperty,has clause,has documentation,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6908; levenshtein=0.3125; semantic=0.5889; sequence_match=0.4000,False,0.5599,False,top-3 avg score 0.5599 < final_threshold 0.7
ObjectProperty,has format specification,can export to format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5945; levenshtein=0.1818; semantic=0.7175; sequence_match=0.3590,False,0.557,False,top-3 avg score 0.5570 < final_threshold 0.7
ObjectProperty,has clause,has activity status,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6176; levenshtein=0.3529; semantic=0.5139; sequence_match=0.5385,False,0.5567,False,top-3 avg score 0.5567 < final_threshold 0.7
ObjectProperty,has input,has documentation,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6528; levenshtein=0.3125; semantic=0.5974; sequence_match=0.4167,False,0.5556,False,top-3 avg score 0.5556 < final_threshold 0.7
ObjectProperty,implements,is compatible with,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6028; levenshtein=0.3125; semantic=0.5986; sequence_match=0.4615,False,0.5543,False,top-3 avg score 0.5543 < final_threshold 0.7
ObjectProperty,has specified data output,has valid input,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6413; levenshtein=0.3636; semantic=0.5639; sequence_match=0.4571,False,0.5541,False,top-3 avg score 0.5541 < final_threshold 0.7
ObjectProperty,has clause,has version,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6185; levenshtein=0.3000; semantic=0.6198; sequence_match=0.4211,False,0.5531,False,top-3 avg score 0.5531 < final_threshold 0.7
ObjectProperty,has clause,has developer,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5907; levenshtein=0.3333; semantic=0.5837; sequence_match=0.4762,False,0.5502,False,top-3 avg score 0.5502 < final_threshold 0.7
ObjectProperty,has interface,has valid input,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5983; levenshtein=0.2308; semantic=0.5690; sequence_match=0.4800,False,0.5491,False,top-3 avg score 0.5491 < final_threshold 0.7
ObjectProperty,has interface,has developer,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6111; levenshtein=0.3333; semantic=0.6160; sequence_match=0.4167,False,0.5479,False,top-3 avg score 0.5479 < final_threshold 0.7
ObjectProperty,has format specification,has software type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6707; levenshtein=0.2727; semantic=0.5358; sequence_match=0.4324,False,0.5463,False,top-3 avg score 0.5463 < final_threshold 0.7
ObjectProperty,has clause,has valid input,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6538; levenshtein=0.3077; semantic=0.5269; sequence_match=0.4545,False,0.5451,False,top-3 avg score 0.5451 < final_threshold 0.7
ObjectProperty,has function,has activity status,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6328; levenshtein=0.2353; semantic=0.5730; sequence_match=0.4286,False,0.5448,False,top-3 avg score 0.5448 < final_threshold 0.7
ObjectProperty,has interface,can perform task,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5992; levenshtein=0.2857; semantic=0.5568; sequence_match=0.4615,False,0.5392,False,top-3 avg score 0.5392 < final_threshold 0.7
ObjectProperty,has interface,can write format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6627; levenshtein=0.2857; semantic=0.4900; sequence_match=0.4615,False,0.5381,False,top-3 avg score 0.5381 < final_threshold 0.7
