Gold_term,Pre_term,Method,Score
Bordeaux,Bordeaux Wine,top3_avg(jaro_winkler+semantic+sequence_match),0.8591649876700508
RedBordeaux,Red,top3_avg(jaro_winkler+semantic+sequence_match),0.7088949623390021
RedWine,Red Wine,hard_match,1.0
Region,Region,hard_match,1.0
VintageYear,Vintage Year,hard_match,1.0
WhiteBordeaux,White,top3_avg(jaro_winkler+semantic+sequence_match),0.7561324523385095
WhiteWine,White Wine,hard_match,1.0
WineBody,Body,top3_avg(levenshtein+semantic+sequence_match),0.6559632354312472
WineColor,Color,top3_avg(levenshtein+semantic+sequence_match),0.6983351959753289
WineGrape,Grape,top3_avg(levenshtein+semantic+sequence_match),0.7158892208306247
WineTaste,Wine Characteristic,top3_avg(jaro_winkler+semantic+sequence_match),0.7136719334272691
wine,Wine,hard_match,1.0
