gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
algorithm,Algorithm,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
software,Software Tool,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9333; levenshtein=0.6667; semantic=0.9093; sequence_match=0.8000,False,0.8809,True,selected
data format specification,Data Format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8870; levenshtein=0.4348; semantic=0.8404; sequence_match=0.6061,False,0.7778,True,selected
software interface,Software Tool,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8559; levenshtein=0.5294; semantic=0.8016; sequence_match=0.6207,False,0.7594,False,pred already taken by 'software' (higher averaged score)
software developer role,Software Tool,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8699; levenshtein=0.5238; semantic=0.6805; sequence_match=0.6667,False,0.739,False,pred already taken by 'software' (higher averaged score)
data item,Data Format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8367; levenshtein=0.5000; semantic=0.6561; sequence_match=0.5556,False,0.6828,False,pred already taken by 'data format specification' (higher averaged score)
CEL ASCII format,Data Format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7333; levenshtein=0.5000; semantic=0.6978; sequence_match=0.5833,False,0.6715,False,pred already taken by 'data format specification' (higher averaged score)
software developer organization,Software Tool,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8410; levenshtein=0.3448; semantic=0.7016; sequence_match=0.4390,False,0.6605,False,pred already taken by 'software' (higher averaged score)
CEL binary format,Data Format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6746; levenshtein=0.4667; semantic=0.7060; sequence_match=0.5600,False,0.6469,False,pred already taken by 'data format specification' (higher averaged score)
Open source software license,Software Tool,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6340; levenshtein=0.3200; semantic=0.6278; sequence_match=0.4865,False,0.5828,False,top-3 avg score 0.5828 < final_threshold 0.6
plain text file format,Data Format,semantic+sequence_match+jaro_winkler,jaro_winkler=0.4535; levenshtein=0.4211; semantic=0.6665; sequence_match=0.5517,False,0.5572,False,top-3 avg score 0.5572 < final_threshold 0.6
data item,Algorithm,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6481; levenshtein=0.3333; semantic=0.5297; sequence_match=0.4706,False,0.5495,False,top-3 avg score 0.5495 < final_threshold 0.6
