prop_type,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
ObjectProperty,hasVintageYear,has vintage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9429; levenshtein=0.7143; semantic=0.8805; sequence_match=0.8333,False,0.8856,True,selected
ObjectProperty,hasSugar,has grape,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8444; levenshtein=0.3750; semantic=0.6485; sequence_match=0.6250,False,0.706,True,selected
ObjectProperty,madeFromGrape,has grape,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6261; levenshtein=0.4615; semantic=0.8078; sequence_match=0.5714,False,0.6684,False,top-3 avg score 0.6684 < final_threshold 0.7
ObjectProperty,hasColor,has grape,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6667; levenshtein=0.3750; semantic=0.6878; sequence_match=0.5000,False,0.6182,False,top-3 avg score 0.6182 < final_threshold 0.7
ObjectProperty,hasFlavor,has grape,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6481; levenshtein=0.4444; semantic=0.6833; sequence_match=0.4706,False,0.6007,False,top-3 avg score 0.6007 < final_threshold 0.7
ObjectProperty,hasVintageYear,has grape,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6706; levenshtein=0.3571; semantic=0.6428; sequence_match=0.4545,False,0.5893,False,top-3 avg score 0.5893 < final_threshold 0.7
ObjectProperty,hasFlavor,has vintage,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6185; levenshtein=0.3000; semantic=0.6585; sequence_match=0.4211,False,0.566,False,top-3 avg score 0.5660 < final_threshold 0.7
ObjectProperty,hasColor,has characteristic,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6397; levenshtein=0.2941; semantic=0.6426; sequence_match=0.4000,False,0.5608,False,top-3 avg score 0.5608 < final_threshold 0.7
ObjectProperty,hasSugar,has vintage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6417; levenshtein=0.4000; semantic=0.5748; sequence_match=0.4444,False,0.5536,False,top-3 avg score 0.5536 < final_threshold 0.7
ObjectProperty,hasWineDescriptor,has vintage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6510; levenshtein=0.2941; semantic=0.5605; sequence_match=0.4444,False,0.552,False,top-3 avg score 0.5520 < final_threshold 0.7
ObjectProperty,hasFlavor,has characteristic,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6166; levenshtein=0.2941; semantic=0.6483; sequence_match=0.3846,False,0.5498,False,top-3 avg score 0.5498 < final_threshold 0.7
