prop_type,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
ObjectProperty,has license,has License,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,has version,has Version,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,is developed by,is Developed By,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,uses platform,runs On Platform,semantic+sequence_match+jaro_winkler,jaro_winkler=0.7492; levenshtein=0.7143; semantic=0.8535; sequence_match=0.7692,False,0.7906,True,selected
ObjectProperty,implements,implemented In Language,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8657; levenshtein=0.4286; semantic=0.7396; sequence_match=0.5806,False,0.7286,True,selected
ObjectProperty,uses software,has Software Type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7833; levenshtein=0.5333; semantic=0.7271; sequence_match=0.6667,False,0.7257,True,selected
ObjectProperty,has function,has Documentation,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8213; levenshtein=0.5625; semantic=0.6451; sequence_match=0.6667,False,0.711,True,selected
ObjectProperty,uses platform,uses Algorithm,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8805; levenshtein=0.4615; semantic=0.6325; sequence_match=0.6400,False,0.7177,False,gold already mapped to 'runs On Platform'
ObjectProperty,has clause,has License,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8115; levenshtein=0.5000; semantic=0.6169; sequence_match=0.6316,False,0.6866,False,top-3 avg score 0.6866 < final_threshold 0.7
ObjectProperty,has clause,has Feature,jaro_winkler+sequence_match+semantic,jaro_winkler=0.7900; levenshtein=0.6000; semantic=0.6106; sequence_match=0.6316,False,0.6774,False,top-3 avg score 0.6774 < final_threshold 0.7
ObjectProperty,has format specification,has Algorithm Modification,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.7966; levenshtein=0.5833; semantic=0.4897; sequence_match=0.6522,False,0.6774,False,top-3 avg score 0.6774 < final_threshold 0.7
ObjectProperty,has output,has Export Format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7904; levenshtein=0.4000; semantic=0.7129; sequence_match=0.5000,False,0.6677,False,top-3 avg score 0.6677 < final_threshold 0.7
ObjectProperty,has interface,has License,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8464; levenshtein=0.4167; semantic=0.6034; sequence_match=0.5455,False,0.6651,False,top-3 avg score 0.6651 < final_threshold 0.7
ObjectProperty,has interface,has Feature,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8665; levenshtein=0.4167; semantic=0.6678; sequence_match=0.4545,False,0.6629,False,top-3 avg score 0.6629 < final_threshold 0.7
ObjectProperty,has output,has Documentation,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8169; levenshtein=0.3750; semantic=0.6113; sequence_match=0.5600,False,0.6627,False,top-3 avg score 0.6627 < final_threshold 0.7
ObjectProperty,has format specification,has Documentation,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8069; levenshtein=0.4545; semantic=0.6004; sequence_match=0.5789,False,0.6621,False,top-3 avg score 0.6621 < final_threshold 0.7
ObjectProperty,is software for,has Software Type,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6530; levenshtein=0.6000; semantic=0.6819; sequence_match=0.6429,False,0.6593,False,top-3 avg score 0.6593 < final_threshold 0.7
ObjectProperty,has version,has Help Resource,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8056; levenshtein=0.4000; semantic=0.5737; sequence_match=0.5600,False,0.6464,False,top-3 avg score 0.6464 < final_threshold 0.7
ObjectProperty,has format specification,has Export Format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6910; levenshtein=0.2727; semantic=0.7540; sequence_match=0.4865,False,0.6438,False,top-3 avg score 0.6438 < final_threshold 0.7
ObjectProperty,has license,has Version,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7933; levenshtein=0.3000; semantic=0.6209; sequence_match=0.5000,False,0.6381,False,top-3 avg score 0.6381 < final_threshold 0.7
ObjectProperty,has version,has License,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7933; levenshtein=0.3000; semantic=0.6209; sequence_match=0.5000,False,0.6381,False,top-3 avg score 0.6381 < final_threshold 0.7
ObjectProperty,has function,has Feature,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6596; levenshtein=0.4545; semantic=0.7567; sequence_match=0.4762,False,0.6308,False,top-3 avg score 0.6308 < final_threshold 0.7
ObjectProperty,has function,has Version,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6596; levenshtein=0.5455; semantic=0.6556; sequence_match=0.5714,False,0.6289,False,top-3 avg score 0.6289 < final_threshold 0.7
ObjectProperty,has input,has License,jaro_winkler+sequence_match+semantic,jaro_winkler=0.7958; levenshtein=0.4000; semantic=0.5326; sequence_match=0.5556,False,0.628,False,top-3 avg score 0.6280 < final_threshold 0.7
ObjectProperty,uses software,uses Algorithm,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6774; levenshtein=0.3077; semantic=0.7035; sequence_match=0.4800,False,0.6203,False,top-3 avg score 0.6203 < final_threshold 0.7
ObjectProperty,is alternative format of,created Data In Format,jaro_winkler+sequence_match+semantic,jaro_winkler=0.7013; levenshtein=0.4762; semantic=0.5549; sequence_match=0.6000,False,0.6187,False,top-3 avg score 0.6187 < final_threshold 0.7
ObjectProperty,has output,supports Output Format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6140; levenshtein=0.3500; semantic=0.7494; sequence_match=0.4828,False,0.6154,False,top-3 avg score 0.6154 < final_threshold 0.7
ObjectProperty,has version,has Feature,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6667; levenshtein=0.4000; semantic=0.6784; sequence_match=0.5000,False,0.615,False,top-3 avg score 0.6150 < final_threshold 0.7
ObjectProperty,has declared status,has Help Resource,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.7969; levenshtein=0.4706; semantic=0.4550; sequence_match=0.5625,False,0.61,False,top-3 avg score 0.6100 < final_threshold 0.7
ObjectProperty,has interface,has Software Type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7965; levenshtein=0.4000; semantic=0.5767; sequence_match=0.4444,False,0.6059,False,top-3 avg score 0.6059 < final_threshold 0.7
ObjectProperty,has interface,has Help Resource,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6357; levenshtein=0.4000; semantic=0.6176; sequence_match=0.5185,False,0.5906,False,top-3 avg score 0.5906 < final_threshold 0.7
ObjectProperty,has clause,has Help Resource,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7904; levenshtein=0.4000; semantic=0.5579; sequence_match=0.4167,False,0.5883,False,top-3 avg score 0.5883 < final_threshold 0.7
ObjectProperty,uses platform,has Export Format,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.6352; levenshtein=0.5333; semantic=0.4736; sequence_match=0.5926,False,0.587,False,top-3 avg score 0.5870 < final_threshold 0.7
ObjectProperty,has specified data output,created Data In Format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6720; levenshtein=0.2727; semantic=0.6495; sequence_match=0.4390,False,0.5869,False,top-3 avg score 0.5869 < final_threshold 0.7
ObjectProperty,has input,has Version,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6333; levenshtein=0.3000; semantic=0.5624; sequence_match=0.5556,False,0.5838,False,top-3 avg score 0.5838 < final_threshold 0.7
ObjectProperty,has version,has Documentation,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6173; levenshtein=0.4375; semantic=0.5932; sequence_match=0.5385,False,0.583,False,top-3 avg score 0.5830 < final_threshold 0.7
ObjectProperty,has license,has Feature,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6667; levenshtein=0.4000; semantic=0.5773; sequence_match=0.5000,False,0.5813,False,top-3 avg score 0.5813 < final_threshold 0.7
ObjectProperty,has format specification,has Version,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6795; levenshtein=0.3636; semantic=0.5628; sequence_match=0.5000,False,0.5808,False,top-3 avg score 0.5808 < final_threshold 0.7
ObjectProperty,has input,supports Input Format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5775; levenshtein=0.3158; semantic=0.7169; sequence_match=0.4444,False,0.5796,False,top-3 avg score 0.5796 < final_threshold 0.7
ObjectProperty,has declared status,has Feature,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8006; levenshtein=0.3529; semantic=0.4151; sequence_match=0.5185,False,0.5781,False,top-3 avg score 0.5781 < final_threshold 0.7
