Gold_term,Pre_term,Method,Score
has download location,has Download URL,top3_avg(jaro_winkler+semantic+sequence_match),0.8289
has release date,has Release Date,hard_match,1.0
has website homepage,has Homepage,top3_avg(jaro_winkler+semantic+sequence_match),0.849
has function,has Documentation,top3_avg(jaro_winkler+semantic+sequence_match),0.711
has license,has License,hard_match,1.0
has version,has Version,hard_match,1.0
implements,implemented In Language,top3_avg(jaro_winkler+semantic+sequence_match),0.7286
is developed by,is Developed By,hard_match,1.0
uses platform,runs On Platform,top3_avg(jaro_winkler+semantic+sequence_match),0.7906
uses software,has Software Type,top3_avg(jaro_winkler+semantic+sequence_match),0.7257
